	Method	Selection	PopSize	TP	TN	FP	FN	Sen	Spe	Acc
0	YLK-FastMl	Scenario-1_None	5	0	651	349	0	NA	0.651	0.651
1	YLK-Prank	Scenario-1_None	5	0	699	301	0	NA	0.699	0.699
2	MK	Scenario-1_None	5	0	660	340	0	NA	0.66	0.66
3	YLK-FastMl	Scenario-1_None	20	0	699	301	0	NA	0.699	0.699
4	YLK-Prank	Scenario-1_None	20	0	732	268	0	NA	0.732	0.732
5	MK	Scenario-1_None	20	0	718	282	0	NA	0.718	0.718
6	YLK-FastMl	Scenario-1_None	100	0	748	252	0	NA	0.748	0.748
7	YLK-Prank	Scenario-1_None	100	0	763	237	0	NA	0.763	0.763
8	MK	Scenario-1_None	100	0	777	223	0	NA	0.777	0.777
9	YLK-FastMl	Scenario-1_None	500	0	770	230	0	NA	0.77	0.77
10	YLK-Prank	Scenario-1_None	500	0	799	201	0	NA	0.799	0.799
11	MK	Scenario-1_None	500	0	834	166	0	NA	0.834	0.834
12	YLK-FastMl	Scenario-2_P1	5	955	0	0	45	0.955	NA	0.955
13	YLK-Prank	Scenario-2_P1	5	730	0	0	270	0.73	NA	0.73
14	MK	Scenario-2_P1	5	857	0	0	143	0.857	NA	0.857
15	YLK-FastMl	Scenario-2_P1	20	896	0	0	104	0.896	NA	0.896
16	YLK-Prank	Scenario-2_P1	20	677	0	0	323	0.677	NA	0.677
17	MK	Scenario-2_P1	20	753	0	0	247	0.753	NA	0.753
18	YLK-FastMl	Scenario-2_P1	100	866	0	0	134	0.866	NA	0.866
19	YLK-Prank	Scenario-2_P1	100	632	0	0	368	0.632	NA	0.632
20	MK	Scenario-2_P1	100	694	0	0	306	0.694	NA	0.694
21	YLK-FastMl	Scenario-2_P1	500	854	0	0	146	0.854	NA	0.854
22	YLK-Prank	Scenario-2_P1	500	620	0	0	380	0.62	NA	0.62
23	MK	Scenario-2_P1	500	681	0	0	319	0.681	NA	0.681
24	YLK-FastMl	Scenario-3_P5	5	0	649	351	0	NA	0.649	0.649
25	YLK-Prank	Scenario-3_P5	5	0	268	732	0	NA	0.268	0.268
26	MK	Scenario-3_P5	5	0	68	932	0	NA	0.068	0.068
27	YLK-FastMl	Scenario-3_P5	20	0	704	296	0	NA	0.704	0.704
28	YLK-Prank	Scenario-3_P5	20	0	295	705	0	NA	0.295	0.295
29	MK	Scenario-3_P5	20	0	128	872	0	NA	0.128	0.128
30	YLK-FastMl	Scenario-3_P5	100	0	746	254	0	NA	0.746	0.746
31	YLK-Prank	Scenario-3_P5	100	0	332	668	0	NA	0.332	0.332
32	MK	Scenario-3_P5	100	0	163	837	0	NA	0.163	0.163
33	YLK-FastMl	Scenario-3_P5	500	0	768	232	0	NA	0.768	0.768
34	YLK-Prank	Scenario-3_P5	500	0	344	656	0	NA	0.344	0.344
35	MK	Scenario-3_P5	500	0	181	819	0	NA	0.181	0.181
36	YLK-FastMl	Scenario-4_P1P5	5	956	0	0	44	0.956	NA	0.956
37	YLK-Prank	Scenario-4_P1P5	5	863	0	0	137	0.863	NA	0.863
38	MK	Scenario-4_P1P5	5	975	0	0	25	0.975	NA	0.975
39	YLK-FastMl	Scenario-4_P1P5	20	918	0	0	82	0.918	NA	0.918
40	YLK-Prank	Scenario-4_P1P5	20	812	0	0	188	0.812	NA	0.812
41	MK	Scenario-4_P1P5	20	942	0	0	58	0.942	NA	0.942
42	YLK-FastMl	Scenario-4_P1P5	100	873	0	0	127	0.873	NA	0.873
43	YLK-Prank	Scenario-4_P1P5	100	785	0	0	215	0.785	NA	0.785
44	MK	Scenario-4_P1P5	100	900	0	0	100	0.9	NA	0.9
45	YLK-FastMl	Scenario-4_P1P5	500	870	0	0	130	0.87	NA	0.87
46	YLK-Prank	Scenario-4_P1P5	500	792	0	0	208	0.792	NA	0.792
47	MK	Scenario-4_P1P5	500	884	0	0	116	0.884	NA	0.884
