	ThScore	TP	TN	FP	FN	TPR	FPR
0	0.02	2000	0	2000	0	1.0	1.0
1	0.02564102564102564	2000	2	1998	0	1.0	0.999
2	0.027777777777777776	2000	3	1997	0	1.0	0.9985
3	0.03125	2000	4	1996	0	1.0	0.998
4	0.031746031746031744	2000	6	1994	0	1.0	0.997
5	0.03333333333333333	2000	7	1993	0	1.0	0.9965
6	0.03571428571428571	2000	10	1990	0	1.0	0.995
7	0.03636363636363637	2000	12	1988	0	1.0	0.994
8	0.037037037037037035	2000	13	1987	0	1.0	0.9935
9	0.04	2000	14	1986	0	1.0	0.993
10	0.040816326530612235	2000	17	1983	0	1.0	0.9915
11	0.04166666666666666	2000	19	1981	0	1.0	0.9905
12	0.04444444444444445	2000	26	1974	0	1.0	0.987
13	0.047619047619047616	2000	28	1972	0	1.0	0.986
14	0.05	2000	31	1969	0	1.0	0.9845
15	0.05357142857142857	2000	38	1962	0	1.0	0.981
16	0.054545454545454536	2000	39	1961	0	1.0	0.9805
17	0.05555555555555555	2000	40	1960	0	1.0	0.98
18	0.05714285714285715	2000	44	1956	0	1.0	0.978
19	0.06	2000	49	1951	0	1.0	0.9755
20	0.0625	2000	50	1950	0	1.0	0.975
21	0.06349206349206349	2000	60	1940	0	1.0	0.97
22	0.06666666666666668	2000	61	1939	0	1.0	0.9695
23	0.06818181818181818	2000	76	1924	0	1.0	0.962
24	0.06818181818181819	2000	77	1923	0	1.0	0.9615
25	0.07142857142857142	2000	78	1922	0	1.0	0.961
26	0.07407407407407407	2000	88	1912	0	1.0	0.956
27	0.075	2000	92	1908	0	1.0	0.954
28	0.07500000000000001	2000	95	1905	0	1.0	0.9525
29	0.08	2000	98	1902	0	1.0	0.951
30	0.08333333333333333	2000	104	1896	0	1.0	0.948
31	0.08571428571428573	2000	127	1873	0	1.0	0.9365
32	0.08888888888888889	2000	130	1870	0	1.0	0.935
33	0.09090909090909093	2000	132	1868	0	1.0	0.934
34	0.09375	2000	136	1864	0	1.0	0.932
35	0.09523809523809523	2000	138	1862	0	1.0	0.931
36	0.1	2000	145	1855	0	1.0	0.9275
37	0.10389610389610388	2000	171	1829	0	1.0	0.9145
38	0.10714285714285714	2000	172	1828	0	1.0	0.914
39	0.1111111111111111	2000	175	1825	0	1.0	0.9125
40	0.11111111111111112	2000	206	1794	0	1.0	0.897
41	0.1142857142857143	2000	207	1793	0	1.0	0.8965
42	0.12	2000	210	1790	0	1.0	0.895
43	0.125	2000	213	1787	0	1.0	0.8935
44	0.13333333333333333	2000	252	1748	0	1.0	0.874
45	0.1388888888888889	2000	269	1731	0	1.0	0.8655
46	0.14285714285714285	2000	270	1730	0	1.0	0.865
47	0.14814814814814814	2000	294	1706	0	1.0	0.853
48	0.15	2000	300	1700	0	1.0	0.85
49	0.1515151515151515	2000	314	1686	0	1.0	0.843
50	0.15625	2000	315	1685	0	1.0	0.8425
51	0.16	2000	317	1683	0	1.0	0.8415
52	0.16071428571428573	2000	319	1681	0	1.0	0.8405
53	0.16666666666666666	2000	320	1680	0	1.0	0.84
54	0.16666666666666669	2000	365	1635	0	1.0	0.8175
55	0.1714285714285714	2000	370	1630	0	1.0	0.815
56	0.17142857142857146	2000	371	1629	0	1.0	0.8145
57	0.17857142857142858	2000	373	1627	0	1.0	0.8135
58	0.18181818181818185	1999	373	1627	1	0.9995	0.8135
59	0.1851851851851852	1999	374	1626	1	0.9995	0.813
60	0.1875	1999	375	1625	1	0.9995	0.8125
61	0.19047619047619047	1999	393	1607	1	0.9995	0.8035
62	0.1944444444444444	1999	408	1592	1	0.9995	0.796
63	0.19444444444444445	1999	409	1591	1	0.9995	0.7955
64	0.2	1999	410	1590	1	0.9995	0.795
65	0.20512820512820512	1999	465	1535	1	0.9995	0.7675
66	0.2083333333333333	1999	466	1534	1	0.9995	0.767
67	0.21428571428571427	1999	474	1526	1	0.9995	0.763
68	0.21875	1999	482	1518	1	0.9995	0.759
69	0.2222222222222222	1999	483	1517	1	0.9995	0.7585
70	0.225	1999	512	1488	1	0.9995	0.744
71	0.2272727272727273	1999	513	1487	1	0.9995	0.7435
72	0.2285714285714285	1999	514	1486	1	0.9995	0.743
73	0.2285714285714286	1999	515	1485	1	0.9995	0.7425
74	0.2380952380952381	1999	516	1484	1	0.9995	0.742
75	0.24	1999	524	1476	1	0.9995	0.738
76	0.25	1999	528	1472	1	0.9995	0.736
77	0.2571428571428571	1999	603	1397	1	0.9995	0.6985
78	0.25925925925925924	1999	604	1396	1	0.9995	0.698
79	0.2647058823529412	1999	605	1395	1	0.9995	0.6975
80	0.26666666666666666	1998	605	1395	2	0.999	0.6975
81	0.2714285714285714	1998	622	1378	2	0.999	0.689
82	0.27142857142857146	1997	622	1378	3	0.9985	0.689
83	0.2727272727272728	1996	622	1378	4	0.998	0.689
84	0.27472527472527475	1996	624	1376	4	0.998	0.688
85	0.2777777777777778	1995	624	1376	5	0.9975	0.688
86	0.28	1995	634	1366	5	0.9975	0.683
87	0.28125	1995	635	1365	5	0.9975	0.6825
88	0.2857142857142857	1995	637	1363	5	0.9975	0.6815
89	0.2916666666666667	1995	659	1341	5	0.9975	0.6705
90	0.2962962962962963	1995	661	1339	5	0.9975	0.6695
91	0.3	1995	664	1336	5	0.9975	0.668
92	0.30000000000000004	1995	690	1310	5	0.9975	0.655
93	0.3125	1995	695	1305	5	0.9975	0.6525
94	0.3194444444444444	1995	702	1298	5	0.9975	0.649
95	0.32	1994	702	1298	6	0.997	0.649
96	0.3214285714285714	1994	703	1297	6	0.997	0.6485
97	0.3333333333333333	1994	704	1296	6	0.997	0.648
98	0.33333333333333337	1993	789	1211	7	0.9965	0.6055
99	0.3409090909090909	1993	792	1208	7	0.9965	0.604
100	0.3428571428571429	1992	792	1208	8	0.996	0.604
101	0.3461538461538461	1992	793	1207	8	0.996	0.6035
102	0.3484848484848485	1991	793	1207	9	0.9955	0.6035
103	0.35	1990	793	1207	10	0.995	0.6035
104	0.35714285714285715	1990	794	1206	10	0.995	0.603
105	0.36	1990	798	1202	10	0.995	0.601
106	0.3636363636363637	1990	799	1201	10	0.995	0.6005
107	0.3703703703703704	1990	803	1197	10	0.995	0.5985
108	0.375	1989	803	1197	11	0.9945	0.5985
109	0.3809523809523809	1989	843	1157	11	0.9945	0.5785
110	0.38333333333333336	1989	850	1150	11	0.9945	0.575
111	0.38461538461538464	1988	850	1150	12	0.994	0.575
112	0.3888888888888888	1987	850	1150	13	0.9935	0.575
113	0.3888888888888889	1987	851	1149	13	0.9935	0.5745
114	0.3958333333333333	1986	853	1147	14	0.993	0.5735
115	0.4	1985	853	1147	15	0.9925	0.5735
116	0.40384615384615385	1985	900	1100	15	0.9925	0.55
117	0.4047619047619048	1984	900	1100	16	0.992	0.55
118	0.4166666666666666	1983	900	1100	17	0.9915	0.55
119	0.4166666666666667	1983	904	1096	17	0.9915	0.548
120	0.4222222222222222	1982	922	1078	18	0.991	0.539
121	0.425	1981	922	1078	19	0.9905	0.539
122	0.42857142857142855	1980	922	1078	20	0.99	0.539
