	IterId	dN	dS	pN	pS	bdN	bpN	MkScore	FSPVal	SelCoef	PosSel
0	Iter0001	1	4	6	3	0	0	0.125	0.2657342657342652	-0.000235477	0
1	Iter0002	1	3	14	3	0	0	0.07142857142857142	0.05263157894736888	-1.37863e-07	0
2	Iter0003	4	2	8	4	0	0	1.0	1.0	-0.00012788148020999998	0
3	Iter0004	4	3	9	2	0	0	0.2962962962962963	0.32598039215686275	-0.0018534432	0
4	Iter0005	3	2	1	1	0	0	1.5	1.0	-0.0005105420001393549	0
5	Iter0006	3	1	4	4	0	0	3.0	0.5757575757575777	-0.001477791	0
6	Iter0007	4	4	7	2	0	0	0.2857142857142857	0.3348416289592767	-0.0002434653351	0
7	Iter0008	3	3	10	3	0	0	0.3	0.320101724900484	-2.5995305820310005e-07	0
8	Iter0009	1	2	6	0	0	0	0.09523809523809523	0.08333333333333337	-0.000256021	0
9	Iter0010	1	2	5	5	0	0	0.5	1.0	-0.000155234	0
10	Iter0011	5	3	7	3	0	0	0.7142857142857143	1.0	-6.0658700204279006e-05	0
11	Iter0012	1	3	4	8	0	0	0.6666666666666666	1.0	-0.000206658	0
12	Iter0013	1	4	7	0	0	0	0.05	0.010101010101010107	-2.14019e-07	0
13	Iter0014	2	3	6	3	0	0	0.3333333333333333	0.5804195804195786	-1.85976e-09	0
14	Iter0015	0	1	9	2	0	0	0.15	0.25000000000000083	0.0	0
15	Iter0016	2	2	8	5	0	0	0.625	1.0	-7.609766e-06	0
16	Iter0017	4	5	3	2	0	0	0.5333333333333333	1.0	-0.0010562962300000001	0
17	Iter0018	2	3	6	1	0	0	0.1111111111111111	0.22222222222222265	-0.001046920281883	0
18	Iter0019	1	2	7	5	0	0	0.35714285714285715	0.5692307692307683	-7.20062e-09	0
19	Iter0020	3	1	8	0	0	0	0.2222222222222222	0.3333333333333341	-4.92785726e-08	0
20	Iter0021	4	3	4	4	0	0	1.3333333333333333	1.0	-0.0002045406098	0
21	Iter0022	1	1	10	4	0	0	0.4	1.0	-2.2579000000000002e-05	0
22	Iter0023	4	2	5	5	0	0	2.0	0.6328671328671316	-0.001210158750501	0
23	Iter0024	0	2	7	2	0	0	0.125	0.10909090909090892	0.0	0
24	Iter0025	3	5	4	4	0	0	0.6	1.0	-0.0003558615	0
25	Iter0026	7	7	8	1	0	0	0.125	0.08575729022626306	-0.0006577699681300001	0
26	Iter0027	2	6	5	4	0	0	0.26666666666666666	0.33484162895927594	-1.2603650000000001e-05	0
27	Iter0028	2	2	7	0	0	0	0.125	0.10909090909090892	-4.0239190015999997e-07	0
28	Iter0029	2	1	7	8	0	0	2.2857142857142856	1.0	-0.0007005920000000001	0
29	Iter0030	5	3	7	4	0	0	0.9523809523809524	1.0	-0.00032158528799999987	0
30	Iter0031	3	2	8	2	0	0	0.375	0.5604395604395591	-0.0002438614	0
31	Iter0032	3	5	13	4	0	0	0.1846153846153846	0.08699812773039357	-0.00024143325403	0
32	Iter0033	2	3	3	4	0	0	0.8888888888888888	1.0	-0.000321194	0
33	Iter0034	3	2	10	4	0	0	0.6	1.0	-0.00024782819999	0
34	Iter0035	0	2	12	3	0	0	0.10256410256410256	0.07352941176470587	0.0	0
35	Iter0036	1	5	12	1	0	0	0.016666666666666666	0.002911690992186333	-1.35317e-06	0
36	Iter0037	2	2	8	5	0	0	0.625	1.0	-1.21025e-05	0
37	Iter0038	0	2	9	7	0	0	0.26666666666666666	0.4705882352941198	0.0	0
38	Iter0039	0	2	9	3	0	0	0.13333333333333333	0.10989010989010926	0.0	0
39	Iter0040	2	3	9	5	0	0	0.3703703703703704	0.6026831785345719	-0.0001989087	0
40	Iter0041	2	2	10	4	0	0	0.4	0.5686274509803924	-8.918380252203001e-05	0
41	Iter0042	3	2	7	7	0	0	1.5	1.0	-0.0008222000000000001	0
42	Iter0043	2	3	10	3	0	0	0.2	0.2682072829131645	-0.0003983078688	0
43	Iter0044	5	2	12	2	0	0	0.4166666666666667	0.5742690058479574	-0.00029850320050308596	0
44	Iter0045	1	2	14	6	0	0	0.21428571428571427	0.26877470355731004	0.0	0
45	Iter0046	2	2	7	2	0	0	0.2857142857142857	0.53006993006993	-5.4304261000000015e-08	0
46	Iter0047	1	3	7	3	0	0	0.14285714285714285	0.24475524475524504	-3.8841500000000004e-05	0
47	Iter0048	3	3	7	2	0	0	0.2857142857142857	0.3286713286713281	-0.00020339130119999998	0
