	ThScore	TP	TN	FP	FN	TPR	FPR
0	0.024793388429752063	2000	0	2000	0	1.0	1.0
1	0.027272727272727268	2000	1	1999	0	1.0	0.9995
2	0.027777777777777776	2000	2	1998	0	1.0	0.999
3	0.030303030303030307	2000	3	1997	0	1.0	0.9985
4	0.03125	2000	4	1996	0	1.0	0.998
5	0.03636363636363637	2000	5	1995	0	1.0	0.9975
6	0.038461538461538464	2000	6	1994	0	1.0	0.997
7	0.03896103896103896	2000	7	1993	0	1.0	0.9965
8	0.04	2000	8	1992	0	1.0	0.996
9	0.04166666666666666	2000	9	1991	0	1.0	0.9955
10	0.042857142857142864	2000	10	1990	0	1.0	0.995
11	0.045454545454545456	2000	11	1989	0	1.0	0.9945
12	0.047619047619047616	2000	12	1988	0	1.0	0.994
13	0.05	2000	13	1987	0	1.0	0.9935
14	0.051020408163265314	2000	15	1985	0	1.0	0.9925
15	0.052083333333333336	2000	16	1984	0	1.0	0.992
16	0.05357142857142857	2000	17	1983	0	1.0	0.9915
17	0.05555555555555555	2000	18	1982	0	1.0	0.991
18	0.05555555555555556	2000	21	1979	0	1.0	0.9895
19	0.05681818181818181	2000	23	1977	0	1.0	0.9885
20	0.0576923076923077	2000	24	1976	0	1.0	0.988
21	0.05982905982905984	2000	25	1975	0	1.0	0.9875
22	0.06	2000	26	1974	0	1.0	0.987
23	0.0606060606060606	2000	27	1973	0	1.0	0.9865
24	0.0625	2000	29	1971	0	1.0	0.9855
25	0.06363636363636364	2000	30	1970	0	1.0	0.985
26	0.06666666666666668	2000	31	1969	0	1.0	0.9845
27	0.06818181818181818	2000	34	1966	0	1.0	0.983
28	0.0707070707070707	2000	35	1965	0	1.0	0.9825
29	0.07142857142857142	2000	36	1964	0	1.0	0.982
30	0.07272727272727272	2000	39	1961	0	1.0	0.9805
31	0.07291666666666667	2000	40	1960	0	1.0	0.98
32	0.07407407407407407	2000	42	1958	0	1.0	0.979
33	0.075	2000	47	1953	0	1.0	0.9765
34	0.07936507936507936	2000	48	1952	0	1.0	0.976
35	0.07936507936507937	2000	49	1951	0	1.0	0.9755
36	0.08	2000	50	1950	0	1.0	0.975
37	0.08333333333333333	2000	52	1948	0	1.0	0.974
38	0.0857142857142857	2000	54	1946	0	1.0	0.973
39	0.08571428571428573	2000	55	1945	0	1.0	0.9725
40	0.08653846153846154	2000	56	1944	0	1.0	0.972
41	0.08888888888888889	2000	57	1943	0	1.0	0.9715
42	0.09090909090909093	2000	58	1942	0	1.0	0.971
43	0.09230769230769233	2000	60	1940	0	1.0	0.97
44	0.0925925925925926	2000	61	1939	0	1.0	0.9695
45	0.09375	2000	62	1938	0	1.0	0.969
46	0.09523809523809523	2000	65	1935	0	1.0	0.9675
47	0.09876543209876544	2000	67	1933	0	1.0	0.9665
48	0.1	2000	69	1931	0	1.0	0.9655
49	0.1020408163265306	2000	76	1924	0	1.0	0.962
50	0.10416666666666667	2000	78	1922	0	1.0	0.961
51	0.10714285714285714	2000	79	1921	0	1.0	0.9605
52	0.10909090909090907	2000	82	1918	0	1.0	0.959
53	0.1111111111111111	2000	83	1917	0	1.0	0.9585
54	0.11428571428571427	1999	90	1910	1	0.9995	0.955
55	0.1142857142857143	1999	94	1906	1	0.9995	0.953
56	0.11666666666666665	1999	95	1905	1	0.9995	0.9525
57	0.11904761904761905	1999	96	1904	1	0.9995	0.952
58	0.1212121212121212	1999	97	1903	1	0.9995	0.9515
59	0.1234567901234568	1999	98	1902	1	0.9995	0.951
60	0.125	1999	99	1901	1	0.9995	0.9505
61	0.12698412698412698	1999	106	1894	1	0.9995	0.947
62	0.13333333333333333	1999	107	1893	1	0.9995	0.9465
63	0.13636363636363638	1999	112	1888	1	0.9995	0.944
64	0.13675213675213674	1999	113	1887	1	0.9995	0.9435
65	0.1375	1999	114	1886	1	0.9995	0.943
66	0.1388888888888889	1999	115	1885	1	0.9995	0.9425
67	0.140625	1999	117	1883	1	0.9995	0.9415
68	0.14285714285714285	1999	119	1881	1	0.9995	0.9405
69	0.14583333333333334	1999	132	1868	1	0.9995	0.934
70	0.14814814814814814	1999	135	1865	1	0.9995	0.9325
71	0.15	1999	138	1862	1	0.9995	0.931
72	0.15000000000000002	1999	142	1858	1	0.9995	0.929
73	0.15151515151515152	1999	143	1857	1	0.9995	0.9285
74	0.152	1999	146	1854	1	0.9995	0.927
75	0.15584415584415584	1998	146	1854	2	0.999	0.927
76	0.15625	1998	147	1853	2	0.999	0.9265
77	0.15873015873015872	1998	149	1851	2	0.999	0.9255
78	0.16	1998	151	1849	2	0.999	0.9245
79	0.16071428571428573	1998	153	1847	2	0.999	0.9235
80	0.16326530612244894	1998	154	1846	2	0.999	0.923
81	0.16666666666666666	1998	156	1844	2	0.999	0.922
82	0.16666666666666669	1998	174	1826	2	0.999	0.913
83	0.1714285714285714	1998	175	1825	2	0.999	0.9125
84	0.17142857142857146	1998	176	1824	2	0.999	0.912
85	0.171875	1998	180	1820	2	0.999	0.91
86	0.17777777777777778	1998	181	1819	2	0.999	0.9095
87	0.17857142857142858	1998	182	1818	2	0.999	0.909
88	0.18181818181818185	1998	186	1814	2	0.999	0.907
89	0.1851851851851852	1998	188	1812	2	0.999	0.906
90	0.18666666666666665	1998	190	1810	2	0.999	0.905
91	0.1875	1997	190	1810	3	0.9985	0.905
92	0.19047619047619047	1997	193	1807	3	0.9985	0.9035
93	0.19444444444444445	1997	197	1803	3	0.9985	0.9015
94	0.1948051948051948	1997	199	1801	3	0.9985	0.9005
95	0.19658119658119647	1997	201	1799	3	0.9985	0.8995
96	0.2	1996	201	1799	4	0.998	0.8995
97	0.20408163265306128	1996	215	1785	4	0.998	0.8925
98	0.20454545454545456	1996	216	1784	4	0.998	0.892
99	0.20512820512820512	1996	217	1783	4	0.998	0.8915
100	0.2077922077922078	1996	218	1782	4	0.998	0.891
101	0.2083333333333333	1996	219	1781	4	0.998	0.8905
102	0.2109375	1994	226	1774	6	0.997	0.887
103	0.21212121212121213	1993	226	1774	7	0.9965	0.887
104	0.21296296296296294	1993	228	1772	7	0.9965	0.886
105	0.21428571428571427	1993	229	1771	7	0.9965	0.8855
106	0.2222222222222222	1993	238	1762	7	0.9965	0.881
107	0.2231404958677686	1992	249	1751	8	0.996	0.8755
108	0.225	1992	250	1750	8	0.996	0.875
109	0.2261904761904762	1992	251	1749	8	0.996	0.8745
110	0.2272727272727273	1991	251	1749	9	0.9955	0.8745
111	0.2285714285714285	1991	253	1747	9	0.9955	0.8735
112	0.2285714285714286	1991	254	1746	9	0.9955	0.873
113	0.22916666666666666	1991	255	1745	9	0.9955	0.8725
114	0.2333333333333333	1991	257	1743	9	0.9955	0.8715
115	0.2337662337662337	1991	259	1741	9	0.9955	0.8705
116	0.234375	1991	260	1740	9	0.9955	0.87
117	0.2361111111111112	1991	261	1739	9	0.9955	0.8695
118	0.2380952380952381	1990	261	1739	10	0.995	0.8695
119	0.2393162393162393	1990	266	1734	10	0.995	0.867
120	0.24	1989	266	1734	11	0.9945	0.867
121	0.2424242424242424	1989	267	1733	11	0.9945	0.8665
122	0.24545454545454545	1988	267	1733	12	0.994	0.8665
123	0.2461538461538461	1988	268	1732	12	0.994	0.866
124	0.2478632478632479	1988	269	1731	12	0.994	0.8655
125	0.25	1988	270	1730	12	0.994	0.865
126	0.25396825396825395	1988	293	1707	12	0.994	0.8535
127	0.2545454545454546	1988	297	1703	12	0.994	0.8515
128	0.25641025641025644	1987	297	1703	13	0.9935	0.8515
129	0.2571428571428572	1987	298	1702	13	0.9935	0.851
130	0.25925925925925924	1986	300	1700	14	0.993	0.85
131	0.2592592592592593	1986	301	1699	14	0.993	0.8495
132	0.2597402597402597	1986	302	1698	14	0.993	0.849
133	0.25974025974025977	1986	303	1697	14	0.993	0.8485
134	0.2619047619047619	1986	304	1696	14	0.993	0.848
135	0.2626262626262626	1986	305	1695	14	0.993	0.8475
136	0.26666666666666666	1985	305	1695	15	0.9925	0.8475
137	0.26785714285714285	1984	315	1685	16	0.992	0.8425
138	0.2708333333333333	1984	318	1682	16	0.992	0.841
139	0.2727272727272727	1982	318	1682	18	0.991	0.841
140	0.2727272727272728	1982	321	1679	18	0.991	0.8395
141	0.275	1982	323	1677	18	0.991	0.8385
142	0.2769230769230769	1982	324	1676	18	0.991	0.838
143	0.2777777777777777	1982	325	1675	18	0.991	0.8375
144	0.2777777777777778	1982	326	1674	18	0.991	0.837
145	0.28	1982	328	1672	18	0.991	0.836
146	0.28125	1982	329	1671	18	0.991	0.8355
147	0.2840909090909091	1982	332	1668	18	0.991	0.834
148	0.2857142857142857	1982	333	1667	18	0.991	0.8335
149	0.2888888888888889	1981	348	1652	19	0.9905	0.826
150	0.29	1980	348	1652	20	0.99	0.826
151	0.2909090909090909	1980	349	1651	20	0.99	0.8255
152	0.2916666666666667	1980	350	1650	20	0.99	0.825
153	0.29411764705882354	1980	352	1648	20	0.99	0.824
154	0.2954545454545455	1979	352	1648	21	0.9895	0.824
155	0.2962962962962963	1977	352	1648	23	0.9885	0.824
156	0.2967032967032967	1975	354	1646	25	0.9875	0.823
157	0.2980769230769231	1974	354	1646	26	0.987	0.823
158	0.3	1973	354	1646	27	0.9865	0.823
159	0.30000000000000004	1971	372	1628	29	0.9855	0.814
160	0.30303030303030304	1971	374	1626	29	0.9855	0.813
161	0.30612244897959184	1971	378	1622	29	0.9855	0.811
162	0.3068181818181818	1971	379	1621	29	0.9855	0.8105
163	0.3076923076923077	1970	380	1620	30	0.985	0.81
164	0.31	1970	382	1618	30	0.985	0.809
165	0.3111111111111111	1969	382	1618	31	0.9845	0.809
166	0.3125	1969	383	1617	31	0.9845	0.8085
167	0.3181818181818182	1969	389	1611	31	0.9845	0.8055
168	0.3194444444444444	1968	389	1611	32	0.984	0.8055
169	0.32	1967	389	1611	33	0.9835	0.8055
170	0.32098765432098764	1967	391	1609	33	0.9835	0.8045
171	0.3214285714285714	1967	392	1608	33	0.9835	0.804
172	0.32142857142857145	1967	396	1604	33	0.9835	0.802
173	0.32467532467532473	1967	398	1602	33	0.9835	0.801
174	0.32867132867132864	1967	399	1601	33	0.9835	0.8005
175	0.3296703296703297	1966	399	1601	34	0.983	0.8005
176	0.3333333333333333	1966	400	1600	34	0.983	0.8
177	0.33333333333333337	1963	424	1576	37	0.9815	0.788
178	0.3375	1962	426	1574	38	0.981	0.787
179	0.34	1962	427	1573	38	0.981	0.7865
180	0.3406593406593407	1960	427	1573	40	0.98	0.7865
181	0.3409090909090909	1958	427	1573	42	0.979	0.7865
182	0.3428571428571429	1958	428	1572	42	0.979	0.786
183	0.34375	1958	430	1570	42	0.979	0.785
184	0.3452380952380953	1958	432	1568	42	0.979	0.784
185	0.34545454545454546	1957	432	1568	43	0.9785	0.784
186	0.3461538461538461	1956	432	1568	44	0.978	0.784
187	0.3492063492063492	1954	432	1568	46	0.977	0.784
188	0.34920634920634924	1954	434	1566	46	0.977	0.783
189	0.35	1954	435	1565	46	0.977	0.7825
190	0.35064935064935066	1953	435	1565	47	0.9765	0.7825
191	0.3516483516483516	1952	436	1564	48	0.976	0.782
192	0.3522727272727273	1952	437	1563	48	0.976	0.7815
193	0.3541666666666667	1952	438	1562	48	0.976	0.781
194	0.3555555555555556	1951	438	1562	49	0.9755	0.781
195	0.35714285714285715	1951	439	1561	49	0.9755	0.7805
196	0.3611111111111111	1951	444	1556	49	0.9755	0.778
197	0.3636363636363637	1950	444	1556	50	0.975	0.778
198	0.36507936507936506	1948	447	1553	52	0.974	0.7765
199	0.3666666666666665	1947	447	1553	53	0.9735	0.7765
200	0.3666666666666667	1947	448	1552	53	0.9735	0.776
201	0.3703703703703704	1947	449	1551	53	0.9735	0.7755
202	0.3714285714285713	1947	454	1546	53	0.9735	0.773
203	0.3717948717948718	1946	454	1546	54	0.973	0.773
204	0.375	1945	454	1546	55	0.9725	0.773
205	0.3777777777777778	1945	470	1530	55	0.9725	0.765
206	0.38	1944	470	1530	56	0.972	0.765
207	0.3809523809523809	1943	470	1530	57	0.9715	0.765
208	0.3833333333333333	1943	476	1524	57	0.9715	0.762
209	0.3846153846153846	1942	476	1524	58	0.971	0.762
210	0.3851851851851852	1942	477	1523	58	0.971	0.7615
211	0.3857142857142857	1941	477	1523	59	0.9705	0.7615
212	0.3875	1940	477	1523	60	0.97	0.7615
213	0.3888888888888889	1939	477	1523	61	0.9695	0.7615
214	0.3896103896103896	1939	478	1522	61	0.9695	0.761
215	0.3939393939393939	1939	479	1521	61	0.9695	0.7605
216	0.3950617283950617	1939	480	1520	61	0.9695	0.76
217	0.4	1938	480	1520	62	0.969	0.76
218	0.4017857142857143	1937	498	1502	63	0.9685	0.751
219	0.4027777777777777	1936	498	1502	64	0.968	0.751
220	0.4027777777777778	1935	498	1502	65	0.9675	0.751
221	0.40625	1933	498	1502	67	0.9665	0.751
222	0.4081632653061225	1932	499	1501	68	0.966	0.7505
223	0.4090909090909091	1931	500	1500	69	0.9655	0.75
224	0.4153846153846154	1930	502	1498	70	0.965	0.749
225	0.4155844155844156	1929	502	1498	71	0.9645	0.749
226	0.4166666666666666	1928	502	1498	72	0.964	0.749
227	0.4166666666666667	1928	504	1496	72	0.964	0.748
228	0.4190476190476191	1928	516	1484	72	0.964	0.742
229	0.4191176470588235	1927	516	1484	73	0.9635	0.742
230	0.4199999999999999	1926	516	1484	74	0.963	0.742
231	0.4222222222222222	1926	517	1483	74	0.963	0.7415
232	0.42424242424242425	1925	517	1483	75	0.9625	0.7415
233	0.4259259259259259	1924	517	1483	76	0.962	0.7415
234	0.42857142857142855	1921	517	1483	79	0.9605	0.7415
235	0.4285714285714286	1919	530	1470	81	0.9595	0.735
236	0.4305555555555556	1919	533	1467	81	0.9595	0.7335
237	0.4307692307692307	1918	533	1467	82	0.959	0.7335
238	0.4320987654320987	1917	533	1467	83	0.9585	0.7335
239	0.43333333333333335	1916	533	1467	84	0.958	0.7335
240	0.4363636363636364	1915	533	1467	85	0.9575	0.7335
241	0.4375	1915	534	1466	85	0.9575	0.733
242	0.4375000000000001	1915	537	1463	85	0.9575	0.7315
243	0.4415584415584416	1915	540	1460	85	0.9575	0.73
244	0.4444444444444444	1915	541	1459	85	0.9575	0.7295
245	0.4461538461538461	1913	554	1446	87	0.9565	0.723
246	0.44642857142857145	1912	555	1445	88	0.956	0.7225
247	0.4489795918367347	1912	556	1444	88	0.956	0.722
248	0.45	1911	556	1444	89	0.9555	0.722
249	0.453125	1911	562	1438	89	0.9555	0.719
250	0.4545454545454545	1910	562	1438	90	0.955	0.719
251	0.4545454545454546	1909	564	1436	91	0.9545	0.718
252	0.4571428571428571	1908	564	1436	92	0.954	0.718
253	0.4571428571428572	1908	566	1434	92	0.954	0.717
254	0.4583333333333333	1908	567	1433	92	0.954	0.7165
255	0.4603174603174604	1907	567	1433	93	0.9535	0.7165
256	0.4615384615384616	1906	567	1433	94	0.953	0.7165
257	0.46296296296296297	1906	568	1432	94	0.953	0.716
258	0.462962962962963	1905	569	1431	95	0.9525	0.7155
259	0.4642857142857143	1904	570	1430	96	0.952	0.715
260	0.4659090909090909	1901	570	1430	99	0.9505	0.715
261	0.4666666666666666	1900	570	1430	100	0.95	0.715
262	0.4666666666666667	1900	574	1426	100	0.95	0.713
263	0.4675324675324676	1900	578	1422	100	0.95	0.711
264	0.46875	1899	578	1422	101	0.9495	0.711
265	0.4696969696969697	1899	581	1419	101	0.9495	0.7095
266	0.4722222222222223	1898	581	1419	102	0.949	0.7095
267	0.475	1898	582	1418	102	0.949	0.709
268	0.4761904761904762	1897	582	1418	103	0.9485	0.709
269	0.48	1896	587	1413	104	0.948	0.7065
270	0.4807692307692308	1896	588	1412	104	0.948	0.706
271	0.4821428571428572	1895	588	1412	105	0.9475	0.706
272	0.4833333333333333	1895	591	1409	105	0.9475	0.7045
273	0.4835164835164835	1895	592	1408	105	0.9475	0.704
274	0.4857142857142857	1895	593	1407	105	0.9475	0.7035
275	0.4861111111111111	1894	593	1407	106	0.947	0.7035
276	0.4888888888888889	1893	593	1407	107	0.9465	0.7035
277	0.4895833333333333	1892	594	1406	108	0.946	0.703
278	0.4897959183673469	1891	594	1406	109	0.9455	0.703
279	0.4909090909090909	1890	594	1406	110	0.945	0.703
280	0.4935064935064935	1889	595	1405	111	0.9445	0.7025
281	0.5	1889	596	1404	111	0.9445	0.702
282	0.5050505050505051	1882	631	1369	118	0.941	0.6845
283	0.5054945054945055	1882	632	1368	118	0.941	0.684
284	0.509090909090909	1881	632	1368	119	0.9405	0.684
285	0.5111111111111111	1879	632	1368	121	0.9395	0.684
286	0.5142857142857142	1878	632	1368	122	0.939	0.684
287	0.5142857142857143	1878	633	1367	122	0.939	0.6835
