	IterId	dN	dS	pN	pS	bdN	bpN	MkScore	FSPVal	SelCoef	PosSel
0	Iter0001	2	0	5	3	0	0	2.0	1.0	-0.000235477	0
1	Iter0002	2	2	12	1	0	0	0.08333333333333333	0.12058823529411752	-1.37863e-07	0
2	Iter0003	2	0	4	3	0	0	2.4	0.5000000000000007	-0.00012788148020999998	0
3	Iter0004	0	0	6	1	0	0	0.2857142857142857	1.0	-0.0018534432	0
4	Iter0005	3	2	1	1	0	0	1.5	1.0	-0.0005105420001393549	0
5	Iter0006	3	0	3	4	0	0	5.0	0.20000000000000007	-0.001477791	0
6	Iter0007	2	3	5	2	0	0	0.26666666666666666	0.5580808080808088	-0.00024346533510000002	0
7	Iter0008	2	2	7	3	0	0	0.42857142857142855	0.5804195804195794	-2.5995305820310005e-07	0
8	Iter0009	0	0	5	0	0	0	0.16666666666666666	1.0	-0.000256021	0
9	Iter0010	1	0	2	3	0	0	2.6666666666666665	1.0	-0.000155234	0
10	Iter0011	0	0	7	4	0	0	0.625	1.0	-6.065870020427901e-05	0
11	Iter0012	3	1	3	8	0	0	8.0	0.2351648351648349	-0.000206658	0
12	Iter0013	0	0	5	0	0	0	0.16666666666666666	1.0	-2.14019e-07	0
13	Iter0014	1	0	2	2	0	0	2.0	1.0	-1.85976e-09	0
14	Iter0015	0	2	7	2	0	0	0.125	0.10909090909090892	0.0	0
15	Iter0016	1	1	7	3	0	0	0.42857142857142855	1.0	-7.609766e-06	0
16	Iter0017	1	2	1	2	0	0	1.0	1.0	-0.00105629623	0
17	Iter0018	2	1	3	0	0	0	0.375	1.0	-0.001046920281883	0
18	Iter0019	0	1	5	5	0	0	0.5	1.0	-7.20062e-09	0
19	Iter0020	2	1	7	0	0	0	0.1875	0.2999999999999995	-4.92785726e-08	0
20	Iter0021	2	3	4	2	0	0	0.3333333333333333	0.5670995670995663	-0.0002045406098	0
21	Iter0022	0	3	7	2	0	0	0.09375	0.045454545454545435	-2.2579e-05	0
22	Iter0023	3	0	2	3	0	0	5.333333333333333	0.19642857142857106	-0.0012101587505010001	0
23	Iter0024	0	1	9	1	0	0	0.1	0.18181818181818185	0.0	0
24	Iter0025	3	4	3	3	0	0	0.75	1.0	-0.0003558615	0
25	Iter0026	0	0	4	1	0	0	0.4	1.0	-0.00065776996813	0
26	Iter0027	0	0	2	2	0	0	1.0	1.0	-1.260365e-05	0
27	Iter0028	0	3	5	0	0	0	0.04166666666666666	0.01785714285714284	-4.0239190016e-07	0
28	Iter0029	1	1	5	5	0	0	1.0	1.0	-0.0007005920000000001	0
29	Iter0030	0	4	5	3	0	0	0.13333333333333333	0.080808080808081	-0.0003215852879999999	0
30	Iter0031	1	3	4	1	0	0	0.08333333333333333	0.20634920634920625	-0.0002438614	0
31	Iter0032	0	0	7	3	0	0	0.5	1.0	-0.00024143325403	0
32	Iter0033	0	2	3	3	0	0	0.3333333333333333	0.4642857142857145	-0.000321194	0
33	Iter0034	1	1	7	3	0	0	0.42857142857142855	1.0	-0.00024782819999	0
34	Iter0035	1	0	8	2	0	0	0.6666666666666666	1.0	0.0	0
35	Iter0036	1	1	10	1	0	0	0.1	0.2948717948717952	-1.35317e-06	0
36	Iter0037	3	1	6	4	0	0	2.0	1.0	-1.21025e-05	0
37	Iter0038	0	0	3	6	0	0	1.75	1.0	0.0	0
38	Iter0039	1	2	6	2	0	0	0.16666666666666666	0.4909090909090907	0.0	0
39	Iter0040	3	1	8	5	0	0	1.875	1.0	-0.0001989087	0
40	Iter0041	1	0	8	3	0	0	0.8888888888888888	1.0	-8.918380252203e-05	0
41	Iter0042	0	3	4	4	0	0	0.25	0.23636363636363655	-0.0008222	0
42	Iter0043	0	0	8	3	0	0	0.4444444444444444	1.0	-0.0003983078688	0
43	Iter0044	3	1	7	2	0	0	0.8571428571428571	1.0	-0.000298503200503086	0
44	Iter0045	1	1	12	4	0	0	0.3333333333333333	0.4901960784313731	0.0	0
45	Iter0046	0	0	6	1	0	0	0.2857142857142857	1.0	-5.430426100000001e-08	0
46	Iter0047	2	2	3	1	0	0	0.3333333333333333	1.0	-3.88415e-05	0
47	Iter0048	0	1	5	1	0	0	0.16666666666666666	0.2857142857142857	-0.0002033913012	0
48	Iter0049	2	1	6	2	0	0	0.6666666666666666	1.0	-1.8977015122e-07	0
49	Iter0050	5	0	8	0	0	0	0.6666666666666666	1.0	-0.0006386901	0
50	Iter0051	2	0	6	3	0	0	1.7142857142857142	1.0	-1.4486700000000004e-06	0
51	Iter0052	1	1	2	1	0	0	0.5	1.0	-7.23711e-07	0
52	Iter0053	0	0	6	4	0	0	0.7142857142857143	1.0	-0.000668938	0
53	Iter0054	0	0	4	6	0	0	1.4	1.0	-0.000127562	0
54	Iter0055	2	3	4	2	0	0	0.3333333333333333	0.5670995670995663	-1.3128799999999998e-06	0
55	Iter0056	2	2	4	1	0	0	0.25	0.5238095238095241	-2.2188032740000003e-05	0
56	Iter0057	0	0	4	4	0	0	1.0	1.0	-0.00020815400000000005	0
57	Iter0058	1	3	4	4	0	0	0.3333333333333333	0.5757575757575774	0.0	0
58	Iter0059	1	3	6	4	0	0	0.2222222222222222	0.5594405594405611	-0.000395599	0
59	Iter0060	3	2	4	2	0	0	0.75	1.0	-0.0017540517	0
60	Iter0061	3	1	4	3	0	0	2.25	1.0	-0.00023539279132254702	0
61	Iter0062	3	2	4	1	0	0	0.375	1.0	-5.876729999999998e-06	0
62	Iter0063	4	1	6	6	0	0	4.0	0.3382352941176459	-0.00013987982	0
63	Iter0064	1	4	3	0	0	0	0.1	0.14285714285714265	-1.05047e-05	0
