	IterId	dN	dS	pN	pS	bdN	bpN	MkScore	FSPVal	SelCoef	PosSel
0	Iter0001	26	4	0	0	21	0	5.4	1.0	0.30462282809169994	1
1	Iter0002	28	4	1	0	25	0	2.9	1.0	0.4317005019252099	1
2	Iter0003	25	0	1	0	20	0	13.0	1.0	0.4531616669999999	1
3	Iter0004	26	3	3	1	20	2	2.888888888888889	0.419574780058642	0.33954351912266995	1
4	Iter0005	20	5	0	0	18	0	3.5	1.0	0.48210741700000004	1
5	Iter0006	37	7	3	1	30	1	1.761904761904762	0.5303217185733495	0.6337253793400002	1
6	Iter0007	26	2	4	0	23	2	1.8	1.0	0.527932709257	1
7	Iter0008	18	3	1	0	16	0	2.375	1.0	0.3353598906	1
8	Iter0009	30	7	2	0	26	0	1.2916666666666667	1.0	0.576253297274	1
9	Iter0010	21	3	0	0	16	0	5.5	1.0	0.3576407747999999	1
10	Iter0011	25	4	1	0	24	1	2.6	1.0	0.5306643418	1
11	Iter0012	26	2	2	1	22	1	6.5	0.2711902113459427	0.485707978	1
12	Iter0013	25	1	1	1	20	0	25.0	0.14021164021164015	0.303375992633	1
13	Iter0014	21	1	0	0	17	0	11.0	1.0	0.5427623632299999	1
14	Iter0015	22	1	1	0	17	0	5.75	1.0	0.44752815269999996	1
15	Iter0016	23	6	1	0	21	0	1.7142857142857142	1.0	0.4983954313	1
16	Iter0017	21	3	1	1	20	0	7.0	0.2892307692307718	0.53682985	1
17	Iter0018	18	2	2	1	14	2	4.5	0.35629587803500595	0.2503276141	1
18	Iter0019	28	2	2	0	20	0	3.2222222222222214	1.0	0.47508848269999987	1
19	Iter0020	29	4	4	0	25	1	1.2	1.0	0.4963553821000001	1
20	Iter0021	30	1	4	2	21	0	15.0	0.06241956241956361	0.41273124605333	1
21	Iter0022	26	4	3	0	26	2	1.35	1.0	0.6503325900000001	1
22	Iter0023	23	1	4	1	18	2	5.75	0.320197044334974	0.336689180379	1
23	Iter0024	26	1	2	0	24	0	4.5	1.0	0.3956351899999999	1
24	Iter0025	19	3	2	2	16	0	6.333333333333332	0.15484949832775954	0.311850181438	1
25	Iter0026	30	2	2	0	22	0	3.4444444444444446	1.0	0.42969991739790003	1
26	Iter0027	28	2	1	0	23	1	4.833333333333333	1.0	0.40491993582	1
27	Iter0028	21	3	1	1	14	0	7.0	0.2892307692307718	0.27774739986	1
28	Iter0029	25	2	0	0	20	0	8.666666666666666	1.0	0.5442196465946971	1
29	Iter0030	25	1	3	3	20	0	25.0	0.014877641824249428	0.39935056600000013	1
30	Iter0031	24	1	0	0	22	0	12.5	1.0	0.45647132004899993	1
31	Iter0032	18	0	2	0	14	0	6.333333333333332	1.0	0.30468581982400006	1
32	Iter0033	30	5	0	0	25	0	5.166666666666667	1.0	0.5266194142485301	1
33	Iter0034	24	2	2	0	22	2	2.7777777777777786	1.0	0.5693352204691001	1
34	Iter0035	27	3	3	2	23	3	6.0	0.13892961876833104	0.5090303989998219	1
35	Iter0036	21	4	2	0	16	1	1.4666666666666668	1.0	0.39814280510920164	1
36	Iter0037	27	4	1	0	23	1	2.8	1.0	0.4376084443452279	1
37	Iter0038	28	1	0	1	28	0	29.0	0.06666666666666664	0.7031966599999999	1
38	Iter0039	20	7	2	2	17	1	2.8571428571428568	0.5595105672969971	0.3307446154550001	1
39	Iter0040	18	4	1	0	14	0	1.9	1.0	0.33889668214999996	1
40	Iter0041	23	1	3	1	17	0	7.666666666666668	0.269841269841267	0.40941321592	1
41	Iter0042	30	1	2	0	25	0	5.166666666666667	1.0	0.6078781332000002	1
42	Iter0043	24	5	4	0	19	3	0.8333333333333334	1.0	0.2995451480211	1
43	Iter0044	26	1	1	1	21	1	26.0	0.13546798029556614	0.35069801860600996	1
44	Iter0045	29	3	0	1	25	0	15.0	0.12121212121211912	0.592404977976394	1
45	Iter0046	25	1	1	1	21	0	25.0	0.14021164021164015	0.38857299573630005	1
46	Iter0047	21	3	1	0	20	0	2.75	1.0	0.5526489	1
47	Iter0048	30	3	2	2	23	1	10.0	0.08002119766825999	0.5448162750349905	1
48	Iter0049	21	2	0	0	17	0	7.333333333333332	1.0	0.3361684236010502	1
49	Iter0050	30	4	6	0	24	5	0.8857142857142858	1.0	0.47388682043999997	1
50	Iter0051	22	1	5	1	19	4	4.4	0.3768472906403974	0.408778988	1
51	Iter0052	16	2	3	2	11	1	5.333333333333333	0.19367588932806248	0.250754746	1
52	Iter0053	28	2	1	0	23	1	4.833333333333333	1.0	0.4752914204879999	1
53	Iter0054	31	0	0	0	26	0	32.0	1.0	0.5683295569996814	1
54	Iter0055	21	5	2	1	19	2	2.1	0.5153256704980881	0.3796683623000001	1
55	Iter0056	20	3	3	1	17	2	2.2222222222222223	0.4954415954416028	0.39305301570000006	1
56	Iter0057	23	6	1	0	21	0	1.7142857142857142	1.0	0.481988447	1
57	Iter0058	24	3	2	0	22	1	2.083333333333333	1.0	0.4213847167	1
58	Iter0059	28	3	2	0	21	0	2.4166666666666665	1.0	0.488100709853885	1
59	Iter0060	30	1	3	0	25	2	3.875	1.0	0.6080990083009542	1
60	Iter0061	29	2	1	0	25	0	5.0	1.0	0.6099382384600001	1
61	Iter0062	19	3	2	0	17	0	1.6666666666666667	1.0	0.46492062970000003	1
62	Iter0063	18	4	1	1	11	0	4.5	0.3804347826086968	0.22550813373295003	1
63	Iter0064	34	4	0	0	28	0	7.0	1.0	0.709537900627	1
64	Iter0065	22	3	4	0	17	2	1.15	1.0	0.374036382627	1
65	Iter0066	27	2	0	0	20	0	9.333333333333334	1.0	0.36317136352999996	1
66	Iter0067	23	2	2	0	17	0	2.6666666666666665	1.0	0.31515739086329003	1
67	Iter0068	24	5	1	1	19	0	4.8	0.3548387096774149	0.5040713045199999	1
68	Iter0069	19	0	0	1	17	0	40.0	0.05000000000000003	0.20800142454899997	1
69	Iter0070	14	3	6	0	10	3	0.5357142857142857	0.5392433653303208	0.20805410463	1
70	Iter0071	27	1	3	0	23	1	3.5	1.0	0.4517476222541899	1
71	Iter0072	24	3	10	3	18	4	2.4	0.3699451331030254	0.437245933623	1
72	Iter0073	34	5	6	2	21	1	2.2666666666666666	0.5849839101465698	0.44340576056457565	1
73	Iter0074	23	5	0	0	18	0	4.0	1.0	0.30605684432300007	1
74	Iter0075	28	2	4	2	25	2	7.0	0.12121212121211933	0.49543419663999994	1
75	Iter0076	29	3	3	0	26	1	1.875	1.0	0.4456228498729999	1
76	Iter0077	21	3	0	0	19	0	5.5	1.0	0.41707011800000005	1
77	Iter0078	28	1	3	1	26	0	9.333333333333334	0.2310606060606006	0.5246494825	1
78	Iter0079	17	1	1	0	14	0	4.5	1.0	0.25844548200000006	1
79	Iter0080	23	5	1	0	20	1	2.0	1.0	0.4329727968	1
80	Iter0081	19	1	3	2	18	1	12.666666666666664	0.09130434782608714	0.317545731	1
81	Iter0082	25	3	1	1	21	1	8.333333333333334	0.2528735632183937	0.54917626865	1
82	Iter0083	30	1	2	2	21	1	30.0	0.029029793735676292	0.5706723146112002	1
83	Iter0084	23	2	3	0	17	1	2.0	1.0	0.32539704998833296	1
84	Iter0085	26	7	0	0	21	0	3.375	1.0	0.40389218169999996	1
85	Iter0086	26	1	1	0	25	1	6.75	1.0	0.42152126409999996	1
86	Iter0087	23	2	0	0	18	0	8.0	1.0	0.4063561287999998	1
87	Iter0088	24	3	2	1	20	0	4.0	0.35960591133004943	0.569000508138511	1
88	Iter0089	23	2	6	0	18	3	1.1428571428571428	1.0	0.36458280437090007	1
89	Iter0090	26	4	4	2	24	2	3.25	0.2561777643608748	0.502956825	1
90	Iter0091	19	6	0	0	17	0	2.8571428571428568	1.0	0.40099317050000005	1
91	Iter0092	17	2	6	2	14	4	2.833333333333333	0.5582905982906048	0.3430828678413	1
92	Iter0093	28	4	1	0	21	0	2.9	1.0	0.424054473716	1
93	Iter0094	31	0	1	0	25	1	16.0	1.0	0.62467961825	1
94	Iter0095	34	2	0	0	27	0	11.666666666666664	1.0	0.608989669805	1
95	Iter0096	23	1	3	1	21	1	7.666666666666668	0.269841269841267	0.49501032872	1
96	Iter0097	23	2	2	1	16	0	5.75	0.2979242979242929	0.4466125794999999	1
97	Iter0098	29	5	3	2	24	0	3.8666666666666663	0.21304300251668684	0.48302904063800006	1
98	Iter0099	37	3	5	3	30	3	7.4	0.04972068641582331	0.64438712892968	1
99	Iter0100	22	1	0	1	20	0	23.0	0.08333333333333381	0.4675470577517	1
100	Iter0101	23	2	2	0	20	0	2.6666666666666665	1.0	0.39062211422300014	1
101	Iter0102	27	2	5	0	24	0	1.5555555555555556	1.0	0.43127420844400005	1
102	Iter0103	27	5	1	0	23	0	2.333333333333333	1.0	0.4685392144300001	1
103	Iter0104	32	2	2	0	27	0	3.6666666666666665	1.0	0.6099687529000001	1
104	Iter0105	34	5	1	1	29	1	6.8	0.2743902439024382	0.6409326625442149	1
105	Iter0106	18	4	8	1	16	6	0.5625	1.0	0.4735310399999895	1
106	Iter0107	22	3	2	1	19	0	3.6666666666666665	0.3821733821733784	0.37174666544499996	1
107	Iter0108	15	2	0	1	12	0	10.666666666666666	0.16666666666666674	0.24456971279	1
108	Iter0109	17	3	2	1	15	2	2.833333333333333	0.4528514963297557	0.401634523	1
109	Iter0110	26	2	8	1	21	2	1.625	1.0	0.4599817908	1
110	Iter0111	25	1	1	0	22	0	6.5	1.0	0.44298240235650005	1
111	Iter0112	24	6	0	0	17	0	3.571428571428572	1.0	0.33119438430720005	1
112	Iter0113	28	4	0	0	21	0	5.8	1.0	0.39577218730599995	1
