	IterId	dN	dS	pN	pS	bdN	bpN	MkScore	FSPVal	SelCoef	PosSel
0	Iter0001	28	7	3	3	21	0	4.0	0.14346448749529628	0.30462282809169994	1
1	Iter0002	31	7	4	0	25	1	0.8	1.0	0.4317005019252099	1
2	Iter0003	29	3	12	1	19	1	0.8055555555555555	1.0	0.44821053699999985	1
3	Iter0004	30	4	5	3	20	2	4.5	0.11299113866507905	0.33954351912266995	1
4	Iter0005	25	11	13	3	18	0	0.5244755244755246	0.5060177783328033	0.48210741700000004	1
5	Iter0006	38	7	9	3	30	1	1.809523809523809	0.4242999086427233	0.6337253793400002	1
6	Iter0007	33	5	9	1	23	2	0.7333333333333333	1.0	0.527932709257	1
7	Iter0008	24	4	10	0	15	1	0.4545454545454545	0.5561877667140815	0.3182756906	1
8	Iter0009	33	7	8	5	26	0	2.946428571428571	0.14027058438834974	0.576253297274	1
9	Iter0010	21	6	6	0	15	2	0.4489795918367347	0.5626634211172441	0.3225165747999999	1
10	Iter0011	30	8	6	2	24	1	1.25	1.0	0.5306643418	1
11	Iter0012	30	5	5	5	22	1	6.0	0.029344794398379618	0.485707978	1
12	Iter0013	28	2	10	2	20	0	2.8	0.5647279549718599	0.303375992633	1
13	Iter0014	22	3	3	2	16	1	4.8888888888888875	0.18333263160849303	0.50899776323	1
14	Iter0015	22	2	7	1	16	2	1.5714285714285714	1.0	0.4120380527	1
15	Iter0016	23	9	6	1	21	0	0.4259259259259259	0.6525585534873464	0.4983954313	1
16	Iter0017	25	6	7	3	20	1	1.7857142857142858	0.6622433324842096	0.53682985	1
17	Iter0018	18	5	7	2	14	2	1.0285714285714287	1.0	0.2503276141	1
18	Iter0019	32	6	6	2	20	0	1.7777777777777777	0.6130726294429566	0.47508848269999987	1
19	Iter0020	32	4	7	4	25	3	4.571428571428571	0.07327042721624275	0.4963553821000001	1
20	Iter0021	32	5	7	6	21	0	5.485714285714287	0.023339546187541672	0.41273124605333	1
21	Iter0022	30	6	7	2	26	2	1.4285714285714286	0.65145902847783	0.6503325900000001	1
22	Iter0023	32	6	8	8	18	2	5.333333333333333	0.015890622413242694	0.336689180379	1
23	Iter0024	30	3	8	2	24	0	2.5	0.5749004257228918	0.3956351899999999	1
24	Iter0025	21	6	8	2	16	1	0.875	1.0	0.311850181438	1
25	Iter0026	34	4	10	0	22	1	0.6363636363636364	0.5664508171446214	0.41048511739790006	1
26	Iter0027	31	3	7	2	23	2	2.952380952380953	0.2773307237289058	0.40491993582	1
27	Iter0028	24	8	4	3	14	1	2.25	0.37913145343486093	0.27774739986	1
28	Iter0029	32	3	2	2	20	0	10.666666666666666	0.07240033555823039	0.5442196465946971	1
29	Iter0030	32	4	10	5	20	0	4.0	0.10224506040610604	0.39935056600000013	1
