	IterId	dN	dS	pN	pS	bdN	bpN	MkScore	FSPVal	SelCoef	PosSel
0	Iter0001	10	3	7	2	0	0	0.9523809523809524	1.0	-1.23905e-08	0
1	Iter0002	0	0	2	4	0	0	1.6666666666666667	1.0	-8.907265128e-05	0
2	Iter0003	1	0	4	2	0	0	1.2	1.0	-0.00015980393	0
3	Iter0004	3	1	6	5	0	0	2.5	0.6043956043956045	-5.66765094e-05	0
4	Iter0005	8	2	8	6	0	0	3.0	0.3875353344999348	0.0	0
5	Iter0006	5	4	2	2	0	0	1.25	1.0	-2.4302452e-05	0
6	Iter0007	0	0	8	0	0	0	0.1111111111111111	1.0	-1.0727097999999999e-05	0
7	Iter0008	16	1	6	1	0	0	2.6666666666666665	0.507246376811596	-9.780571066000001e-05	0
8	Iter0009	12	0	10	1	0	0	2.363636363636364	0.4782608695652183	-2.5003816e-05	0
9	Iter0010	7	7	5	4	0	0	0.8	1.0	-0.00051530179	0
10	Iter0011	6	1	4	1	0	0	1.5	1.0	-0.00017419213600000001	0
11	Iter0012	4	2	6	7	0	0	2.333333333333333	0.6284829721362215	-9.39612e-05	0
12	Iter0013	7	0	3	1	0	0	4.0	0.3636363636363637	-0.00033173412	0
13	Iter0014	6	2	3	3	0	0	3.0	0.5804195804195795	-1.320900111546e-05	0
14	Iter0015	6	1	9	1	0	0	0.6666666666666666	1.0	-0.00012754700000000002	0
15	Iter0016	3	0	5	2	0	0	2.0	1.0	-3.08246e-06	0
16	Iter0017	6	0	8	3	0	0	3.111111111111111	0.514705882352942	-4.5773951e-05	0
17	Iter0018	7	1	7	2	0	0	2.0	1.0	-7.11346e-05	0
18	Iter0019	5	2	2	1	0	0	1.25	1.0	-0.00011456077	0
19	Iter0020	2	0	5	5	0	0	3.0	0.4696969696969707	-0.00012652824599999998	0
20	Iter0021	2	0	4	2	0	0	1.7999999999999998	1.0	-0.0002042633560031	0
21	Iter0022	7	0	5	1	0	0	2.6666666666666665	0.4615384615384615	-0.0002000025725	0
22	Iter0023	1	0	5	7	0	0	2.6666666666666665	0.4615384615384624	-0.0001791839	0
23	Iter0024	3	2	5	4	0	0	1.2	1.0	0.0	0
24	Iter0025	5	0	2	2	0	0	6.0	0.16666666666666674	0.0	0
25	Iter0026	1	1	3	3	0	0	1.0	1.0	-3.78591e-05	0
26	Iter0027	3	0	2	1	0	0	2.6666666666666665	1.0	-4.90037e-07	0
27	Iter0028	8	2	4	4	0	0	4.0	0.32126696832579216	-0.000580985920016	0
28	Iter0029	5	2	7	2	0	0	0.7142857142857143	1.0	-1.61688e-05	0
29	Iter0030	5	0	4	3	0	0	4.8	0.20454545454545486	-9.17269e-08	0
30	Iter0031	8	1	3	0	0	0	1.125	1.0	-0.00033381829999999993	0
31	Iter0032	3	0	5	3	0	0	2.6666666666666665	0.4909090909090907	-7.914750798999999e-05	0
32	Iter0033	4	1	5	3	0	0	2.4	1.0	0.0	0
33	Iter0034	5	2	10	1	0	0	0.25	0.5281862745098062	-0.0010603156999999998	0
34	Iter0035	7	2	4	2	0	0	1.75	1.0	-1.8386e-05	0
35	Iter0036	3	0	4	7	0	0	6.4	0.1923076923076922	-0.000167257703904	0
36	Iter0037	8	1	6	2	0	0	2.6666666666666665	0.5764705882352942	-4.6080078e-05	0
37	Iter0038	10	3	4	1	0	0	0.8333333333333334	1.0	-4.955519999999999e-10	0
38	Iter0039	3	1	7	3	0	0	1.2857142857142856	1.0	-0.00037751137	0
39	Iter0040	4	2	2	5	0	0	5.0	0.28613053613053674	-0.000666516913	0
40	Iter0041	7	1	2	3	0	0	10.5	0.21678321678321727	-2.0106302400000002e-08	0
41	Iter0042	2	1	5	2	0	0	0.8	1.0	-0.000204180668101	0
42	Iter0043	7	1	11	3	0	0	1.9090909090909087	1.0	-6.268773298000001e-05	0
43	Iter0044	5	0	10	1	0	0	1.0909090909090908	1.0	-9.933358300000001e-05	0
