	IterId	dN	dS	pN	pS	bdN	bpN	MkScore	FSPVal	SelCoef	PosSel
0	Iter0001	22	2	3	2	21	3	7.333333333333332	0.12652098858995434	0.4387779094000001	1
1	Iter0002	24	1	5	4	23	2	19.2	0.011773331033293156	0.6444224195954099	1
2	Iter0003	33	2	7	2	27	1	4.714285714285714	0.1803743618831508	0.6220594927299999	1
3	Iter0004	27	3	7	1	22	0	1.2857142857142858	1.0	0.46234491671	1
4	Iter0005	29	2	8	2	25	1	3.625	0.2454330008887105	0.5313148410039931	1
5	Iter0006	30	6	7	2	26	1	1.4285714285714286	0.65145902847783	0.5639379458902101	1
6	Iter0007	24	6	7	4	21	1	2.2857142857142856	0.4132385849944196	0.3867052502000001	1
7	Iter0008	33	5	4	1	28	1	1.65	0.5471661067236581	0.5764807808	1
8	Iter0009	26	1	4	0	18	0	2.7	1.0	0.399088848863	1
9	Iter0010	28	3	10	3	22	3	2.8000000000000003	0.3394137059763873	0.3791093093653	1
10	Iter0011	16	4	6	6	14	1	4.0	0.119023180717334	0.24610714793000002	1
11	Iter0012	29	3	5	0	22	0	1.25	1.0	0.388254983	1
12	Iter0013	24	4	6	0	22	4	0.7142857142857143	1.0	0.5448714679000001	1
13	Iter0014	21	2	6	2	20	2	3.5	0.2682981090100113	0.57763876	1
14	Iter0015	32	5	10	1	23	4	0.64	1.0	0.47950394304499994	1
15	Iter0016	25	1	2	1	21	0	12.5	0.19950738916256328	0.4001498094383101	1
16	Iter0017	23	1	8	2	21	2	5.75	0.2005347593582906	0.5435461239999999	1
17	Iter0018	25	1	12	1	22	4	2.083333333333333	1.0	0.4940666208	1
18	Iter0019	30	1	7	0	24	1	1.9375	1.0	0.4496285911670001	1
19	Iter0020	19	1	3	3	16	2	19.0	0.027759197324414887	0.36161194543	1
20	Iter0021	27	2	2	2	24	1	13.5	0.062390029325511874	0.6467410291499999	1
21	Iter0022	19	3	5	4	14	2	5.066666666666666	0.15043267448161834	0.30650868043199997	1
22	Iter0023	25	6	6	2	21	2	1.3888888888888893	0.6580734970827906	0.5406048936000001	1
23	Iter0024	28	7	4	2	26	0	2.0	0.5969244647036606	0.5856804025165999	1
24	Iter0025	24	3	5	1	17	0	1.6	1.0	0.30502119679999995	1
25	Iter0026	20	2	10	2	17	4	2.0	0.6015180265654685	0.2746858681	1
26	Iter0027	24	7	7	1	22	1	0.4897959183673469	1.0	0.40514668963889994	1
27	Iter0028	27	2	7	0	21	0	1.1666666666666667	1.0	0.44889960674208	1
28	Iter0029	30	2	3	1	25	1	5.0	0.3053221288515442	0.5032558395982	1
29	Iter0030	30	2	6	2	22	2	5.0	0.17233833023306738	0.6351395720000002	1
30	Iter0031	27	2	7	0	21	2	1.1666666666666667	1.0	0.5667418405831001	1
31	Iter0032	30	6	5	3	25	0	3.0	0.3288231291634585	0.578967499406	1
32	Iter0033	20	3	6	3	14	2	3.333333333333333	0.3140294771968895	0.27237714510600003	1
33	Iter0034	27	1	6	4	22	0	18.0	0.012216550916241692	0.5007725778641856	1
34	Iter0035	16	4	5	2	16	2	1.6	0.6333637377115664	0.35273046999999996	1
35	Iter0036	30	1	5	2	22	0	12.0	0.08131816026552847	0.4098213289961599	1
36	Iter0037	26	3	5	3	23	1	5.199999999999998	0.10095389507154448	0.5467329225499707	1
37	Iter0038	33	5	3	1	30	1	2.2	0.4737335834896848	0.62606476966	1
38	Iter0039	30	2	3	0	26	1	2.583333333333333	1.0	0.46592696152000007	1
39	Iter0040	23	6	2	3	21	0	5.750000000000001	0.10233741590477748	0.44522212000000005	1
40	Iter0041	24	7	5	0	20	0	0.5208333333333334	0.5589906417112239	0.5564518745699999	1
41	Iter0042	22	1	11	2	17	6	4.0	0.5393557422969281	0.37349738475999994	1
42	Iter0043	25	5	8	3	22	0	1.875	0.6582080079021991	0.5976279289809999	1
43	Iter0044	27	2	2	2	24	0	13.5	0.062390029325511874	0.5487140350999999	1
44	Iter0045	25	4	4	2	21	0	3.125	0.2683715715025005	0.5016046311000001	1
45	Iter0046	23	2	11	6	21	1	6.2727272727272725	0.04494515534310197	0.38605374071500004	1
46	Iter0047	22	3	7	2	19	2	2.095238095238096	0.5908444022770442	0.35090034087592503	1
47	Iter0048	24	6	6	5	22	1	3.333333333333333	0.12803665057442426	0.4672478373999999	1
48	Iter0049	32	0	13	3	25	4	9.428571428571429	0.03237742830712443	0.46767960789490004	1
49	Iter0050	16	5	5	4	13	2	2.56	0.3888191568551403	0.32497679109172	1
50	Iter0051	21	4	7	2	16	3	1.5	0.6444578943924749	0.2835682625	1
51	Iter0052	26	4	4	1	22	1	1.625	0.5610229429015064	0.5367712899996999	1
52	Iter0053	22	1	4	1	19	3	5.5	0.3306878306878282	0.308242835	1
53	Iter0054	20	4	11	2	17	2	0.9090909090909092	1.0	0.345692641492	1
54	Iter0055	31	3	5	0	26	0	1.3333333333333333	1.0	0.6615084671	1
55	Iter0056	27	2	2	1	20	0	6.75	0.2633064516129015	0.39934362706145	1
56	Iter0057	29	4	5	5	26	2	7.25	0.020432710733334872	0.5702122510000002	1
57	Iter0058	27	1	7	0	23	1	1.75	1.0	0.49420154871000005	1
58	Iter0059	23	1	6	5	20	2	19.166666666666668	0.007115749525616723	0.3658845017259999	1
59	Iter0060	28	1	5	4	25	0	22.4	0.007530750564806397	0.5286519979983	1
60	Iter0061	18	3	3	1	14	0	2.0	0.5268774703557355	0.367955358	1
61	Iter0062	26	1	11	2	20	4	4.727272727272728	0.2421052631578859	0.3100031911	1
62	Iter0063	28	2	7	3	22	0	6.0	0.08928766823503577	0.6394711362175424	1
63	Iter0064	24	4	8	1	20	2	0.75	1.0	0.48055939949500004	1
64	Iter0065	25	4	7	0	20	1	0.65	0.5657754010695096	0.45667838960600005	1
65	Iter0066	25	2	3	0	22	1	2.1666666666666665	1.0	0.5399677660129001	1
66	Iter0067	26	2	5	3	21	4	7.8	0.06149732620320905	0.44590322552500006	1
67	Iter0068	27	1	7	7	25	3	27.0	0.0008396072580925192	0.523517956087	1
68	Iter0069	19	4	8	1	17	3	0.59375	1.0	0.42416685680780003	1
69	Iter0070	30	3	7	0	24	1	0.96875	1.0	0.46514254292999996	1
70	Iter0071	19	2	4	0	14	2	1.3333333333333337	1.0	0.3900158637658397	1
71	Iter0072	19	2	6	2	16	1	3.1666666666666665	0.3000294724432677	0.42725112550000005	1
72	Iter0073	21	2	1	2	21	1	21.0	0.052307692307692666	0.38826341000000003	1
73	Iter0074	29	2	2	3	25	1	21.75	0.012748281130634209	0.616059696	1
74	Iter0075	36	4	7	3	32	0	3.8571428571428568	0.13262010884582673	0.6294403670797903	1
75	Iter0076	22	2	6	0	18	2	1.0952380952380951	1.0	0.417185764	1
76	Iter0077	19	3	4	1	15	0	1.5833333333333333	1.0	0.31147822191	1
77	Iter0078	23	8	9	1	20	3	0.3194444444444444	0.4100516874057577	0.4830667447000001	1
78	Iter0079	22	4	4	2	19	0	2.75	0.31040000353126096	0.40990729389	1
79	Iter0080	20	3	8	2	17	1	1.6666666666666667	0.6269002595476496	0.43471951332000003	1
80	Iter0081	32	4	3	3	30	0	8.0	0.047779684493419995	0.84828888	1
81	Iter0082	31	6	7	2	22	1	1.4761904761904765	0.6448923145216486	0.5681844847836999	1
82	Iter0083	17	1	10	3	14	2	5.1	0.2835849356427767	0.1855985114	1
83	Iter0084	25	2	2	3	20	0	18.75	0.018105434609883942	0.489749476855337	1
84	Iter0085	22	5	2	2	21	1	4.4	0.2120133481646244	0.45000936282738	1
85	Iter0086	28	2	1	0	24	0	4.833333333333333	1.0	0.5434756728100001	1
86	Iter0087	22	2	2	2	18	1	11.0	0.08561660561660488	0.42443402930325	1
87	Iter0088	27	3	4	1	22	1	2.25	0.4766042780748739	0.5223185625269999	1
88	Iter0089	28	4	11	4	23	3	2.5454545454545454	0.2454812374562661	0.5056831061729483	1
89	Iter0090	14	2	9	1	14	0	0.7777777777777778	1.0	0.39253906	1
90	Iter0091	21	3	3	4	20	0	9.333333333333334	0.029208142000133337	0.4467874729210001	1
91	Iter0092	31	2	12	0	25	2	0.8205128205128205	1.0	0.48227820920000003	1
92	Iter0093	28	3	8	0	23	3	0.8055555555555556	1.0	0.5669222318880999	1
93	Iter0094	33	5	7	2	28	1	1.8857142857142857	0.6049366067741353	0.5433669567007	1
94	Iter0095	26	4	4	7	23	0	11.375	0.003082108947228176	0.39900296945339997	1
95	Iter0096	33	2	11	2	31	1	3.0	0.2936324390995901	0.9849948379999997	1
96	Iter0097	24	1	4	4	19	0	24.0	0.007609465062190341	0.3984622451903973	1
