	IterId	dN	dS	pN	pS	bdN	bpN	MkScore	FSPVal	SelCoef	PosSel
0	Iter0001	48	7	5	2	21	3	2.7428571428571433	0.26644322341101023	0.4387779094000001	1
1	Iter0002	39	4	9	5	23	2	5.416666666666668	0.0319411180559616	0.6444224195954099	1
2	Iter0003	54	5	13	4	27	1	3.3230769230769237	0.10647110128860583	0.6220594927299999	1
3	Iter0004	51	8	8	2	22	0	1.59375	0.630456702416645	0.46234491671	1
4	Iter0005	53	6	7	3	25	1	3.7857142857142856	0.11610594071248805	0.5313148410039931	1
5	Iter0006	57	8	9	4	26	1	3.1666666666666665	0.10733567099918888	0.5639379458902101	1
6	Iter0007	55	7	9	4	20	1	3.492063492063492	0.090412979131101	0.3867052502000001	1
7	Iter0008	57	6	8	2	28	1	2.375	0.30028915271927514	0.5764807808	1
8	Iter0009	52	2	6	1	18	0	4.333333333333333	0.310808557932758	0.399088848863	1
9	Iter0010	53	4	15	4	22	3	3.533333333333333	0.10169475232347823	0.3791093093653	1
10	Iter0011	38	5	6	6	14	1	7.6	0.008303067024725582	0.24610714793000002	1
11	Iter0012	55	4	6	3	22	0	6.875	0.04388835271896088	0.388254983	1
12	Iter0013	56	4	13	0	22	4	0.8142857142857143	1.0	0.5448714679000001	1
13	Iter0014	35	3	13	3	20	2	2.6923076923076925	0.34608107393899923	0.57763876	1
14	Iter0015	55	8	10	1	23	4	0.6875	1.0	0.47950394304499994	1
15	Iter0016	53	8	4	1	21	0	1.65625	0.5314826302729404	0.4001498094383101	1
16	Iter0017	47	3	9	2	21	2	3.4814814814814814	0.2180290720669644	0.5435461239999999	1
17	Iter0018	46	1	13	2	22	4	7.0769230769230775	0.14251718667372146	0.4940666208	1
18	Iter0019	62	8	11	2	24	1	1.4090909090909092	0.6524176153883298	0.4496285911670001	1
19	Iter0020	53	3	5	6	16	2	21.2	0.00031161951860447	0.36161194543	1
20	Iter0021	53	6	3	5	23	1	14.722222222222225	0.002075439221740913	0.6467410291499999	1
21	Iter0022	45	3	7	4	14	3	8.571428571428571	0.018324291811982047	0.30650868043199997	1
22	Iter0023	54	9	8	3	21	2	2.25	0.37099186613075824	0.5406048936000001	1
23	Iter0024	50	12	6	2	26	0	1.3888888888888893	0.6560674886437554	0.5856804025165999	1
24	Iter0025	49	8	7	4	17	0	3.5	0.09415728527718957	0.30502119679999995	1
25	Iter0026	49	6	12	1	17	4	0.6805555555555555	1.0	0.2746858681	1
26	Iter0027	52	7	8	2	22	1	1.8571428571428568	0.6087188613823611	0.40514668963889994	1
27	Iter0028	53	7	10	1	20	1	0.7571428571428571	1.0	0.42952390674208	1
28	Iter0029	55	6	7	0	25	1	1.0	1.0	0.5032558395982	1
29	Iter0030	65	2	9	2	22	2	7.222222222222222	0.09323308270677057	0.6351395720000002	1
30	Iter0031	57	5	8	0	21	2	1.074074074074074	1.0	0.5667418405831001	1
31	Iter0032	64	7	7	5	25	0	6.530612244897959	0.012353126249296966	0.578967499406	1
32	Iter0033	47	9	7	4	14	2	2.9841269841269837	0.20356337353173184	0.27237714510600003	1
33	Iter0034	48	4	9	4	22	0	5.333333333333333	0.0444541406931022	0.5007725778641856	1
34	Iter0035	38	6	9	1	15	3	0.7037037037037037	1.0	0.33972797	1
35	Iter0036	54	5	6	3	22	0	5.4	0.06522235577760123	0.4098213289961599	1
36	Iter0037	55	5	5	5	23	1	11.0	0.0037380239812760357	0.5467329225499707	1
37	Iter0038	58	5	6	2	30	1	3.8666666666666663	0.1752443754391051	0.62606476966	1
38	Iter0039	53	5	4	1	26	1	2.65	0.4042968925059741	0.46592696152000007	1
39	Iter0040	53	6	2	4	21	0	17.666666666666668	0.003945816214457146	0.44522212000000005	1
40	Iter0041	54	9	6	1	20	0	1.0	1.0	0.5564518745699999	1
41	Iter0042	44	7	14	3	17	6	1.3469387755102042	0.7021528300244347	0.37349738475999994	1
42	Iter0043	49	7	8	3	22	0	2.625	0.3489262507441545	0.5976279289809999	1
43	Iter0044	50	5	5	4	24	0	8.0	0.017557888496859776	0.5487140350999999	1
44	Iter0045	50	6	8	1	21	0	1.0416666666666667	1.0	0.5016046311000001	1
45	Iter0046	48	5	11	6	21	2	5.236363636363637	0.01932400513241036	0.38605374071500004	1
46	Iter0047	42	6	11	1	19	2	0.6363636363636364	1.0	0.35090034087592503	1
47	Iter0048	41	12	7	5	22	1	2.4404761904761907	0.2730391626498868	0.4672478373999999	1
48	Iter0049	55	1	16	4	25	5	13.75	0.015525114155250546	0.46767960789490004	1
49	Iter0050	47	6	6	5	13	2	6.527777777777778	0.0161818079635754	0.32497679109172	1
50	Iter0051	39	11	12	1	16	3	0.2954545454545455	0.4312030315856787	0.2835682625	1
51	Iter0052	56	7	8	1	22	1	1.0	1.0	0.5367712899996999	1
52	Iter0053	59	4	7	1	19	3	2.107142857142857	0.4601462268284661	0.308242835	1
53	Iter0054	40	8	11	3	17	2	1.3636363636363638	0.6997337892062048	0.345692641492	1
54	Iter0055	57	5	6	0	27	0	1.380952380952381	1.0	0.6615084671	1
55	Iter0056	52	6	3	2	20	0	5.777777777777778	0.11689627046940035	0.39934362706145	1
56	Iter0057	48	5	9	4	26	2	4.266666666666667	0.06676701691639303	0.5736660610000002	1
57	Iter0058	51	7	8	1	23	1	0.9107142857142856	1.0	0.49420154871000005	1
58	Iter0059	57	3	9	7	20	2	14.777777777777775	0.0004347192127757828	0.3658845017259999	1
59	Iter0060	54	4	9	4	25	0	6.0	0.032521665474005784	0.5286519979983	1
60	Iter0061	50	5	7	2	14	1	2.8571428571428568	0.2533439952576213	0.367955358	1
61	Iter0062	46	4	13	5	20	4	4.4230769230769225	0.048260604246537823	0.3100031911	1
62	Iter0063	55	8	6	4	22	0	4.583333333333333	0.05264298764207585	0.6394711362175424	1
63	Iter0064	48	7	13	3	20	2	1.5824175824175823	0.6835695885977584	0.48055939949500004	1
64	Iter0065	50	7	10	2	20	2	1.4285714285714286	0.6501109631297697	0.45667838960600005	1
65	Iter0066	51	6	9	0	21	2	0.7428571428571429	0.5852469186022871	0.5221257660129001	1
66	Iter0067	55	7	8	4	21	4	3.928571428571429	0.07143056631200627	0.44590322552500006	1
67	Iter0068	52	3	9	7	25	3	13.481481481481481	0.0006927684562207722	0.523517956087	1
68	Iter0069	43	6	12	1	18	3	0.5972222222222222	1.0	0.42416685680780003	1
69	Iter0070	57	5	8	0	24	1	1.074074074074074	1.0	0.46514254292999996	1
70	Iter0071	49	3	4	1	14	2	4.083333333333333	0.31463760411130504	0.3900158637658397	1
71	Iter0072	40	5	9	3	16	1	2.6666666666666665	0.34512110550431696	0.42725112550000005	1
72	Iter0073	41	5	2	2	21	1	8.2	0.08902735562310167	0.38826341000000003	1
73	Iter0074	56	4	6	4	25	1	9.333333333333334	0.011801016291034614	0.616059696	1
74	Iter0075	56	9	8	4	33	0	3.111111111111111	0.1117518863471451	0.6294403670797903	1
75	Iter0076	49	6	8	2	18	2	2.0416666666666665	0.5979544589848949	0.417185764	1
76	Iter0077	38	5	5	1	14	1	1.52	0.5640350244883354	0.29427182190999995	1
77	Iter0078	48	11	14	3	20	3	0.9350649350649348	1.0	0.4830667447000001	1
78	Iter0079	48	5	6	4	19	0	6.4	0.028795077606945794	0.40990729389	1
79	Iter0080	38	9	14	5	17	1	1.507936507936508	0.5227276112675378	0.43504398432	1
80	Iter0081	58	6	6	3	30	0	4.833333333333333	0.07562848010583459	0.84828888	1
81	Iter0082	55	7	9	3	22	1	2.619047619047619	0.3505190985862007	0.5681844847836999	1
82	Iter0083	43	4	12	4	14	2	3.583333333333333	0.18567923201141506	0.1855985114	1
83	Iter0084	42	6	6	3	20	1	3.5	0.14145207636182672	0.489749476855337	1
84	Iter0085	41	9	5	3	21	1	2.733333333333333	0.3423894082246942	0.4500093700000001	1
85	Iter0086	51	4	3	1	24	0	4.25	0.30513528121883776	0.5434756728100001	1
86	Iter0087	50	2	3	2	18	1	16.666666666666668	0.03489785068732594	0.42443402930325	1
87	Iter0088	53	5	4	1	22	0	2.65	0.4042968925059741	0.5223185625269999	1
88	Iter0089	48	8	13	4	23	3	1.8461538461538465	0.4564096921768042	0.5056831061729483	1
89	Iter0090	37	2	11	2	14	0	3.363636363636364	0.25733493397358786	0.39253906	1
