	Method	Selection	PopSize	TP	TN	FP	FN	Sen	Spe	Acc
0	YLK-FastMl	Scenario-1_None	5	0	653	347	0	NA	0.653	0.653
1	YLK-Prank	Scenario-1_None	5	0	664	336	0	NA	0.664	0.664
2	MK	Scenario-1_None	5	0	637	363	0	NA	0.637	0.637
3	YLK-FastMl	Scenario-1_None	20	0	699	301	0	NA	0.699	0.699
4	YLK-Prank	Scenario-1_None	20	0	710	290	0	NA	0.71	0.71
5	MK	Scenario-1_None	20	0	693	307	0	NA	0.693	0.693
6	YLK-FastMl	Scenario-1_None	100	0	735	265	0	NA	0.735	0.735
7	YLK-Prank	Scenario-1_None	100	0	739	261	0	NA	0.739	0.739
8	MK	Scenario-1_None	100	0	752	248	0	NA	0.752	0.752
9	YLK-FastMl	Scenario-1_None	500	0	768	232	0	NA	0.768	0.768
10	YLK-Prank	Scenario-1_None	500	0	776	224	0	NA	0.776	0.776
11	MK	Scenario-1_None	500	0	801	199	0	NA	0.801	0.801
12	YLK-FastMl	Scenario-2_P1	5	207	392	199	202	0.5061124694376528	0.6632825719120136	0.599
13	YLK-Prank	Scenario-2_P1	5	157	386	205	252	0.38386308068459657	0.6531302876480541	0.543
14	MK	Scenario-2_P1	5	187	388	203	222	0.4572127139364303	0.6565143824027073	0.575
15	YLK-FastMl	Scenario-2_P1	20	163	422	170	245	0.39950980392156865	0.7128378378378378	0.585
16	YLK-Prank	Scenario-2_P1	20	125	421	171	283	0.30637254901960786	0.7111486486486487	0.546
17	MK	Scenario-2_P1	20	136	423	169	272	0.3333333333333333	0.714527027027027	0.559
18	YLK-FastMl	Scenario-2_P1	100	149	447	148	256	0.36790123456790125	0.7512605042016807	0.596
19	YLK-Prank	Scenario-2_P1	100	107	441	154	298	0.2641975308641975	0.7411764705882353	0.548
20	MK	Scenario-2_P1	100	118	457	138	287	0.291358024691358	0.7680672268907563	0.575
21	YLK-FastMl	Scenario-2_P1	500	137	475	120	268	0.33827160493827163	0.7983193277310925	0.612
22	YLK-Prank	Scenario-2_P1	500	104	470	125	301	0.25679012345679014	0.7899159663865546	0.574
23	MK	Scenario-2_P1	500	111	483	112	294	0.2740740740740741	0.8117647058823529	0.594
24	YLK-FastMl	Scenario-3_P5	5	0	678	322	0	NA	0.678	0.678
25	YLK-Prank	Scenario-3_P5	5	0	697	303	0	NA	0.697	0.697
26	MK	Scenario-3_P5	5	0	606	394	0	NA	0.606	0.606
27	YLK-FastMl	Scenario-3_P5	20	0	723	277	0	NA	0.723	0.723
28	YLK-Prank	Scenario-3_P5	20	0	739	261	0	NA	0.739	0.739
29	MK	Scenario-3_P5	20	0	681	319	0	NA	0.681	0.681
30	YLK-FastMl	Scenario-3_P5	100	0	776	224	0	NA	0.776	0.776
31	YLK-Prank	Scenario-3_P5	100	0	763	237	0	NA	0.763	0.763
32	MK	Scenario-3_P5	100	0	749	251	0	NA	0.749	0.749
33	YLK-FastMl	Scenario-3_P5	500	0	792	208	0	NA	0.792	0.792
34	YLK-Prank	Scenario-3_P5	500	0	781	219	0	NA	0.781	0.781
35	MK	Scenario-3_P5	500	0	785	215	0	NA	0.785	0.785
36	YLK-FastMl	Scenario-4_P1P5	5	174	399	223	204	0.4603174603174603	0.6414790996784566	0.573
37	YLK-Prank	Scenario-4_P1P5	5	146	402	220	232	0.3862433862433862	0.6463022508038585	0.548
38	MK	Scenario-4_P1P5	5	171	379	243	207	0.4523809523809524	0.6093247588424437	0.55
39	YLK-FastMl	Scenario-4_P1P5	20	165	432	192	211	0.43882978723404253	0.6923076923076923	0.597
40	YLK-Prank	Scenario-4_P1P5	20	140	448	176	236	0.3723404255319149	0.717948717948718	0.588
41	MK	Scenario-4_P1P5	20	161	428	196	215	0.42819148936170215	0.6858974358974359	0.589
42	YLK-FastMl	Scenario-4_P1P5	100	136	461	163	240	0.3617021276595745	0.7387820512820513	0.597
43	YLK-Prank	Scenario-4_P1P5	100	116	478	146	260	0.30851063829787234	0.7660256410256411	0.594
44	MK	Scenario-4_P1P5	100	123	467	157	253	0.3271276595744681	0.7483974358974359	0.59
45	YLK-FastMl	Scenario-4_P1P5	500	125	475	152	248	0.3351206434316354	0.7575757575757576	0.6
46	YLK-Prank	Scenario-4_P1P5	500	122	491	136	251	0.32707774798927614	0.7830940988835726	0.613
47	MK	Scenario-4_P1P5	500	107	494	133	266	0.2868632707774799	0.7878787878787878	0.601
