	IterId	dN	dS	pN	pS	bdN	bpN	MkScore	FSPVal	SelCoef	PosSel
0	Iter0001	10	7	5	7	0	0	2.0	0.4621373523764495	-0.00011893863	0
1	Iter0002	5	5	7	5	0	0	0.7142857142857143	1.0	-0.0005657711416580001	0
2	Iter0003	11	3	3	5	0	0	6.1111111111111125	0.08145854833161356	-0.000208271902857	0
3	Iter0004	8	2	5	5	0	0	4.0	0.3498452012383904	-0.000329972830885	0
4	Iter0005	5	4	3	6	0	0	2.5	0.6371863430686975	-0.00028902408299999997	0
5	Iter0006	5	7	12	4	0	0	0.2380952380952381	0.12115070284406658	0.0	0
6	Iter0007	3	4	7	4	0	0	0.42857142857142855	0.6304675716440441	-8.092480000000001e-06	0
7	Iter0008	8	5	9	3	0	0	0.5333333333333333	0.6727688787185361	-0.0005472616668876	0
8	Iter0009	6	5	4	3	0	0	0.9	1.0	-0.0001914206009	0
9	Iter0010	7	2	9	8	0	0	3.111111111111111	0.3988766382359068	-2.061795e-06	0
10	Iter0011	2	9	10	3	0	0	0.06666666666666668	0.012278137799742302	0.0	0
11	Iter0012	11	6	5	0	0	0	0.2857142857142857	0.2663476874003189	-9.29157202e-05	0
12	Iter0013	6	4	9	6	0	0	1.0	1.0	-0.0008456391056966201	0
13	Iter0014	3	3	2	5	0	0	2.5	0.5920745920745943	-0.00105894	0
14	Iter0015	6	5	6	1	0	0	0.2	0.3156108597285074	-0.00038028509300599994	0
15	Iter0016	6	10	3	2	0	0	0.4	0.6107916850950892	-0.00011530700000000001	0
16	Iter0017	6	7	12	4	0	0	0.2857142857142857	0.14264371573611795	-0.0005894070700000001	0
17	Iter0018	6	7	3	6	0	0	1.7142857142857142	0.6739938080495301	-9.75544327e-05	0
18	Iter0019	4	1	6	1	0	0	0.6666666666666666	1.0	-2.05491e-09	0
19	Iter0020	10	6	10	2	0	0	0.33333333333333337	0.4009661835748763	-0.000548314993	0
20	Iter0021	5	7	7	1	0	0	0.1020408163265306	0.06966738112248938	-1.9026996000000005e-05	0
21	Iter0022	9	6	6	5	0	0	1.25	1.0	-0.0015500504999999998	0
22	Iter0023	2	9	7	2	0	0	0.06349206349206349	0.021552750654917786	0.0	0
23	Iter0024	7	9	7	5	0	0	0.5555555555555556	0.7035671018979679	-0.000430631	0
24	Iter0025	5	7	6	5	0	0	0.5952380952380952	0.6842726529090746	-7.203125999999999e-05	0
25	Iter0026	4	2	3	4	0	0	2.6666666666666665	0.592074592074594	-6.49741000454766e-05	0
26	Iter0027	9	3	4	1	0	0	0.75	1.0	-0.0007578146000000001	0
27	Iter0028	7	5	9	5	0	0	0.7777777777777777	1.0	-4.511335e-05	0
28	Iter0029	7	3	8	1	0	0	0.2916666666666667	0.5820433436532519	-8.11725e-05	0
29	Iter0030	5	8	11	3	0	0	0.17045454545454547	0.05423789653161111	0.0	0
30	Iter0031	4	9	5	0	0	0	0.08333333333333333	0.029411764705882318	-0.00031865800000000004	0
31	Iter0032	2	8	5	4	0	0	0.2	0.16980233388902094	-1.6643065812e-06	0
32	Iter0033	3	8	7	2	0	0	0.10714285714285714	0.0697785186949274	-4.01326e-05	0
33	Iter0034	3	8	4	5	0	0	0.46875	0.6424148606811146	-1.59243e-06	0
34	Iter0035	2	6	13	5	0	0	0.1282051282051282	0.03844393592677348	0.0	0
35	Iter0036	5	8	4	6	0	0	0.9375	1.0	-0.0005659014402540001	0
36	Iter0037	2	8	10	5	0	0	0.125	0.04140530354018057	0.0	0
37	Iter0038	5	6	7	2	0	0	0.2380952380952381	0.1968087639914264	-0.00021753344799999998	0
38	Iter0039	4	5	2	3	0	0	1.2000000000000002	1.0	-3.1064799999999997e-06	0
39	Iter0040	2	3	6	0	0	0	0.10714285714285714	0.060606060606060524	-0.00032226342	0
40	Iter0041	6	5	4	7	0	0	2.1	0.6699214098594883	-3.262444e-06	0
41	Iter0042	3	5	8	1	0	0	0.075	0.049773755656108594	-4.162730001581369e-06	0
42	Iter0043	8	6	9	2	0	0	0.2962962962962963	0.2336842105263175	-0.000941474	0
43	Iter0044	5	2	8	3	0	0	0.9375	1.0	-1.68793e-13	0
44	Iter0045	6	2	10	5	0	0	1.5	1.0	-0.0010661246142900005	0
45	Iter0046	6	4	5	4	0	0	1.2	1.0	-9.953640642000001e-05	0
46	Iter0047	6	5	11	7	0	0	0.7636363636363637	1.0	-5.5651e-06	0
47	Iter0048	6	7	9	4	0	0	0.3809523809523809	0.4283079822317955	-4.887845e-05	0
48	Iter0049	8	7	6	2	0	0	0.3809523809523809	0.3997846278099353	-3.5830099999999997e-06	0
49	Iter0050	5	3	10	1	0	0	0.16666666666666669	0.2621259029927772	-6.7213e-06	0
50	Iter0051	6	6	5	3	0	0	0.6	0.6699214098594914	-0.00017362837200000003	0
51	Iter0052	4	3	7	4	0	0	0.7619047619047619	1.0	-2.72583600342884e-05	0
52	Iter0053	5	9	12	6	0	0	0.2777777777777778	0.152669166265767	-0.0002270762885	0
53	Iter0054	8	4	8	1	0	0	0.25	0.3383458646616536	-0.0001594176295	0
54	Iter0055	4	8	7	2	0	0	0.14285714285714285	0.08049535603715162	-0.000680780593	0
55	Iter0056	8	8	6	3	0	0	0.5	0.6766186566159681	-0.0007200518603000001	0
56	Iter0057	4	4	5	2	0	0	0.4	0.6083916083916073	-3.96575e-05	0
57	Iter0058	2	6	4	4	0	0	0.3333333333333333	0.6083916083916083	-1.04726e-10	0
58	Iter0059	2	10	10	4	0	0	0.08	0.007941849508682186	0.0	0
59	Iter0060	7	5	6	2	0	0	0.4666666666666666	0.6424148606811138	-5.433170800000001e-06	0
60	Iter0061	6	7	3	5	0	0	1.4285714285714286	1.0	-6.5074353e-05	0
61	Iter0062	6	8	12	2	0	0	0.125	0.04607170099160927	-0.0004435572	0
62	Iter0063	5	4	8	3	0	0	0.46875	0.6424148606811146	-2.52642818269e-05	0
63	Iter0064	5	5	6	1	0	0	0.16666666666666666	0.30429864253393674	-0.000285598	0
64	Iter0065	9	5	5	3	0	0	1.08	1.0	-0.00017748529	0
65	Iter0066	4	3	8	4	0	0	0.6666666666666666	1.0	0.0	0
66	Iter0067	8	9	6	2	0	0	0.2962962962962963	0.2336842105263172	-2.8960623e-05	0
67	Iter0068	7	3	7	2	0	0	0.6666666666666667	1.0	-4.1172643e-05	0
68	Iter0069	3	7	10	4	0	0	0.17142857142857146	0.0953021941041865	-4.24754e-11	0
69	Iter0070	1	8	4	4	0	0	0.125	0.13122171945701328	-4.57952e-08	0
70	Iter0071	13	7	8	3	0	0	0.6964285714285715	1.0	-9.7677863e-05	0
71	Iter0072	7	3	7	6	0	0	2.0	0.6692690806299636	0.0	0
72	Iter0073	7	3	13	4	0	0	0.7179487179487181	1.0	-7.3967031e-05	0
73	Iter0074	6	8	13	5	0	0	0.28846153846153844	0.14918331157002282	-6.768860000000001e-05	0
74	Iter0075	1	6	5	3	0	0	0.1	0.11888111888111882	-7.33172e-06	0
75	Iter0076	9	3	11	5	0	0	1.3636363636363635	1.0	-7.432321635e-05	0
