	ThScore	TP	TN	FP	FN	TPR	FPR
0	0.015873015873015872	787	0	3213	0	1.0	1.0
1	0.03571428571428571	787	1	3212	0	1.0	0.9996887643946467
2	0.037037037037037035	787	2	3211	0	1.0	0.9993775287892935
3	0.04444444444444444	787	3	3210	0	1.0	0.9990662931839402
4	0.04615384615384616	787	4	3209	0	1.0	0.998755057578587
5	0.047619047619047616	787	5	3208	0	1.0	0.9984438219732338
6	0.05	787	6	3207	0	1.0	0.9981325863678805
7	0.05194805194805195	787	8	3205	0	1.0	0.997510115157174
8	0.054545454545454536	786	8	3205	1	0.9987293519695044	0.997510115157174
9	0.05555555555555555	786	9	3204	1	0.9987293519695044	0.9971988795518207
10	0.057142857142857134	786	10	3203	1	0.9987293519695044	0.9968876439464674
11	0.0625	786	11	3202	1	0.9987293519695044	0.9965764083411143
12	0.06593406593406594	786	14	3199	1	0.9987293519695044	0.9956427015250545
13	0.06666666666666668	786	15	3198	1	0.9987293519695044	0.9953314659197012
14	0.06944444444444445	786	17	3196	1	0.9987293519695044	0.9947089947089947
15	0.07142857142857142	786	18	3195	1	0.9987293519695044	0.9943977591036415
16	0.07407407407407407	786	21	3192	1	0.9987293519695044	0.9934640522875817
17	0.08333333333333333	786	23	3190	1	0.9987293519695044	0.9928415810768751
18	0.08333333333333334	786	27	3186	1	0.9987293519695044	0.9915966386554622
19	0.08571428571428573	786	28	3185	1	0.9987293519695044	0.9912854030501089
20	0.08888888888888888	786	29	3184	1	0.9987293519695044	0.9909741674447556
21	0.0909090909090909	785	30	3183	2	0.9974587039390089	0.9906629318394025
22	0.09090909090909093	784	32	3181	3	0.9961880559085133	0.9900404606286959
23	0.0925925925925926	783	37	3176	4	0.9949174078780177	0.9884842826019297
24	0.09375	783	38	3175	4	0.9949174078780177	0.9881730469965764
25	0.09523809523809523	783	39	3174	4	0.9949174078780177	0.9878618113912232
26	0.09615384615384616	783	41	3172	4	0.9949174078780177	0.9872393401805166
27	0.1	783	43	3170	4	0.9949174078780177	0.9866168689698102
28	0.1038961038961039	783	54	3159	4	0.9949174078780177	0.9831932773109243
29	0.10416666666666667	783	56	3157	4	0.9949174078780177	0.9825708061002179
30	0.10714285714285714	782	58	3155	5	0.9936467598475223	0.9819483348895114
31	0.10769230769230767	782	63	3150	5	0.9936467598475223	0.9803921568627451
32	0.1111111111111111	781	63	3150	6	0.9923761118170267	0.9803921568627451
33	0.11363636363636365	780	74	3139	7	0.9911054637865311	0.9769685652038593
34	0.11428571428571427	780	75	3138	7	0.9911054637865311	0.976657329598506
35	0.1153846153846154	780	76	3137	7	0.9911054637865311	0.9763460939931529
36	0.11666666666666667	780	77	3136	7	0.9911054637865311	0.9760348583877996
37	0.12	780	79	3134	7	0.9911054637865311	0.9754123871770931
38	0.12121212121212124	779	81	3132	8	0.9898348157560356	0.9747899159663865
39	0.125	779	82	3131	8	0.9898348157560356	0.9744786803610334
40	0.12727272727272726	777	94	3119	10	0.9872935196950444	0.9707438530967942
41	0.1285714285714286	776	94	3119	11	0.9860228716645489	0.9707438530967942
42	0.13333333333333333	776	95	3118	11	0.9860228716645489	0.970432617491441
43	0.13636363636363635	774	109	3104	13	0.9834815756035579	0.9660753190164955
44	0.1388888888888889	774	112	3101	13	0.9834815756035579	0.9651416122004357
45	0.14	773	117	3096	14	0.9822109275730623	0.9635854341736695
46	0.14285714285714285	772	117	3096	15	0.9809402795425667	0.9635854341736695
47	0.14583333333333334	766	134	3079	21	0.9733163913595934	0.9582944288826641
48	0.14705882352941174	766	135	3078	21	0.9733163913595934	0.957983193277311
49	0.14814814814814814	766	136	3077	21	0.9733163913595934	0.9576719576719577
50	0.15	766	137	3076	21	0.9733163913595934	0.9573607220666044
51	0.15151515151515152	763	145	3068	24	0.9695044472681067	0.9548708372237784
52	0.15384615384615385	763	147	3066	24	0.9695044472681067	0.954248366013072
53	0.15555555555555556	763	149	3064	24	0.9695044472681067	0.9536258948023654
54	0.15625	763	152	3061	24	0.9695044472681067	0.9526921879863056
55	0.15873015873015875	763	154	3059	24	0.9695044472681067	0.9520697167755992
56	0.1590909090909091	763	155	3058	24	0.9695044472681067	0.9517584811702459
57	0.16	762	157	3056	25	0.9682337992376112	0.9511360099595394
58	0.16071428571428573	761	158	3055	26	0.9669631512071156	0.9508247743541861
59	0.16666666666666666	761	159	3054	26	0.9669631512071156	0.9505135387488328
60	0.16666666666666669	761	204	3009	26	0.9669631512071156	0.9365079365079365
61	0.17142857142857146	761	209	3004	26	0.9669631512071156	0.9349517584811703
62	0.175	760	212	3001	27	0.96569250317662	0.9340180516651105
63	0.17777777777777776	759	217	2996	28	0.9644218551461246	0.9324618736383442
64	0.17777777777777778	759	218	2995	28	0.9644218551461246	0.9321506380329909
65	0.17857142857142858	758	218	2995	29	0.963151207115629	0.9321506380329909
66	0.18	757	222	2991	30	0.9618805590851334	0.930905695611578
67	0.1818181818181818	757	224	2989	30	0.9618805590851334	0.9302832244008714
68	0.18181818181818185	757	226	2987	30	0.9618805590851334	0.929660753190165
69	0.18333333333333326	757	230	2983	30	0.9618805590851334	0.9284158107687519
70	0.1851851851851852	757	231	2982	30	0.9618805590851334	0.9281045751633987
71	0.1875	757	235	2978	30	0.9618805590851334	0.9268596327419857
72	0.19047619047619047	757	243	2970	30	0.9618805590851334	0.9243697478991597
73	0.19230769230769232	756	248	2965	31	0.9606099110546379	0.9228135698723934
74	0.19318181818181807	755	249	2964	32	0.9593392630241423	0.9225023342670402
75	0.19444444444444445	754	249	2964	33	0.9580686149936467	0.9225023342670402
76	0.2	753	254	2959	34	0.9567979669631512	0.9209461562402739
77	0.20454545454545456	746	287	2926	41	0.9479034307496823	0.9106753812636166
78	0.2083333333333333	744	289	2924	43	0.9453621346886912	0.91005291005291
79	0.21212121212121213	738	299	2914	49	0.9377382465057179	0.9069405539993776
80	0.21428571428571427	736	301	2912	51	0.9351969504447268	0.906318082788671
81	0.2142857142857143	734	307	2906	53	0.9326556543837357	0.9044506691565515
82	0.21875	734	308	2905	53	0.9326556543837357	0.9041394335511983
83	0.2222222222222222	733	310	2903	54	0.9313850063532402	0.9035169623404917
84	0.22222222222222224	729	337	2876	58	0.9263024142312579	0.8951136009959539
85	0.225	728	337	2876	59	0.9250317662007624	0.8951136009959539
86	0.2272727272727273	727	340	2873	60	0.9237611181702668	0.8941798941798942
87	0.2285714285714285	727	347	2866	60	0.9237611181702668	0.8920012449424214
88	0.2285714285714286	726	349	2864	61	0.9224904701397713	0.8913787737317149
89	0.23076923076923075	725	349	2864	62	0.9212198221092758	0.8913787737317149
90	0.2307692307692308	725	350	2863	62	0.9212198221092758	0.8910675381263616
91	0.2333333333333333	725	351	2862	62	0.9212198221092758	0.8907563025210085
92	0.2352941176470588	724	357	2856	63	0.9199491740787802	0.8888888888888888
93	0.2380952380952381	724	358	2855	63	0.9199491740787802	0.8885776532835357
94	0.24	723	374	2839	64	0.9186785260482846	0.8835978835978836
95	0.2424242424242425	723	378	2835	64	0.9186785260482846	0.8823529411764706
96	0.2444444444444445	722	381	2832	65	0.9174078780177891	0.8814192343604108
97	0.25	722	382	2831	65	0.9174078780177891	0.8811079987550576
98	0.2545454545454545	706	457	2756	81	0.8970775095298602	0.8577653283535637
99	0.25641025641025644	706	459	2754	81	0.8970775095298602	0.8571428571428571
100	0.2571428571428572	706	460	2753	81	0.8970775095298602	0.8568316215375039
101	0.25925925925925924	706	463	2750	81	0.8970775095298602	0.8558979147214442
102	0.26666666666666666	706	468	2745	81	0.8970775095298602	0.8543417366946778
103	0.2727272727272727	701	490	2723	86	0.8907242693773825	0.8474945533769063
104	0.2727272727272728	699	495	2718	88	0.8881829733163914	0.84593837535014
105	0.275	699	496	2717	88	0.8881829733163914	0.8456271397447868
106	0.2777777777777778	699	497	2716	88	0.8881829733163914	0.8453159041394336
107	0.28	696	523	2690	91	0.8843710292249047	0.837223778400249
108	0.28125	695	528	2685	92	0.8831003811944091	0.8356676003734828
109	0.2857142857142857	695	529	2684	92	0.8831003811944091	0.8353563647681295
110	0.2888888888888889	692	562	2651	95	0.8792884371029225	0.8250855897914722
111	0.2916666666666667	692	563	2650	95	0.8792884371029225	0.8247743541861189
112	0.2954545454545455	689	589	2624	98	0.8754764930114358	0.8166822284469343
113	0.2962962962962963	689	590	2623	98	0.8754764930114358	0.8163709928415811
114	0.3	688	593	2620	99	0.8742058449809402	0.8154372860255213
115	0.30000000000000004	683	622	2591	104	0.8678526048284625	0.806411453470277
116	0.30303030303030304	683	623	2590	104	0.8678526048284625	0.8061002178649237
117	0.3055555555555555	682	626	2587	105	0.866581956797967	0.8051665110488639
118	0.3055555555555556	682	627	2586	105	0.866581956797967	0.8048552754435108
119	0.3111111111111111	681	627	2586	106	0.8653113087674714	0.8048552754435108
120	0.3125	681	628	2585	106	0.8653113087674714	0.8045440398381575
121	0.3181818181818182	680	646	2567	107	0.8640406607369758	0.798941798941799
122	0.32	679	649	2564	108	0.8627700127064803	0.7980080921257392
123	0.32142857142857145	678	652	2561	109	0.8614993646759848	0.7970743853096794
124	0.3333333333333333	678	657	2556	109	0.8614993646759848	0.7955182072829131
125	0.33333333333333337	667	760	2453	120	0.8475222363405337	0.7634609399315282
126	0.3428571428571429	667	762	2451	120	0.8475222363405337	0.7628384687208216
127	0.34375	667	765	2448	120	0.8475222363405337	0.7619047619047619
128	0.35	666	765	2448	121	0.8462515883100381	0.7619047619047619
129	0.35714285714285715	663	775	2438	124	0.8424396442185514	0.7587924058512294
130	0.36	660	786	2427	127	0.8386277001270648	0.7553688141923436
131	0.3611111111111111	659	788	2425	128	0.8373570520965693	0.7547463429816371
132	0.3636363636363637	659	790	2423	128	0.8373570520965693	0.7541238717709305
133	0.3666666666666665	658	794	2419	129	0.8360864040660737	0.7528789293495176
134	0.3666666666666667	658	795	2418	129	0.8360864040660737	0.7525676937441643
135	0.3703703703703704	657	799	2414	130	0.8348157560355781	0.7513227513227513
136	0.3714285714285713	656	802	2411	131	0.8335451080050826	0.7503890445066915
137	0.375	655	802	2411	132	0.832274459974587	0.7503890445066915
138	0.3809523809523809	652	836	2377	135	0.8284625158831004	0.739807033924681
139	0.38461538461538464	648	848	2365	139	0.8233799237611181	0.7360722066604419
140	0.3888888888888889	648	849	2364	139	0.8233799237611181	0.7357609710550888
141	0.3928571428571429	643	869	2344	144	0.8170266836086404	0.7295362589480237
142	0.4	643	873	2340	144	0.8170266836086404	0.7282913165266106
143	0.40625	635	928	2285	152	0.806861499364676	0.7111733582321818
144	0.4074074074074073	634	929	2284	153	0.8055908513341804	0.7108621226268285
145	0.40909090909090906	633	929	2284	154	0.8043202033036849	0.7108621226268285
146	0.4090909090909091	633	930	2283	154	0.8043202033036849	0.7105508870214753
147	0.4166666666666666	632	930	2283	155	0.8030495552731893	0.7105508870214753
148	0.4166666666666667	632	931	2282	155	0.8030495552731893	0.710239651416122
149	0.42424242424242425	625	954	2259	162	0.7941550190597204	0.7030812324929971
150	0.42857142857142855	624	954	2259	163	0.7928843710292249	0.7030812324929971
151	0.4285714285714286	621	987	2226	166	0.7890724269377383	0.6928104575163399
152	0.4375	619	989	2224	168	0.7865311308767471	0.6921879863056334
153	0.4400000000000001	614	1003	2210	173	0.7801778907242694	0.6878306878306878
154	0.4444444444444444	614	1005	2208	173	0.7801778907242694	0.6872082166199813
155	0.45	608	1031	2182	179	0.772554002541296	0.6791160908807967
156	0.4545454545454545	605	1041	2172	182	0.7687420584498094	0.6760037348272643
157	0.4571428571428571	605	1044	2169	182	0.7687420584498094	0.6750700280112045
158	0.4571428571428572	604	1044	2169	183	0.7674714104193139	0.6750700280112045
159	0.4583333333333333	604	1045	2168	183	0.7674714104193139	0.6747587924058512
160	0.4615384615384616	603	1051	2162	184	0.7662007623888183	0.6728913787737317
161	0.4666666666666666	602	1052	2161	185	0.7649301143583227	0.6725801431683784
162	0.4666666666666667	600	1061	2152	187	0.7623888182973316	0.6697790227201992
163	0.46875	600	1063	2150	187	0.7623888182973316	0.6691565515094927
164	0.4761904761904762	600	1064	2149	187	0.7623888182973316	0.6688453159041394
165	0.4814814814814815	598	1069	2144	189	0.7598475222363406	0.6672891378773732
166	0.4848484848484849	597	1069	2144	190	0.758576874205845	0.6672891378773732
167	0.4897959183673469	597	1070	2143	190	0.758576874205845	0.6669779022720199
168	0.5	597	1071	2142	190	0.758576874205845	0.6666666666666666
169	0.5142857142857142	573	1195	2018	214	0.7280813214739518	0.6280734516028633
170	0.5185185185185185	573	1196	2017	214	0.7280813214739518	0.6277622159975101
171	0.52	573	1199	2014	214	0.7280813214739518	0.6268285091814504
172	0.5238095238095238	573	1200	2013	214	0.7280813214739518	0.6265172735760971
173	0.525	572	1202	2011	215	0.7268106734434562	0.6258948023653906
174	0.5333333333333333	572	1203	2010	215	0.7268106734434562	0.6255835667600373
175	0.5357142857142858	572	1214	1999	215	0.7268106734434562	0.6221599751011516
176	0.5416666666666666	570	1217	1996	217	0.7242693773824651	0.6212262682850919
177	0.5454545454545454	569	1218	1995	218	0.7229987293519695	0.6209150326797386
178	0.5454545454545455	568	1222	1991	219	0.7217280813214739	0.6196700902583255
179	0.55	567	1222	1991	220	0.7204574332909784	0.6196700902583255
180	0.5555555555555556	564	1225	1988	223	0.7166454891994918	0.6187363834422658
181	0.5625	558	1255	1958	229	0.7090216010165185	0.6093993152816682
182	0.5714285714285714	554	1262	1951	233	0.7039390088945362	0.6072206660441954
183	0.5833333333333334	549	1287	1926	238	0.6975857687420585	0.5994397759103641
184	0.5925925925925926	544	1320	1893	243	0.6912325285895807	0.5891690009337068
185	0.6	544	1321	1892	243	0.6912325285895807	0.5888577653283535
186	0.6000000000000001	529	1360	1853	258	0.6721728081321474	0.5767195767195767
187	0.6111111111111109	529	1363	1850	258	0.6721728081321474	0.575785869903517
188	0.6111111111111112	528	1366	1847	259	0.6709021601016518	0.5748521630874572
189	0.6153846153846154	527	1369	1844	260	0.6696315120711563	0.5739184562713975
190	0.6190476190476191	527	1371	1842	260	0.6696315120711563	0.5732959850606909
191	0.625	527	1374	1839	260	0.6696315120711563	0.5723622782446312
192	0.6250000000000001	521	1399	1814	266	0.662007623888183	0.5645813881107998
193	0.6363636363636364	520	1400	1813	267	0.6607369758576874	0.5642701525054467
194	0.64	520	1404	1809	267	0.6607369758576874	0.5630252100840336
195	0.6428571428571428	520	1405	1808	267	0.6607369758576874	0.5627139744786803
196	0.6428571428571429	520	1406	1807	267	0.6607369758576874	0.5624027388733271
197	0.65625	517	1419	1794	270	0.6569250317662008	0.5583566760037348
198	0.6666666666666666	517	1420	1793	270	0.6569250317662008	0.5580454403983816
199	0.6666666666666667	492	1505	1708	295	0.625158831003812	0.5315904139433552
200	0.6818181818181819	492	1506	1707	295	0.625158831003812	0.5312791783380019
201	0.6857142857142856	492	1507	1706	295	0.625158831003812	0.5309679427326486
202	0.6857142857142857	492	1508	1705	295	0.625158831003812	0.5306567071272954
203	0.6875	492	1509	1704	295	0.625158831003812	0.5303454715219421
204	0.7	490	1512	1701	297	0.6226175349428208	0.5294117647058824
205	0.7142857142857143	483	1541	1672	304	0.613722998729352	0.520385932150638
206	0.72	477	1556	1657	310	0.6060991105463787	0.5157173980703392
207	0.7222222222222222	477	1557	1656	310	0.6060991105463787	0.5154061624649859
208	0.7272727272727273	476	1560	1653	311	0.6048284625158831	0.5144724556489262
209	0.7333333333333333	476	1563	1650	311	0.6048284625158831	0.5135387488328664
210	0.7333333333333334	476	1565	1648	311	0.6048284625158831	0.51291627762216
211	0.75	474	1568	1645	313	0.602287166454892	0.5119825708061002
212	0.7619047619047619	452	1620	1593	335	0.5743329097839899	0.4957983193277311
213	0.7692307692307693	450	1623	1590	337	0.5717916137229987	0.49486461251167135
214	0.7714285714285714	450	1624	1589	337	0.5717916137229987	0.49455337690631807
215	0.7777777777777778	450	1625	1588	337	0.5717916137229987	0.49424214130096483
216	0.7857142857142857	447	1639	1574	340	0.567979669631512	0.4898848428260193
217	0.7999999999999999	445	1643	1570	342	0.565438373570521	0.4886399004046063
218	0.8	443	1652	1561	344	0.5628970775095299	0.485838779956427
219	0.8125	436	1695	1518	351	0.554002541296061	0.47245564892623715
220	0.8181818181818181	434	1697	1516	353	0.5514612452350699	0.4718331777155307
221	0.8333333333333333	434	1698	1515	353	0.5514612452350699	0.4715219421101774
222	0.8333333333333334	434	1699	1514	353	0.5514612452350699	0.47121070650482416
223	0.8461538461538461	425	1740	1473	362	0.5400254129606099	0.4584500466853408
224	0.8571428571428571	425	1741	1472	362	0.5400254129606099	0.45813881107998755
225	0.8571428571428572	420	1762	1451	367	0.5336721728081322	0.4516028633675693
226	0.875	420	1763	1450	367	0.5336721728081322	0.451291627762216
227	0.8750000000000001	413	1788	1425	374	0.5247776365946633	0.44351073762838467
228	0.8800000000000001	413	1789	1424	374	0.5247776365946633	0.44319950202303143
229	0.8888888888888888	412	1789	1424	375	0.5235069885641678	0.44319950202303143
230	0.8999999999999999	409	1805	1408	378	0.5196950444726811	0.4382197323373794
231	0.9	408	1808	1405	379	0.5184243964421855	0.4372860255213196
232	0.9090909090909092	402	1827	1386	385	0.5108005082592122	0.43137254901960786
233	0.9142857142857144	402	1829	1384	385	0.5108005082592122	0.43075007780890134
234	0.9166666666666666	402	1830	1383	385	0.5108005082592122	0.4304388422035481
235	0.9230769230769232	400	1839	1374	387	0.5082592121982211	0.4276377217553688
236	0.9285714285714286	400	1840	1373	387	0.5082592121982211	0.42732648615001556
