	IterId	dN	dS	pN	pS	bdN	bpN	MkScore	FSPVal	SelCoef	PosSel
0	Iter0001	4	3	4	2	0	0	0.6666666666666666	1.0	-0.00011893863000000001	0
1	Iter0002	4	2	2	0	0	0	0.5555555555555556	1.0	-0.0005657711416580001	0
2	Iter0003	6	1	1	2	0	0	12.0	0.18333333333333315	-0.000208271902857	0
3	Iter0004	4	1	4	0	0	0	0.5	1.0	-0.000342095730885	0
4	Iter0005	3	1	1	2	0	0	6.0	0.4857142857142852	-0.000289024083	0
5	Iter0006	0	4	2	0	0	0	0.06666666666666668	0.06666666666666668	0.0	0
6	Iter0007	1	1	2	1	0	0	0.5	1.0	-8.092480000000001e-06	0
7	Iter0008	5	1	1	2	0	0	10.0	0.2261904761904764	-0.0005472616668876	0
8	Iter0009	4	3	0	2	0	0	3.75	0.4444444444444447	-0.00019142060089999999	0
9	Iter0010	2	1	1	3	0	0	6.0	0.4857142857142854	-2.061795e-06	0
10	Iter0011	0	5	3	1	0	0	0.08333333333333333	0.047619047619047665	0.0	0
11	Iter0012	5	2	2	0	0	0	0.6666666666666666	1.0	-9.29157202e-05	0
12	Iter0013	3	2	2	1	0	0	0.75	1.0	-0.0008456391056966201	0
13	Iter0014	1	1	1	2	0	0	2.0	1.0	-0.00105894	0
14	Iter0015	4	2	3	0	0	0	0.4166666666666667	0.5000000000000007	-0.000380285093006	0
15	Iter0016	1	3	0	0	0	0	0.5	1.0	-0.000115307	0
16	Iter0017	3	4	4	1	0	0	0.1875	0.2929292929292933	-0.00058940707	0
17	Iter0018	2	5	2	1	0	0	0.2	0.5000000000000003	-9.75544327e-05	0
18	Iter0019	3	1	2	1	0	0	1.5	1.0	-2.05491e-09	0
19	Iter0020	7	2	1	2	0	0	7.0	0.2363636363636364	-0.000548314993	0
20	Iter0021	3	5	1	0	0	0	0.3333333333333333	0.4444444444444449	-1.9026996000000005e-05	0
21	Iter0022	5	3	1	1	0	0	1.6666666666666667	1.0	-0.0015500505	0
22	Iter0023	0	3	2	1	0	0	0.16666666666666666	0.3999999999999997	0.0	0
23	Iter0024	1	2	3	4	0	0	0.6666666666666666	1.0	-0.000430631	0
24	Iter0025	3	5	2	3	0	0	0.9	1.0	-7.203125999999999e-05	0
25	Iter0026	2	1	2	2	0	0	2.0	1.0	-6.49741000454766e-05	0
26	Iter0027	3	1	2	0	0	0	0.6666666666666666	1.0	-0.0007578146000000001	0
27	Iter0028	4	5	0	4	0	0	4.166666666666667	0.2279720279720281	-4.511335e-05	0
28	Iter0029	2	2	5	1	0	0	0.2	0.5000000000000001	-8.11725e-05	0
29	Iter0030	0	3	3	0	0	0	0.0625	0.09999999999999992	0.0	0
30	Iter0031	3	4	2	0	0	0	0.26666666666666666	0.4444444444444445	-0.00031865800000000004	0
31	Iter0032	2	2	4	2	0	0	0.5	1.0	-1.6643065811999999e-06	0
32	Iter0033	1	4	3	1	0	0	0.08333333333333333	0.20634920634920634	-4.01326e-05	0
33	Iter0034	1	2	1	1	0	0	0.5	1.0	-1.59243e-06	0
34	Iter0035	0	4	4	3	0	0	0.16	0.193939393939394	0.0	0
35	Iter0036	3	3	1	2	0	0	2.0	1.0	-0.0005659014402540001	0
36	Iter0037	0	7	0	2	0	0	0.375	1.0	0.0	0
37	Iter0038	3	4	1	0	0	0	0.4	1.0	-0.000217533448	0
38	Iter0039	2	3	2	1	0	0	0.3333333333333333	1.0	-3.10648e-06	0
39	Iter0040	2	3	2	0	0	0	0.25	0.428571428571428	-0.00032226342	0
40	Iter0041	2	2	0	3	0	0	4.0	0.42857142857142816	-3.262444e-06	0
41	Iter0042	2	3	3	1	0	0	0.2222222222222222	0.5238095238095235	-4.16273000158137e-06	0
42	Iter0043	4	3	1	1	0	0	1.3333333333333333	1.0	-0.000941474	0
43	Iter0044	1	2	2	1	0	0	0.25	1.0	-1.68793e-13	0
44	Iter0045	4	1	2	3	0	0	6.0	0.5238095238095237	-0.0010661246142900003	0
45	Iter0046	4	0	1	2	0	0	7.5	0.1428571428571427	-9.953640642e-05	0
46	Iter0047	3	3	3	2	0	0	0.6666666666666666	1.0	-5.5875393404799e-06	0
47	Iter0048	4	5	3	0	0	0	0.20833333333333331	0.2045454545454545	-4.887845e-05	0
48	Iter0049	1	6	2	2	0	0	0.16666666666666666	0.490909090909091	-3.58301e-06	0
49	Iter0050	1	1	2	0	0	0	0.3333333333333333	1.0	-6.7213e-06	0
50	Iter0051	2	2	2	2	0	0	1.0	1.0	-0.000173628372	0
51	Iter0052	3	2	2	2	0	0	1.5	1.0	-2.72583600342884e-05	0
52	Iter0053	4	3	4	3	0	0	1.0	1.0	-0.00022707628849999998	0
53	Iter0054	2	2	1	0	0	0	0.5	1.0	-0.0001594176295	0
54	Iter0055	2	2	1	0	0	0	0.5	1.0	-0.000680780593	0
55	Iter0056	6	5	2	1	0	0	0.6	1.0	-0.0007200518603000001	0
56	Iter0057	1	0	2	2	0	0	2.0	1.0	-3.96575e-05	0
57	Iter0058	1	2	0	0	0	0	0.6666666666666666	1.0	-1.04726e-10	0
58	Iter0059	0	6	0	2	0	0	0.42857142857142855	1.0	0.0	0
59	Iter0060	3	2	1	0	0	0	0.6666666666666666	1.0	-5.4331708e-06	0
60	Iter0061	2	7	1	1	0	0	0.2857142857142857	0.4909090909090904	-6.5074353e-05	0
61	Iter0062	4	3	4	0	0	0	0.25	0.2363636363636365	-0.00044355720000000004	0
62	Iter0063	2	1	3	2	0	0	1.3333333333333333	1.0	-2.52642818269e-05	0
63	Iter0064	2	1	1	1	0	0	2.0	1.0	-0.00028559799999999997	0
64	Iter0065	5	2	2	0	0	0	0.6666666666666666	1.0	-0.00017748529	0
65	Iter0066	0	0	2	1	0	0	0.6666666666666666	1.0	0.0	0
66	Iter0067	3	6	2	1	0	0	0.25	0.5227272727272734	-2.8960623e-05	0
67	Iter0068	5	2	3	0	0	0	0.5	1.0	-4.1172643e-05	0
68	Iter0069	2	3	1	2	0	0	1.3333333333333333	1.0	-4.24754e-11	0
69	Iter0070	1	2	1	0	0	0	0.3333333333333333	1.0	-4.57952e-08	0
70	Iter0071	5	6	2	3	0	0	1.2500000000000002	1.0	-9.7677863e-05	0
71	Iter0072	0	2	2	1	0	0	0.2222222222222222	0.4000000000000001	0.0	0
