	IterId	dN	dS	pN	pS	bdN	bpN	MkScore	FSPVal	SelCoef	PosSel
0	Iter0001	10	7	4	2	0	0	0.7142857142857143	1.0	-0.00011893863000000001	0
1	Iter0002	5	4	2	0	0	0	0.4	0.4909090909090901	-0.0005657711416580001	0
2	Iter0003	11	3	1	2	0	0	7.333333333333332	0.19117647058823506	-0.000208271902857	0
3	Iter0004	10	2	4	0	0	0	0.7333333333333333	1.0	-0.000342095730885	0
4	Iter0005	5	5	1	2	0	0	2.0	1.0	-0.000289024083	0
5	Iter0006	5	7	2	0	0	0	0.25	0.4615384615384607	0.0	0
6	Iter0007	4	4	2	1	0	0	0.5	1.0	-8.092480000000001e-06	0
7	Iter0008	7	5	1	2	0	0	2.8	0.5692307692307671	-0.0005472616668876	0
8	Iter0009	6	5	0	2	0	0	3.5000000000000004	0.4615384615384627	-0.00019142060089999999	0
9	Iter0010	5	2	1	3	0	0	7.5	0.2424242424242428	-2.061795e-06	0
10	Iter0011	1	9	3	1	0	0	0.037037037037037035	0.04095904095904097	0.0	0
11	Iter0012	11	6	2	0	0	0	0.5714285714285714	1.0	-9.29157202e-05	0
12	Iter0013	7	5	2	1	0	0	0.7	1.0	-0.0008456391056966201	0
13	Iter0014	3	4	1	2	0	0	1.5	1.0	-0.00105894	0
14	Iter0015	8	5	3	0	0	0	0.375	0.5089285714285694	-0.000380285093006	0
15	Iter0016	6	10	0	0	0	0	0.6363636363636364	1.0	-0.000115307	0
16	Iter0017	5	7	4	1	0	0	0.17857142857142858	0.29411764705882265	-0.00058940707	0
17	Iter0018	6	7	2	1	0	0	0.42857142857142855	1.0	-9.75544327e-05	0
18	Iter0019	4	2	2	1	0	0	1.0	1.0	-2.05491e-09	0
19	Iter0020	10	6	1	2	0	0	3.333333333333333	0.545923632610939	-0.000548314993	0
20	Iter0021	5	7	1	0	0	0	0.375	0.4615384615384624	-1.9026996000000005e-05	0
21	Iter0022	9	6	1	1	0	0	1.5	1.0	-0.0015500505	0
22	Iter0023	2	9	2	1	0	0	0.1111111111111111	0.1758241758241754	0.0	0
23	Iter0024	6	10	3	4	0	0	0.7999999999999999	1.0	-0.000430631	0
24	Iter0025	4	6	2	3	0	0	1.0	1.0	-7.203125999999999e-05	0
25	Iter0026	3	2	2	2	0	0	1.5	1.0	-6.49741000454766e-05	0
