	IterId	dN	dS	pN	pS	bdN	bpN	MkScore	FSPVal	SelCoef	PosSel
0	Iter0001	3	2	8	6	0	0	1.125	1.0	-0.0005498829	0
1	Iter0002	2	4	1	3	0	0	1.5	1.0	-1.0452232800000001e-06	0
2	Iter0003	3	1	2	0	1	0	0.6666666666666666	1.0	0.014589527000000003	1
3	Iter0004	2	5	3	2	0	0	0.26666666666666666	0.5580808080808093	-0.000240491539	0
4	Iter0005	4	2	2	2	0	0	2.0	1.0	-0.00031995585600780004	0
5	Iter0006	5	3	3	1	1	0	0.5555555555555556	1.0	0.006413639586900099	1
6	Iter0007	5	3	2	2	1	0	1.6666666666666667	1.0	0.016574115089	1
7	Iter0008	3	3	8	4	0	0	0.5	0.6266968325791864	-0.000333946	0
8	Iter0009	2	2	3	2	0	0	0.6666666666666666	1.0	-2.45216e-05	0
9	Iter0010	4	5	6	0	1	0	0.11904761904761905	0.043956043956043786	0.0031852479249999998	1
10	Iter0011	5	0	1	0	1	0	3.0	1.0	0.0050094903126	1
11	Iter0012	4	0	10	3	0	0	1.818181818181818	0.5411764705882334	-0.000400352353	0
12	Iter0013	8	2	3	1	0	0	1.3333333333333333	1.0	-0.001037988593351778	0
13	Iter0014	3	1	4	2	2	0	1.5	1.0	0.02867633544	1
14	Iter0015	6	2	7	5	1	0	2.142857142857143	0.6424148606811138	0.013909458695000002	1
15	Iter0016	2	5	2	3	1	0	0.6000000000000001	1.0	0.014388980033100001	1
16	Iter0017	3	0	5	2	0	0	2.0	1.0	-0.00023674001387891997	0
17	Iter0018	4	0	1	3	1	0	10.0	0.14285714285714268	0.026117634855650895	1
18	Iter0019	2	1	4	2	0	0	1.0	1.0	-2.78067e-05	0
19	Iter0020	5	1	3	1	2	0	1.6666666666666667	1.0	0.03416687421	1
20	Iter0021	5	2	0	0	0	0	2.0	1.0	-3.4096783490000004e-05	0
21	Iter0022	4	3	6	3	0	0	0.6666666666666666	1.0	-0.001213031576481	0
22	Iter0023	1	1	2	3	0	0	1.5	1.0	-0.000280731	0
23	Iter0024	1	5	7	1	1	0	0.028571428571428574	0.025641025641025657	0.00194972	1
24	Iter0025	1	2	2	2	0	0	0.5	1.0	-0.000527096	0
25	Iter0026	5	1	0	1	1	0	6.0	0.2857142857142857	0.002453890015	1
26	Iter0027	4	3	0	0	0	0	1.25	1.0	-6.81054443e-05	0
27	Iter0028	6	1	2	2	1	0	6.0	0.4909090909090907	0.015007127712900001	1
28	Iter0029	1	3	7	3	0	0	0.14285714285714285	0.24475524475524504	-0.000129818	0
29	Iter0030	1	2	4	1	0	0	0.125	0.4642857142857137	-9.11582e-07	0
30	Iter0031	3	2	4	3	1	0	1.125	1.0	0.026647858000000003	1
31	Iter0032	3	1	0	4	0	0	10.0	0.14285714285714274	-8.60237e-05	0
32	Iter0033	2	2	4	3	0	0	0.75	1.0	-2.35899000408553e-07	0
33	Iter0034	6	3	3	2	1	0	1.3333333333333333	1.0	0.02966200342000001	1
34	Iter0035	7	2	0	0	2	0	2.6666666666666665	1.0	0.024565339319000002	1
35	Iter0036	3	4	0	0	0	0	0.8	1.0	-0.000987981	0
36	Iter0037	3	2	3	1	1	0	0.5	1.0	0.01311156726014	1
37	Iter0038	1	1	5	1	1	0	0.2	0.464285714285714	0.0172468	1
38	Iter0039	3	3	3	0	0	0	0.25	0.4642857142857149	-3.506150868374e-05	0
39	Iter0040	1	2	3	1	0	0	0.16666666666666666	0.4857142857142852	-2.2490100000000007e-05	0
40	Iter0041	4	4	4	1	1	0	0.25	0.5648795648795664	0.019855219439999995	1
41	Iter0042	4	1	4	3	2	0	3.0	0.5757575757575769	0.06899205061000001	1
42	Iter0043	4	3	4	1	1	0	0.3333333333333333	0.5757575757575769	0.025655373630999997	1
43	Iter0044	1	2	1	0	0	0	0.3333333333333333	1.0	-2.83558e-10	0
44	Iter0045	2	3	5	1	0	0	0.13333333333333333	0.2424242424242424	-0.0006276195	0
45	Iter0046	0	0	8	5	0	0	0.6666666666666666	1.0	0.0	0
46	Iter0047	2	3	2	1	0	0	0.3333333333333333	1.0	-0.00013312435600000002	0
47	Iter0048	2	1	2	6	1	0	6.0	0.490909090909091	0.029082006009999998	1
48	Iter0049	4	3	3	4	2	0	1.7777777777777777	1.0	0.020517512	1
49	Iter0050	2	0	10	2	1	0	0.8181818181818182	1.0	0.0033720106	1
50	Iter0051	3	1	7	2	0	0	0.8571428571428571	1.0	-5.5390299624e-09	0
51	Iter0052	3	3	7	1	1	0	0.14285714285714285	0.2447552447552448	0.0213201746	1
52	Iter0053	3	3	3	1	1	0	0.3333333333333333	0.5714285714285717	0.059497129255	1
53	Iter0054	5	1	2	1	1	0	2.5	1.0	0.0095054703870923	1
54	Iter0055	2	2	4	4	2	0	1.0	1.0	0.0563009	1
55	Iter0056	3	0	3	0	1	0	1.0	1.0	0.0218508799918696	1
56	Iter0057	1	3	7	4	0	0	0.19047619047619047	0.2820512820512819	-3.1197e-05	0
57	Iter0058	1	3	3	1	1	0	0.1111111111111111	0.4857142857142854	0.0100663	1
58	Iter0059	3	3	8	1	2	0	0.125	0.2351648351648344	0.03070650268	1
59	Iter0060	7	2	3	1	0	0	1.1666666666666667	1.0	-0.00072361782	0
60	Iter0061	3	3	2	0	1	0	0.3333333333333333	0.4642857142857143	0.03756511500000001	1
61	Iter0062	1	2	4	4	0	0	0.5	1.0	-7.03304e-05	0
62	Iter0063	8	3	2	1	1	0	1.3333333333333333	1.0	0.030464006723152002	1
63	Iter0064	4	3	4	1	1	0	0.3333333333333333	0.5757575757575769	0.0177756218486	1
64	Iter0065	1	5	0	1	1	0	0.6666666666666666	1.0	0.0138068	1
65	Iter0066	4	3	1	2	1	0	2.6666666666666665	1.0	0.0069378038000000005	1
66	Iter0067	4	4	7	2	0	0	0.2857142857142857	0.3348416289592767	-5.783170000000001e-07	0
67	Iter0068	5	3	4	3	1	0	1.2500000000000002	1.0	0.01645384775297	1
68	Iter0069	5	2	2	1	1	0	1.25	1.0	0.02378501702	1
69	Iter0070	4	1	4	0	0	0	0.5	1.0	-6.880851009367361e-05	0
70	Iter0071	3	3	2	1	0	0	0.5	1.0	-0.0008400961899999999	0
71	Iter0072	3	3	4	2	1	0	0.5	1.0	0.005181651329	1
72	Iter0073	3	3	4	1	0	0	0.25	0.5454545454545454	-3.8088994563e-05	0
73	Iter0074	4	6	3	0	2	0	0.17857142857142858	0.19230769230769307	0.02319992906141	1
74	Iter0075	3	0	0	1	1	0	8.0	0.24999999999999994	0.0099979451566	1
75	Iter0076	1	4	4	2	0	0	0.125	0.2424242424242421	-0.00024397	0
76	Iter0077	5	2	3	0	1	0	0.5	1.0	0.037607991509	1
77	Iter0078	5	3	1	2	0	0	3.333333333333333	0.5454545454545457	-0.0007633060549999999	0
78	Iter0079	4	3	1	1	1	0	1.3333333333333333	1.0	0.02967580268810001	1
79	Iter0080	9	2	1	1	1	0	4.5	0.42307692307692496	0.009966881098	1
80	Iter0081	4	4	2	1	1	0	0.5	1.0	0.004813041686657	1
81	Iter0082	2	2	0	3	0	0	4.0	0.42857142857142816	-2.9841099999999998e-05	0
82	Iter0083	2	2	4	1	1	0	0.25	0.5238095238095241	0.0139581538	1
83	Iter0084	3	1	2	2	1	0	3.0	1.0	0.015586185095000003	1
84	Iter0085	2	5	2	2	0	0	0.4	0.5757575757575761	-6.072943546e-08	0
85	Iter0086	1	2	2	2	0	0	0.5	1.0	-6.069119999999998e-06	0
86	Iter0087	4	3	3	1	3	0	0.4444444444444444	1.0	0.05882501467	1
87	Iter0088	6	4	5	2	1	0	0.6	1.0	0.0040178826592999995	1
88	Iter0089	3	4	8	1	0	0	0.09375	0.10576923076923016	-0.00098441875	0
89	Iter0090	3	1	5	1	0	0	0.6	1.0	-0.0015982042923600001	0
90	Iter0091	2	4	6	2	0	0	0.16666666666666666	0.2773892773892779	-6.2452934e-07	0
91	Iter0092	4	5	1	1	0	0	0.8	1.0	-3.904555e-05	0
92	Iter0093	3	5	4	1	2	0	0.15	0.2657342657342665	0.034605952	1
93	Iter0094	4	2	4	1	0	0	0.5	1.0	-9.930815e-06	0
94	Iter0095	5	3	3	2	0	0	1.1111111111111112	1.0	-5.258927623e-05	0
95	Iter0096	1	2	7	2	0	0	0.14285714285714285	0.2363636363636364	-1.73184e-07	0
96	Iter0097	1	3	2	4	1	0	0.6666666666666666	1.0	0.010809	1
97	Iter0098	6	3	3	4	0	0	2.6666666666666665	0.6145104895104876	-0.00083060350531774	0
98	Iter0099	1	3	3	2	0	0	0.2222222222222222	0.5238095238095237	-8.075389999999999e-08	0
99	Iter0100	3	1	4	6	1	0	4.5	0.5594405594405611	0.041512351967	1
100	Iter0101	2	5	3	2	0	0	0.26666666666666666	0.5580808080808093	-0.0001863344	0
101	Iter0102	6	3	2	2	0	0	2.0	1.0	-0.000298377719649468	0
102	Iter0103	5	1	6	0	2	0	0.42857142857142855	1.0	0.031987939833	1
103	Iter0104	2	5	6	0	0	1	0.07142857142857142	0.02097902097902106	-4.2734000001127754e-05	0
104	Iter0105	7	5	6	4	2	0	0.9333333333333332	1.0	0.030674385184159998	1
105	Iter0106	5	3	5	1	1	0	0.33333333333333337	0.5804195804195811	0.013125132782999998	1
106	Iter0107	2	2	5	1	0	0	0.2	0.5000000000000001	-2.1035962e-05	0
107	Iter0108	4	4	3	5	0	0	1.6666666666666667	1.0	-0.0002255233029	0
108	Iter0109	3	2	2	3	0	0	2.25	1.0	-0.000485013756	0
109	Iter0110	3	1	2	3	0	0	4.5	0.5238095238095235	-0.00025807749500000003	0
110	Iter0111	5	2	3	5	0	0	4.166666666666667	0.3146853146853151	-0.00022877838807174	0
111	Iter0112	1	1	1	1	1	0	1.0	1.0	0.00765345	1
112	Iter0113	3	4	5	3	1	0	0.45	0.6192696192696198	0.027997188540999998	1
113	Iter0114	2	5	2	1	1	0	0.2	0.5000000000000003	0.010800953	1
