	IterId	dN	dS	pN	pS	bdN	bpN	MkScore	FSPVal	SelCoef	PosSel
0	Iter0001	6	4	5	3	0	0	0.8999999999999999	1.0	-0.0005498829	0
1	Iter0002	4	13	1	2	0	0	0.6153846153846154	1.0	-1.0452232800000001e-06	0
2	Iter0003	8	6	0	0	1	0	1.2857142857142858	1.0	0.014589527000000003	1
3	Iter0004	6	6	1	1	0	0	1.0	1.0	-0.000240491539	0
4	Iter0005	8	5	1	1	0	0	1.6	1.0	-0.00031995585600780004	0
5	Iter0006	7	5	2	1	1	0	0.7	1.0	0.006413639586900099	1
6	Iter0007	8	5	0	1	1	0	3.0	0.42857142857142827	0.016574115089	1
7	Iter0008	3	5	7	4	0	0	0.3428571428571429	0.3698499642772085	-0.000333946	0
8	Iter0009	7	5	3	2	0	0	0.9333333333333332	1.0	-2.45216e-05	0
9	Iter0010	7	9	4	0	1	0	0.16	0.0941176470588242	0.0031852479249999998	1
10	Iter0011	11	3	0	0	1	0	3.0	1.0	0.0050094903126	1
11	Iter0012	11	4	9	2	0	0	0.6111111111111112	1.0	-0.000400352353	0
12	Iter0013	13	3	2	0	0	0	1.1666666666666667	1.0	-0.001037988593351778	0
13	Iter0014	6	2	4	2	2	0	1.5	1.0	0.02867633544	1
14	Iter0015	6	3	9	5	1	0	1.1111111111111112	1.0	0.013909458695000002	1
15	Iter0016	7	8	1	2	1	0	1.75	1.0	0.014388980033100001	1
16	Iter0017	7	2	4	2	0	0	1.75	1.0	-0.00023674001387891997	0
17	Iter0018	7	7	1	3	1	0	3.0	0.5882352941176492	0.026117634855650895	1
18	Iter0019	3	3	2	1	0	0	0.5	1.0	-2.78067e-05	0
19	Iter0020	7	4	2	1	2	0	0.875	1.0	0.03416687421	1
20	Iter0021	8	3	0	0	0	0	2.25	1.0	-3.4096783490000004e-05	0
21	Iter0022	7	6	5	2	0	0	0.4666666666666667	0.6424148606811135	-0.001213031576481	0
22	Iter0023	2	3	1	2	0	0	1.3333333333333333	1.0	-0.000280731	0
23	Iter0024	3	10	6	0	1	0	0.05194805194805195	0.0030959752321981235	0.00194972	1
24	Iter0025	6	3	2	2	0	0	2.0	1.0	-0.000527096	0
25	Iter0026	13	4	1	1	1	0	3.25	0.4678362573099442	0.002453890015	1
26	Iter0027	7	5	1	0	0	0	0.6666666666666666	1.0	-6.81054443e-05	0
27	Iter0028	11	5	3	1	1	0	0.7333333333333334	1.0	0.015007127712900001	1
28	Iter0029	2	4	6	3	0	0	0.25	0.3146853146853143	-0.000129818	0
29	Iter0030	3	6	3	1	0	0	0.16666666666666666	0.26573426573426634	-9.11582e-07	0
30	Iter0031	5	8	4	0	1	0	0.13333333333333333	0.08235294117647013	0.026647858000000003	1
31	Iter0032	7	2	0	2	0	0	8.0	0.10909090909090892	-8.60237e-05	0
32	Iter0033	7	4	3	2	0	0	1.1666666666666667	1.0	-2.35899000408553e-07	0
33	Iter0034	14	6	3	2	1	0	1.5555555555555556	1.0	0.02966200342000001	1
34	Iter0035	11	7	0	0	2	0	1.5	1.0	0.024565339319000002	1
35	Iter0036	11	9	1	0	0	0	0.6	1.0	-0.000987981	0
36	Iter0037	10	7	3	0	1	0	0.34375	0.5210526315789488	0.01311156726014	1
37	Iter0038	2	6	2	0	1	0	0.14285714285714285	0.13333333333333333	0.0172468	1
38	Iter0039	6	7	2	0	0	0	0.2916666666666667	0.4666666666666659	-3.506150868374e-05	0
