	IterId	dN	dS	pN	pS	bdN	bpN	MkScore	FSPVal	SelCoef	PosSel
0	Iter0001	0	2	1	2	0	0	0.5	1.0	0.0	0
1	Iter0002	0	1	2	2	0	0	0.5	1.0	-1.4553899999999996e-06	0
2	Iter0003	1	1	5	3	0	0	0.6	1.0	-0.0009191837000000001	0
3	Iter0004	1	1	2	4	0	0	2.0	1.0	-3.68492e-05	0
4	Iter0005	0	1	2	2	0	0	0.5	1.0	-0.001110481	0
5	Iter0006	1	1	2	1	0	0	0.5	1.0	-0.0004965626962435	0
6	Iter0007	3	1	7	5	0	0	2.142857142857143	1.0	-3.1276341e-06	0
7	Iter0008	0	1	2	4	0	0	0.8333333333333334	1.0	-5.8195617e-06	0
8	Iter0009	3	1	4	1	0	0	0.75	1.0	-0.0007164587924000001	0
9	Iter0010	3	1	5	3	0	0	1.7999999999999998	1.0	-0.00034893222000000003	0
10	Iter0011	3	0	4	2	0	0	2.4	0.5000000000000007	-8.026041999999998e-05	0
11	Iter0012	2	4	4	0	0	0	0.12	0.07619047619047617	-1.17131957e-05	0
12	Iter0013	3	1	3	2	0	0	2.0	1.0	-3.4158099999999994e-06	0
13	Iter0014	2	2	2	2	0	0	1.0	1.0	-0.00037019216	0
14	Iter0015	1	1	2	3	0	0	1.5	1.0	-0.000275101000542446	0
15	Iter0016	1	0	2	0	0	0	0.6666666666666666	1.0	-6.37043678149e-05	0
16	Iter0017	1	1	7	1	0	0	0.14285714285714285	0.377777777777778	-4.6577099999999985e-06	0
17	Iter0018	2	2	4	3	0	0	0.75	1.0	-1.407017e-05	0
18	Iter0019	1	2	2	1	0	0	0.25	1.0	-0.000196827654	0
19	Iter0020	2	2	2	1	0	0	0.5	1.0	-5.77807893e-05	0
20	Iter0021	2	1	6	4	0	0	1.3333333333333333	1.0	-0.00032544572	0
21	Iter0022	3	1	3	4	0	0	4.0	0.5454545454545452	-7.26864e-05	0
22	Iter0023	1	4	1	0	0	0	0.2	0.3333333333333331	-9.188789999999997e-06	0
23	Iter0024	1	4	0	1	0	0	0.8	1.0	-0.0003654964	0
24	Iter0025	1	0	5	1	0	0	0.6666666666666666	1.0	0.0	0
25	Iter0026	1	1	4	4	0	0	1.0	1.0	-0.0019059490863000002	0
26	Iter0027	1	1	2	2	0	0	1.0	1.0	-1.3474331000000002e-07	0
27	Iter0028	0	0	9	2	0	0	0.3	1.0	-1.6513400000000004e-06	0
28	Iter0029	1	2	4	0	0	0	0.13333333333333333	0.1428571428571427	-0.000127174	0
29	Iter0030	2	0	1	2	0	0	4.5	0.4000000000000001	-0.000525101398	0
30	Iter0031	2	4	2	6	0	0	1.5	1.0	-0.00023733577	0
31	Iter0032	0	1	7	0	0	0	0.0625	0.12499999999999994	-1.077076756e-06	0
32	Iter0033	0	0	0	2	0	0	3.0	1.0	-0.0010810275	0
33	Iter0034	2	0	1	1	0	0	3.0	1.0	-9.86699e-07	0
34	Iter0035	0	0	2	5	0	0	2.0	1.0	-0.0004782112349999999	0
35	Iter0036	1	3	1	4	0	0	1.3333333333333333	1.0	-1.19102e-06	0
36	Iter0037	4	2	4	1	0	0	0.5	1.0	-0.000926077	0
37	Iter0038	1	0	4	6	0	0	2.8	0.4545454545454545	-5.03573e-05	0
38	Iter0039	2	1	7	0	0	0	0.1875	0.2999999999999995	-0.00035032243741999993	0
39	Iter0040	1	1	6	2	0	0	0.3333333333333333	1.0	-1.92314e-15	0
40	Iter0041	2	1	4	1	0	0	0.5	1.0	-0.000137876	0
41	Iter0042	4	2	5	2	0	0	0.8	1.0	-0.0007642696	0
42	Iter0043	0	1	7	4	0	0	0.3125	0.4166666666666672	-1.0331e-06	0
43	Iter0044	2	0	3	0	0	0	0.75	1.0	-1.0615567609770001e-05	0
44	Iter0045	2	2	4	1	0	0	0.25	0.5238095238095241	-0.00060769733	0
45	Iter0046	0	2	4	1	0	0	0.13333333333333333	0.14285714285714265	-0.0003443429	0
46	Iter0047	1	0	9	6	0	0	1.4	1.0	-7.70145e-07	0
47	Iter0048	4	3	2	3	0	0	2.0	1.0	-0.00046097134000000007	0
48	Iter0049	2	1	6	0	0	0	0.21428571428571427	0.33333333333333354	-0.000920659	0
49	Iter0050	1	2	3	0	0	0	0.16666666666666666	0.3999999999999997	-6.06485e-08	0
50	Iter0051	1	1	3	1	0	0	0.3333333333333333	1.0	0.0	0
51	Iter0052	2	2	1	1	0	0	1.0	1.0	-0.000663082	0
52	Iter0053	1	2	4	0	0	0	0.13333333333333333	0.1428571428571427	0.0	0
53	Iter0054	3	3	4	1	0	0	0.25	0.5454545454545454	-2.3475477212929002e-05	0
54	Iter0055	3	2	4	0	0	0	0.26666666666666666	0.4444444444444446	-0.00012639700000000002	0
55	Iter0056	4	1	4	1	0	0	1.0	1.0	-0.00028879217603	0
56	Iter0057	0	0	7	4	0	0	0.625	1.0	-3.03037e-05	0
