	IterId	dN	dS	pN	pS	bdN	bpN	MkScore	FSPVal	SelCoef	PosSel
0	Iter0001	4	3	7	0	0	0	0.15625	0.1923076923076922	-6.547159e-06	0
1	Iter0002	0	3	4	3	0	0	0.2	0.20000000000000012	0.0	0
2	Iter0003	5	3	5	0	1	0	0.25	0.2307692307692313	0.0037480113749999997	1
3	Iter0004	5	2	8	3	1	0	0.9375	1.0	0.004164121342699999	1
4	Iter0005	0	2	2	1	0	0	0.2222222222222222	0.4000000000000001	0.0	0
5	Iter0006	3	2	6	3	1	0	0.75	1.0	0.0052994741566000005	1
6	Iter0007	2	1	6	3	0	0	1.0	1.0	-5.100233795e-10	0
7	Iter0008	1	7	9	5	0	0	0.07936507936507936	0.030959752321981407	-5.340580000000001e-12	0
8	Iter0009	3	3	5	3	0	0	0.6	1.0	-0.0001514650874	0
9	Iter0010	3	4	4	1	1	0	0.1875	0.2929292929292933	0.012060394717070001	1
10	Iter0011	3	4	4	1	0	0	0.1875	0.2929292929292933	-0.00011535159589	0
11	Iter0012	5	3	3	0	2	0	0.375	0.4909090909090914	0.025216189700000002	1
12	Iter0013	3	0	3	2	0	0	3.0	0.4642857142857138	-0.000814208566	0
13	Iter0014	4	2	7	0	0	0	0.20833333333333331	0.19230769230769254	-0.0006602807252	0
14	Iter0015	2	2	9	3	0	1	0.3333333333333333	0.5467032967032941	-2.9763425e-06	0
15	Iter0016	2	2	3	2	0	0	0.6666666666666666	1.0	-2.1164050361e-05	0
16	Iter0017	4	4	8	4	0	0	0.5	0.6479161705167888	-0.00044490337999999996	0
17	Iter0018	7	3	4	2	3	0	1.1666666666666667	1.0	0.026315724587700005	1
18	Iter0019	4	3	6	4	0	0	0.8888888888888888	1.0	-0.0009910157567290998	0
19	Iter0020	4	3	4	2	1	0	0.6666666666666666	1.0	0.034729957326999995	1
20	Iter0021	6	0	1	2	1	0	10.5	0.08333333333333337	0.03191796538920233	1
21	Iter0022	2	1	7	3	0	0	0.8571428571428571	1.0	-3.23526017e-05	0
22	Iter0023	3	2	7	0	0	0	0.16666666666666666	0.15151515151515174	-1.3369597529600001e-05	0
23	Iter0024	5	2	9	5	0	0	1.3888888888888888	1.0	-0.000316963453427	0
24	Iter0025	1	2	8	1	0	0	0.0625	0.1272727272727269	-2.57516e-10	0
25	Iter0026	6	1	5	0	1	0	0.5833333333333334	1.0	0.00793899235	1
26	Iter0027	3	1	3	0	0	0	0.5	1.0	-0.0006285344560999999	0
27	Iter0028	5	2	5	6	0	0	3.0	0.3665158371040737	-2.98953e-05	0
28	Iter0029	2	4	7	4	0	0	0.2857142857142857	0.3348416289592757	-5.02236e-05	0
29	Iter0030	2	0	5	2	0	0	1.5	1.0	-0.00011058545025	0
30	Iter0031	5	1	6	1	0	0	0.8333333333333334	1.0	-0.00034085632529999994	0
31	Iter0032	1	2	6	6	0	0	0.5	1.0	-3.44724e-06	0
32	Iter0033	8	5	7	1	3	0	0.2285714285714286	0.3359133126934977	0.056140222147000006	1
33	Iter0034	2	4	4	4	1	0	0.5	0.6270396270396283	0.00582732295	1
34	Iter0035	2	2	10	0	0	0	0.09090909090909093	0.06593406593406581	-0.0001213495	0
35	Iter0036	5	3	4	4	1	1	1.6666666666666667	1.0	0.028176264972886198	1
36	Iter0037	2	7	4	1	0	0	0.07142857142857142	0.0909090909090907	-6.711274e-07	0
37	Iter0038	2	1	6	1	0	0	0.3333333333333333	1.0	-1.3078776e-06	0
38	Iter0039	0	1	9	5	0	0	0.3	0.3999999999999996	0.0	0
39	Iter0040	3	2	7	7	1	0	1.5	1.0	0.00835642842	1
40	Iter0041	7	2	10	2	0	0	0.7	1.0	-0.0012820869300000002	0
41	Iter0042	3	0	5	0	0	0	0.6666666666666666	1.0	-0.0007973089	0
42	Iter0043	4	1	6	2	0	0	1.3333333333333333	1.0	-0.0004396787	0
43	Iter0044	2	3	7	4	0	0	0.3809523809523809	0.5961538461538449	-2.89637202e-08	0
44	Iter0045	2	1	10	3	0	0	0.6	1.0	-0.00015116469999999999	0
45	Iter0046	4	3	1	5	1	0	6.666666666666666	0.2657342657342664	0.0112768331	1
46	Iter0047	6	3	5	2	1	0	0.8	1.0	0.014933351515700001	1
47	Iter0048	3	3	3	4	1	0	1.3333333333333333	1.0	0.017777247159	1
48	Iter0049	3	1	5	1	0	0	0.6	1.0	-0.00077173502	0
49	Iter0050	5	3	11	6	0	0	0.9090909090909092	1.0	-3.97373568e-05	0
50	Iter0051	5	2	8	3	0	1	0.9375	1.0	-4.5771801683e-05	0
51	Iter0052	2	4	6	2	0	0	0.16666666666666666	0.2773892773892779	-6.639668130000001e-06	0
52	Iter0053	2	3	8	6	1	0	0.5	0.6284829721362263	0.008505024	1
53	Iter0054	2	3	2	3	0	0	1.0	1.0	-5.84677e-10	0
54	Iter0055	3	1	5	0	0	0	0.3333333333333333	0.444444444444445	-0.001064331	0
55	Iter0056	4	5	10	5	1	0	0.4	0.4028469511374347	0.0150708616234	1
56	Iter0057	5	2	4	2	0	0	1.25	1.0	-0.0007578999829199999	0
57	Iter0058	4	1	7	4	1	0	2.2857142857142856	1.0	0.045676709510003584	1
58	Iter0059	9	1	6	1	2	0	1.5	1.0	0.03406000394871	1
59	Iter0060	3	1	8	1	0	0	0.375	1.0	-0.00024258399071386	0
60	Iter0061	4	0	3	2	2	0	3.75	0.4444444444444449	0.077172516762	1
61	Iter0062	2	1	6	3	0	0	1.0	1.0	-0.00016912345999999995	0
62	Iter0063	3	1	6	0	0	0	0.2857142857142857	0.3999999999999996	-2.1204554000000004e-05	0
63	Iter0064	3	1	7	1	0	0	0.42857142857142855	1.0	-7.552264e-05	0
64	Iter0065	5	3	10	4	2	0	0.6666666666666667	1.0	0.031831086176	1
65	Iter0066	8	1	4	3	1	0	6.0	0.26153846153846033	0.028805806635270003	1
66	Iter0067	2	3	7	1	0	0	0.09523809523809523	0.21678321678321727	-4.401804000000001e-06	0
67	Iter0068	6	5	6	2	0	0	0.4	0.6332460109549896	-0.00100010573215	0
68	Iter0069	3	3	6	4	0	0	0.6666666666666666	1.0	-0.0002653918441869	0
69	Iter0070	4	3	5	4	0	0	1.0666666666666669	1.0	-0.0005549682096033999	0
70	Iter0071	4	0	4	1	0	0	2.0	1.0	-0.00042374431000000005	0
71	Iter0072	6	1	6	2	2	0	2.0	1.0	0.038335729662653	1
72	Iter0073	2	7	8	4	0	0	0.14285714285714285	0.08049535603715177	-1.71424e-07	0
73	Iter0074	3	2	1	2	1	0	3.0	1.0	0.001434046868	1
74	Iter0075	1	3	3	3	0	0	0.3333333333333333	0.5714285714285721	-5.90728e-11	0
75	Iter0076	2	2	8	6	0	0	0.75	1.0	-1.6744480000000002e-08	0
76	Iter0077	3	0	8	0	1	0	0.4444444444444444	1.0	0.01914949	1
77	Iter0078	8	1	3	0	1	0	1.125	1.0	0.0222437540896	1
78	Iter0079	5	6	9	2	2	0	0.1851851851851852	0.18266253869969007	0.0637906664	1
79	Iter0080	3	2	2	1	0	0	0.75	1.0	-5.1480559000000004e-05	0
80	Iter0081	0	3	5	5	0	0	0.25	0.2307692307692316	0.0	0
81	Iter0082	4	3	5	2	0	0	0.5333333333333333	1.0	-0.0014249697840999999	0
82	Iter0083	3	3	4	0	1	1	0.2	0.20000000000000007	0.00678563742664	1
83	Iter0084	3	1	7	0	1	0	0.25	0.3636363636363637	0.033688271469999996	1
84	Iter0085	3	3	4	4	0	0	1.0	1.0	-0.0001310088656	0
85	Iter0086	7	2	6	4	1	0	2.333333333333333	0.6284829721362204	0.03721666119349199	1
86	Iter0087	1	2	10	4	0	0	0.2	0.5147058823529405	-0.00054917	0
87	Iter0088	3	1	4	3	0	0	2.25	1.0	-7.281761e-07	0
88	Iter0089	3	2	7	5	0	0	1.0714285714285714	1.0	-0.0003118375432	0
89	Iter0090	3	3	3	6	0	0	2.0	0.6223776223776207	-0.00020386719949	0
90	Iter0091	0	3	2	2	0	0	0.25	0.42857142857142816	0.0	0
91	Iter0092	4	2	7	6	0	0	1.7142857142857142	1.0	-0.00077366864	0
92	Iter0093	4	3	3	5	0	1	2.2222222222222223	0.6192696192696198	-9.984669539999999e-05	0
93	Iter0094	7	1	7	2	2	1	2.0	1.0	0.0305590325533178	1
94	Iter0095	1	2	1	3	0	0	1.5	1.0	0.0	0
95	Iter0096	2	1	3	0	0	0	0.375	1.0	-0.0001814271	0
96	Iter0097	3	4	6	2	0	1	0.25	0.3146853146853137	-0.00031307661700000005	0
97	Iter0098	1	4	6	4	0	0	0.16666666666666666	0.2820512820512825	-0.000434471	0
98	Iter0099	5	4	7	2	1	0	0.35714285714285715	0.6199095022624448	0.011346200755998171	1
99	Iter0100	4	5	3	6	0	0	1.6	1.0	-0.00037905922400000003	0
100	Iter0101	4	1	9	1	0	0	0.4444444444444444	1.0	-0.0001085906081	0
101	Iter0102	2	5	7	3	0	0	0.17142857142857146	0.1534348004936239	-0.0012842585	0
102	Iter0103	6	2	5	1	0	0	0.6	1.0	-0.00040154706390000316	0
103	Iter0104	3	3	6	3	1	0	0.5	0.6223776223776206	0.0195651178870605	1
104	Iter0105	1	1	5	2	0	0	0.4	1.0	-0.000455083	0
105	Iter0106	2	2	10	1	0	0	0.1	0.15384615384615288	-0.0001186133	0
106	Iter0107	1	4	2	4	0	0	0.5	1.0	0.0	0
107	Iter0108	0	2	5	2	0	0	0.16666666666666666	0.1666666666666669	0.0	0
108	Iter0109	2	1	7	2	0	0	0.5714285714285714	1.0	-0.0009236332899999999	0
109	Iter0110	5	3	2	1	0	0	0.8333333333333334	1.0	-0.0015557618	0
110	Iter0111	3	3	3	2	0	0	0.6666666666666666	1.0	-0.0012367390266926999	0
111	Iter0112	7	2	1	3	2	0	10.5	0.2167832167832169	0.03765241189600001	1
112	Iter0113	4	2	1	3	1	0	6.0	0.5238095238095236	0.0033628363089999998	1
113	Iter0114	2	2	5	3	0	0	0.6	1.0	-0.00035330679851	0
114	Iter0115	5	1	6	1	1	0	0.8333333333333334	1.0	0.0188679168	1
115	Iter0116	5	4	5	2	0	0	0.5	0.632867132867131	-0.00057040221611	0
116	Iter0117	5	4	6	2	0	0	0.4166666666666667	0.6199095022624428	-0.0001445621489614	0
117	Iter0118	2	2	5	1	0	0	0.2	0.5000000000000001	-0.00022260409999999998	0
