	IterId	dN	dS	pN	pS	bdN	bpN	MkScore	FSPVal	SelCoef	PosSel
0	Iter0001	9	7	10	3	0	0	0.3857142857142857	0.4334832583708185	-6.547159e-06	0
1	Iter0002	7	6	7	2	0	0	0.33333333333333337	0.38018575851393066	0.0	0
2	Iter0003	10	8	9	1	1	0	0.1388888888888889	0.09798028058897576	0.0037480113749999997	1
3	Iter0004	14	7	10	3	1	0	0.6	0.7041156840934436	0.004164121342699999	1
4	Iter0005	2	5	3	1	0	0	0.13333333333333333	0.2424242424242426	0.0	0
5	Iter0006	8	4	9	4	1	0	0.8888888888888888	1.0	0.0052994741566000005	1
6	Iter0007	3	6	10	3	0	0	0.15	0.07890314020344928	-5.100233795e-10	0
7	Iter0008	8	10	11	7	0	0	0.5090909090909091	0.5050852453957371	-5.340580000000001e-12	0
8	Iter0009	6	8	8	3	0	0	0.28125	0.2271570870911309	-0.0001514650874	0
9	Iter0010	6	14	8	2	1	0	0.10714285714285714	0.018690654672663905	0.012060394717070001	1
10	Iter0011	4	6	7	1	0	0	0.09523809523809523	0.06561085972850708	-0.00011535159589	0
11	Iter0012	10	5	4	0	2	0	0.36666666666666653	0.5304437564499499	0.025216189700000002	1
12	Iter0013	7	3	5	2	0	0	0.9333333333333332	1.0	-0.000814208566	0
13	Iter0014	5	7	7	2	0	0	0.20408163265306126	0.1842343415098833	-0.0006602807252	0
14	Iter0015	2	4	12	3	0	1	0.125	0.11958204334365385	-2.9763425e-06	0
15	Iter0016	4	5	7	6	0	0	0.6857142857142857	1.0	-2.1164050361e-05	0
16	Iter0017	5	7	10	5	0	0	0.35714285714285715	0.2575604612554431	-0.00044490337999999996	0
17	Iter0018	14	6	5	2	3	0	0.9333333333333332	1.0	0.026315724587700005	1
18	Iter0019	9	8	7	6	0	0	0.9642857142857142	1.0	-0.0009910157567290998	0
19	Iter0020	10	7	11	2	1	0	0.25974025974025977	0.2292653673163436	0.034729957326999995	1
20	Iter0021	10	3	3	3	1	0	3.333333333333333	0.3201017249004855	0.03191796538920233	1
21	Iter0022	6	6	10	5	0	0	0.5	0.4516534302508235	-3.23526017e-05	0
22	Iter0023	7	5	8	0	0	0	0.14814814814814814	0.05469556243550073	-1.3369597529600001e-05	0
23	Iter0024	11	4	10	6	0	0	1.65	0.704251100256328	-0.000316963453427	0
24	Iter0025	6	5	11	2	0	0	0.21818181818181814	0.18192219679633845	-2.57516e-10	0
25	Iter0026	13	5	7	0	1	0	0.2916666666666667	0.2743083003952577	0.00793899235	1
26	Iter0027	10	2	4	0	0	0	0.7333333333333333	1.0	-0.0006285344560999999	0
27	Iter0028	6	3	6	7	0	0	2.333333333333333	0.414860681114548	-2.98953e-05	0
28	Iter0029	4	6	9	3	0	0	0.2222222222222222	0.19195046439628394	-5.02236e-05	0
29	Iter0030	5	5	7	3	0	0	0.42857142857142855	0.6499166468206703	-0.00011058545025	0
30	Iter0031	7	2	5	1	0	0	0.7	1.0	-0.00034085632529999994	0
31	Iter0032	4	3	11	7	0	0	0.8484848484848485	1.0	-3.44724e-06	0
32	Iter0033	14	9	10	2	3	0	0.3111111111111111	0.2589821988519933	0.056140222147000006	1
33	Iter0034	6	5	6	5	1	0	1.0	1.0	0.00582732295	1
34	Iter0035	3	7	11	1	0	0	0.03896103896103896	0.0061919504643962705	-0.0001213495	0
35	Iter0036	6	5	4	5	1	1	1.4999999999999998	1.0	0.028176264972886198	1
36	Iter0037	2	15	5	1	0	0	0.02666666666666666	0.0033978226197905843	-6.711274e-07	0
37	Iter0038	11	4	10	1	0	0	0.275	0.3561872909699001	-1.3078776e-06	0
38	Iter0039	6	4	11	4	0	0	0.5454545454545454	0.6668192219679685	0.0	0
39	Iter0040	5	9	11	7	1	0	0.35353535353535354	0.2851631909003106	0.00835642842	1
40	Iter0041	9	8	13	2	0	0	0.17307692307692307	0.060452032048492574	-0.0012820869300000002	0
41	Iter0042	8	4	7	1	0	0	0.2857142857142857	0.6026831785345728	-0.0007973089	0
42	Iter0043	8	2	6	3	0	0	2.0	0.6284829721362238	-0.0004396787	0
43	Iter0044	2	7	7	4	0	0	0.16326530612244894	0.09228387711359816	-2.89637202e-08	0
44	Iter0045	6	7	13	5	0	0	0.3296703296703297	0.2623306779789827	-0.00015116469999999999	0
45	Iter0046	5	7	6	6	1	0	0.7142857142857143	1.0	0.0112768331	1
46	Iter0047	11	5	6	2	1	0	0.7333333333333334	1.0	0.014933351515700001	1
47	Iter0048	8	6	6	3	1	0	0.6666666666666666	1.0	0.017777247159	1
48	Iter0049	5	7	8	2	0	0	0.17857142857142858	0.0990712074303402	-0.00077173502	0
49	Iter0050	6	5	14	6	0	0	0.5142857142857142	0.4523989334648562	-3.97373568e-05	0
50	Iter0051	11	5	11	4	0	1	0.8	1.0	-4.5771801683e-05	0
51	Iter0052	8	6	8	3	0	0	0.5	0.6766186566159713	-6.639668130000001e-06	0
52	Iter0053	2	6	9	7	1	0	0.25925925925925924	0.2107955310270569	0.008505024	1
53	Iter0054	7	7	3	4	0	0	1.3333333333333333	1.0	-5.84677e-10	0
54	Iter0055	7	4	5	1	0	0	0.35	0.6000323206205543	-0.001064331	0
55	Iter0056	6	10	9	6	1	0	0.4	0.2889734765760743	0.0150708616234	1
56	Iter0057	7	4	4	2	0	0	0.875	1.0	-0.0007578999829199999	0
57	Iter0058	8	3	9	4	1	0	1.1851851851851851	1.0	0.045676709510003584	1
58	Iter0059	16	5	7	3	2	0	1.3714285714285714	1.0	0.03406000394871	1
59	Iter0060	5	2	8	1	0	0	0.3125	0.5499999999999967	-0.00024258399071386	0
60	Iter0061	5	2	5	4	2	0	2.0	0.6328671328671318	0.077172516762	1
61	Iter0062	8	6	8	4	0	0	0.6666666666666666	0.7014941445685826	-0.00016912345999999995	0
62	Iter0063	6	5	7	2	0	0	0.3428571428571429	0.3742260061919506	-2.1204554000000004e-05	0
63	Iter0064	4	2	7	1	0	0	0.2857142857142857	0.5384615384615387	-7.552264e-05	0
64	Iter0065	11	8	12	7	2	0	0.8020833333333334	1.0	0.031831086176	1
65	Iter0066	13	4	5	4	1	0	2.6	0.3821011025587698	0.028805806635270003	1
66	Iter0067	6	7	9	0	0	0	0.0875	0.016676048409794503	-4.401804000000001e-06	0
67	Iter0068	11	7	7	3	0	0	0.6734693877551021	0.7029332223840183	-0.00100010573215	0
68	Iter0069	9	6	7	9	0	0	1.9285714285714288	0.47948776036430607	-0.0002653918441869	0
69	Iter0070	6	6	8	4	0	0	0.5	0.6801722977520519	-0.0005549682096033999	0
70	Iter0071	6	1	4	2	0	0	3.0	0.5594405594405601	-0.00042374431000000005	0
71	Iter0072	14	4	10	2	2	0	0.7	1.0	0.038335729662653	1
72	Iter0073	7	9	11	5	0	0	0.35353535353535354	0.28516319090031017	-1.71424e-07	0
