	Method	Selection	PopSize	TP	TN	FP	FN	Sen	Spe	Acc
0	YLK-FastMl	Scenario-1_None	5	0	654	346	0	NA	0.654	0.654
1	YLK-Prank	Scenario-1_None	5	0	653	347	0	NA	0.653	0.653
2	MK	Scenario-1_None	5	0	660	340	0	NA	0.66	0.66
3	YLK-FastMl	Scenario-1_None	20	0	691	309	0	NA	0.691	0.691
4	YLK-Prank	Scenario-1_None	20	0	690	310	0	NA	0.69	0.69
5	MK	Scenario-1_None	20	0	691	309	0	NA	0.691	0.691
6	YLK-FastMl	Scenario-1_None	100	0	741	259	0	NA	0.741	0.741
7	YLK-Prank	Scenario-1_None	100	0	737	263	0	NA	0.737	0.737
8	MK	Scenario-1_None	100	0	765	235	0	NA	0.765	0.765
9	YLK-FastMl	Scenario-1_None	500	0	760	240	0	NA	0.76	0.76
10	YLK-Prank	Scenario-1_None	500	0	766	234	0	NA	0.766	0.766
11	MK	Scenario-1_None	500	0	814	186	0	NA	0.814	0.814
12	YLK-FastMl	Scenario-2_P1	5	689	1	3	307	0.6917670682730924	0.25	0.69
13	YLK-Prank	Scenario-2_P1	5	503	2	2	493	0.5050200803212851	0.5	0.505
14	MK	Scenario-2_P1	5	576	3	1	420	0.5783132530120482	0.75	0.579
15	YLK-FastMl	Scenario-2_P1	20	637	1	3	359	0.6395582329317269	0.25	0.638
16	YLK-Prank	Scenario-2_P1	20	457	2	2	539	0.45883534136546184	0.5	0.459
17	MK	Scenario-2_P1	20	503	3	1	493	0.5050200803212851	0.75	0.506
18	YLK-FastMl	Scenario-2_P1	100	596	2	2	400	0.5983935742971888	0.5	0.598
19	YLK-Prank	Scenario-2_P1	100	420	3	1	576	0.42168674698795183	0.75	0.423
20	MK	Scenario-2_P1	100	425	2	2	571	0.4267068273092369	0.5	0.427
21	YLK-FastMl	Scenario-2_P1	500	574	2	2	422	0.5763052208835341	0.5	0.576
22	YLK-Prank	Scenario-2_P1	500	371	3	1	625	0.37248995983935745	0.75	0.374
23	MK	Scenario-2_P1	500	398	3	1	598	0.39959839357429716	0.75	0.401
24	YLK-FastMl	Scenario-3_P5	5	0	670	330	0	NA	0.67	0.67
25	YLK-Prank	Scenario-3_P5	5	0	523	477	0	NA	0.523	0.523
26	MK	Scenario-3_P5	5	0	428	572	0	NA	0.428	0.428
27	YLK-FastMl	Scenario-3_P5	20	0	702	298	0	NA	0.702	0.702
28	YLK-Prank	Scenario-3_P5	20	0	564	436	0	NA	0.564	0.564
29	MK	Scenario-3_P5	20	0	480	520	0	NA	0.48	0.48
30	YLK-FastMl	Scenario-3_P5	100	0	749	251	0	NA	0.749	0.749
31	YLK-Prank	Scenario-3_P5	100	0	611	389	0	NA	0.611	0.611
32	MK	Scenario-3_P5	100	0	536	464	0	NA	0.536	0.536
33	YLK-FastMl	Scenario-3_P5	500	0	784	216	0	NA	0.784	0.784
34	YLK-Prank	Scenario-3_P5	500	0	630	370	0	NA	0.63	0.63
35	MK	Scenario-3_P5	500	0	596	404	0	NA	0.596	0.596
36	YLK-FastMl	Scenario-4_P1P5	5	701	3	2	294	0.7045226130653266	0.6	0.704
37	YLK-Prank	Scenario-4_P1P5	5	600	2	3	395	0.6030150753768844	0.4	0.602
38	MK	Scenario-4_P1P5	5	729	1	4	266	0.7326633165829146	0.2	0.73
39	YLK-FastMl	Scenario-4_P1P5	20	616	4	1	379	0.6190954773869347	0.8	0.62
40	YLK-Prank	Scenario-4_P1P5	20	542	3	2	453	0.5447236180904522	0.6	0.545
41	MK	Scenario-4_P1P5	20	628	1	4	367	0.6311557788944724	0.2	0.629
42	YLK-FastMl	Scenario-4_P1P5	100	583	4	1	412	0.5859296482412061	0.8	0.587
43	YLK-Prank	Scenario-4_P1P5	100	495	2	3	500	0.49748743718592964	0.4	0.497
44	MK	Scenario-4_P1P5	100	584	2	3	411	0.5869346733668341	0.4	0.586
45	YLK-FastMl	Scenario-4_P1P5	500	541	4	1	454	0.5437185929648242	0.8	0.545
46	YLK-Prank	Scenario-4_P1P5	500	480	5	0	515	0.4824120603015075	1.0	0.485
47	MK	Scenario-4_P1P5	500	545	2	3	450	0.5477386934673367	0.4	0.547
