	IterId	dN	dS	pN	pS	bdN	bpN	MkScore	FSPVal	SelCoef	PosSel
0	Iter0001	5	5	10	6	0	0	0.6	0.689056400592279	-6.4498e-07	0
1	Iter0002	5	4	8	2	0	0	0.3125	0.3498452012383897	-0.0007382220869999999	0
2	Iter0003	8	10	8	1	0	0	0.1	0.041671067300358175	-8.406740000000002e-07	0
3	Iter0004	6	7	4	5	0	0	1.0714285714285714	1.0	-6.010318895832e-08	0
4	Iter0005	11	6	6	2	0	0	0.6111111111111109	1.0	-0.00025667666	0
5	Iter0006	3	3	9	4	0	0	0.4444444444444444	0.6168730650154763	0.0	0
6	Iter0007	5	8	5	3	0	0	0.375	0.3869969040247698	-7.91012204e-06	0
7	Iter0008	9	5	10	2	0	0	0.36	0.3913043478260878	-0.000189857907643	0
8	Iter0009	10	9	6	0	0	0	0.15714285714285714	0.05707509881422952	-0.0016032685276999995	0
9	Iter0010	4	0	9	6	0	0	3.5	0.2554179566563461	-0.0009067130000000001	0
10	Iter0011	6	5	9	3	0	0	0.4	0.4003230582850977	-0.0005142701514	0
11	Iter0012	5	7	4	5	0	0	0.8928571428571428	1.0	-2.843360983305e-08	0
12	Iter0013	4	4	8	1	0	0	0.125	0.1312217194570132	-0.000128872	0
13	Iter0014	3	12	12	3	0	0	0.0625	0.0028143307087427	-0.000546611	0
14	Iter0015	11	3	6	4	0	0	2.444444444444444	0.39263920671243546	-0.00055367852	0
15	Iter0016	6	5	6	4	0	0	0.7999999999999999	1.0	-3.01301e-05	0
16	Iter0017	6	5	7	3	0	0	0.5142857142857142	0.6594427244582042	0.0	0
17	Iter0018	7	4	7	3	0	0	0.75	1.0	-0.00011701700000000001	0
18	Iter0019	3	3	10	7	0	0	0.7	1.0	-0.0002086087	0
19	Iter0020	6	12	10	1	0	0	0.05	0.00574975670059711	-8.395819999999998e-10	0
20	Iter0021	5	6	5	1	0	0	0.16666666666666669	0.30429864253393724	-9.625979999999999e-05	0
21	Iter0022	2	4	11	5	0	0	0.2272727272727273	0.1777974347633786	-0.000704773	0
22	Iter0023	6	7	11	2	0	0	0.15584415584415584	0.09684210526315776	-6.53716189268e-05	0
23	Iter0024	8	4	4	5	0	0	2.5	0.396427720885925	-0.00044823762910000005	0
24	Iter0025	6	8	11	6	0	0	0.4090909090909091	0.28948151466617633	0.0	0
25	Iter0026	3	9	11	4	0	0	0.1212121212121212	0.021300907853606933	-5.427850000000001e-05	0
26	Iter0027	4	3	5	3	0	0	0.7999999999999999	1.0	0.0	0
27	Iter0028	9	5	5	1	0	0	0.36	0.6126160990712101	-8.828759e-05	0
28	Iter0029	8	2	9	4	0	0	1.7777777777777777	0.6600196142530221	-0.0007063456408999999	0
29	Iter0030	2	8	8	6	0	0	0.1875	0.1040516893256167	-8.75065e-12	0
30	Iter0031	5	6	3	6	0	0	1.6666666666666667	0.6699214098594902	-1.6783864999999998e-05	0
31	Iter0032	9	8	4	1	0	0	0.28125	0.3602187286397813	-0.00024178500086316	0
32	Iter0033	8	5	8	2	0	0	0.4	0.4050343249427921	-8.472387341e-05	0
33	Iter0034	9	4	5	9	0	0	4.05	0.12834612105711968	-0.00021331611	0
34	Iter0035	9	4	8	4	0	0	1.125	1.0	-0.00034617720000000004	0
35	Iter0036	5	2	5	7	0	0	3.5	0.34984520123838936	-0.00014249417683300002	0
36	Iter0037	7	4	6	2	0	0	0.5833333333333334	1.0	-0.000424675154254	0
37	Iter0038	7	4	5	3	0	0	1.05	1.0	-0.00027189219000000003	0
38	Iter0039	9	10	8	2	0	0	0.225	0.1260765221784726	-0.000552881	0
39	Iter0040	5	10	7	0	0	0	0.06818181818181818	0.005347593582887676	-0.000149581	0
40	Iter0041	4	2	15	4	0	0	0.5333333333333333	0.6060530773574226	-0.0004780205035	0
41	Iter0042	4	3	9	7	0	0	1.037037037037037	1.0	-0.00125607271397	0
42	Iter0043	6	7	6	2	0	0	0.2857142857142857	0.3665634674922597	-0.00011725287	0
43	Iter0044	4	8	2	0	0	0	0.1851851851851852	0.16483516483516408	-5.54469e-07	0
44	Iter0045	3	5	7	1	0	0	0.08571428571428573	0.11888111888111873	0.0	0
45	Iter0046	7	7	3	1	0	0	0.3333333333333333	0.5882352941176482	0.0	0
46	Iter0047	6	5	10	1	0	0	0.12	0.14860681114551125	-1.193888e-05	0
47	Iter0048	9	9	8	3	0	0	0.375	0.2731724363382235	-0.000137947801	0
48	Iter0049	6	10	6	5	0	0	0.5	0.451653430250825	0.0	0
49	Iter0050	9	5	9	3	0	0	0.6	0.6828375286041177	-0.0007034990479249801	0
50	Iter0051	3	6	9	0	0	0	0.057142857142857134	0.009049773755656087	-2.17444e-06	0
51	Iter0052	9	5	9	6	0	0	1.2	1.0	-0.00107017564727	0
52	Iter0053	3	5	9	2	0	0	0.13333333333333333	0.07394617766134816	0.0	0
53	Iter0054	2	4	15	2	0	0	0.06666666666666668	0.02122896173239419	-2.7922500000000002e-06	0
54	Iter0055	10	6	10	7	0	0	1.1666666666666667	1.0	-0.000126667377	0
55	Iter0056	6	8	5	7	0	0	1.05	1.0	-3.7276847230000005e-06	0
56	Iter0057	5	3	11	11	0	0	1.6666666666666667	0.6887334110722523	-0.00010025556	0
57	Iter0058	11	4	5	3	0	0	1.65	0.657019787319963	-0.000667530119722	0
58	Iter0059	1	6	9	4	0	0	0.07407407407407407	0.05727554179566554	0.0	0
59	Iter0060	5	7	11	1	0	0	0.06493506493506494	0.027190738995827145	-0.000366397413	0
60	Iter0061	9	11	3	1	0	0	0.2727272727272728	0.5900621118012419	-0.0001515332	0
61	Iter0062	2	6	5	5	0	0	0.3333333333333333	0.3665158371040742	-0.00036977699999999995	0
62	Iter0063	4	13	7	5	0	0	0.2197802197802198	0.11858807438386175	-3.06816e-06	0
63	Iter0064	4	5	8	5	0	0	0.5	0.665634674922595	-4.6224763810000007e-05	0
64	Iter0065	2	8	7	5	0	0	0.17857142857142858	0.09907120743034002	-4.3476800000000003e-16	0
65	Iter0066	5	5	9	4	0	0	0.4444444444444444	0.4172836182527927	-8.6232846e-05	0
66	Iter0067	12	7	6	2	0	0	0.5714285714285714	0.6758163575554951	-0.00010725554174170002	0
67	Iter0068	4	7	9	5	0	0	0.31746031746031744	0.2377439763090591	-6.71521e-05	0
68	Iter0069	3	7	3	6	0	0	0.8571428571428571	1.0	-0.00035167	0
69	Iter0070	8	2	5	9	0	0	7.1999999999999975	0.04717997038632398	-8.964302692999999e-05	0
70	Iter0071	2	2	8	5	0	0	0.625	1.0	0.0	0
71	Iter0072	6	10	6	4	0	0	0.4	0.4216449051016299	-8.07427697288e-05	0
72	Iter0073	9	2	7	3	0	0	1.9285714285714284	0.6351172047766502	-0.0008242187318	0
73	Iter0074	11	6	9	1	0	0	0.2037037037037037	0.20401337792642324	-0.00010672028962	0
74	Iter0075	7	3	5	3	0	0	1.4	1.0	-8.16403231e-05	0
75	Iter0076	9	5	2	0	0	0	0.5555555555555556	1.0	-0.00015226825811799998	0
76	Iter0077	4	5	13	4	0	0	0.2461538461538461	0.1936758893280633	-1.9567400000000002e-05	0
77	Iter0078	11	8	6	1	0	0	0.22916666666666666	0.3574217087260585	-0.0006634585095999999	0
78	Iter0079	7	6	4	3	0	0	0.8750000000000001	1.0	-3.22471e-05	0
79	Iter0080	7	8	7	7	0	0	0.875	1.0	-0.0005639555684470001	0
80	Iter0081	8	5	5	8	0	0	2.56	0.43375266811529856	0.0	0
81	Iter0082	5	11	9	0	0	0	0.05	0.0010068649885583564	-2.1122699999999998e-09	0
82	Iter0083	8	12	8	6	0	0	0.5	0.4867147071625561	-0.000383655551	0
83	Iter0084	4	9	4	5	0	0	0.5555555555555555	0.6619195046439594	-0.0003485979800000001	0
84	Iter0085	3	2	10	2	0	0	0.3	0.5378151260504176	-3.26485e-05	0
85	Iter0086	7	8	5	2	0	0	0.35	0.3808049535603707	-2.5002243e-05	0
86	Iter0087	1	5	11	0	0	0	0.027777777777777776	0.0009696186166774356	-5.72788e-06	0
87	Iter0088	4	10	8	2	0	0	0.1	0.03607484183604789	-0.00047742877	0
88	Iter0089	7	5	10	2	0	0	0.28	0.3707093821510294	-0.0008459294844339999	0
89	Iter0090	6	8	7	3	0	0	0.3214285714285714	0.2396688652577737	-0.000257807235	0
90	Iter0091	9	3	8	3	0	0	1.125	1.0	-2.0268723e-05	0
91	Iter0092	5	9	9	2	0	0	0.1234567901234568	0.04188652577735929	-1.5301615479399998e-05	0
92	Iter0093	4	8	10	7	0	0	0.35	0.2635419132539036	-5.25021e-07	0
93	Iter0094	5	5	7	3	0	0	0.42857142857142855	0.6499166468206703	-4.876174100000001e-05	0
94	Iter0095	10	6	7	4	0	0	0.9523809523809524	1.0	-8.118079999999996e-06	0
95	Iter0096	6	3	7	2	0	0	0.5714285714285714	1.0	-0.00038853400000326736	0
96	Iter0097	5	6	8	4	0	0	0.4166666666666667	0.4136492125454262	-2.2883657e-05	0
97	Iter0098	7	4	7	2	0	0	0.5	0.6424148606811141	-0.000508958834	0
98	Iter0099	4	6	4	2	0	0	0.3333333333333333	0.6083916083916083	-5.3679e-05	0
99	Iter0100	4	2	6	3	0	0	1.0	1.0	-0.0006445365441	0
100	Iter0101	2	8	10	2	0	0	0.05	0.008284285374068598	-6.376936e-09	0
101	Iter0102	4	5	5	5	0	0	0.8	1.0	0.0	0
102	Iter0103	9	2	8	5	0	0	2.8125	0.3864416475972545	-1.40792314e-05	0
103	Iter0104	5	13	12	1	0	0	0.03205128205128205	0.0006791510865959303	-0.00014384387235000001	0
104	Iter0105	6	10	10	1	0	0	0.06	0.007611121273794694	-0.00017617689999999998	0
105	Iter0106	8	3	2	3	0	0	4.0	0.2994505494505492	-0.0005830091596000001	0
106	Iter0107	2	1	8	5	0	0	1.25	1.0	-9.419339999999999e-07	0
107	Iter0108	9	4	10	1	0	0	0.225	0.3271221532091099	-0.0007243424	0
108	Iter0109	3	9	6	2	0	0	0.1111111111111111	0.06477732793522263	-1.2449651000000002e-06	0
109	Iter0110	6	9	9	6	0	0	0.4444444444444444	0.4660922247854478	-6.605479e-05	0
110	Iter0111	5	6	3	1	0	0	0.2777777777777778	0.5692307692307697	-0.000100561	0
111	Iter0112	5	6	9	4	0	0	0.3703703703703704	0.4080966482702921	-0.00027189239	0
112	Iter0113	10	6	11	3	0	0	0.4545454545454546	0.4397201399300388	-1.5967548080000002e-05	0
113	Iter0114	6	5	8	2	0	0	0.3	0.361455108359135	-0.0007592972212000001	0
114	Iter0115	6	7	9	2	0	0	0.19047619047619047	0.1049266388477593	-0.00046652900402789003	0
115	Iter0116	4	8	10	2	0	0	0.1	0.03607484183604776	-8.927375000000001e-05	0
116	Iter0117	7	7	5	5	0	0	1.0	1.0	-0.00022098824000000005	0
117	Iter0118	8	6	11	5	0	0	0.606060606060606	0.7065200732966916	-0.0001778411	0
118	Iter0119	2	9	12	2	0	0	0.037037037037037035	0.0012392874770045445	-1.86516e-06	0
119	Iter0120	2	6	5	3	0	0	0.2	0.3146853146853145	-1.914526e-07	0
120	Iter0121	9	5	8	4	0	0	0.9	1.0	-3.39464e-11	0
121	Iter0122	8	10	5	3	0	0	0.48	0.6727688787185335	-0.000193837548	0
122	Iter0123	9	3	11	5	0	0	1.3636363636363635	1.0	-0.00146424982	0
123	Iter0124	3	3	9	3	0	0	0.3333333333333333	0.3440530058177112	0.0	0
124	Iter0125	6	5	5	2	0	0	0.48	0.6370663650075437	-0.00024596355	0
125	Iter0126	7	8	11	2	0	0	0.1590909090909091	0.05457121063528352	-0.000988015716698	0
126	Iter0127	7	3	5	1	0	0	0.4666666666666667	1.0	-0.0001512134	0
127	Iter0128	4	10	8	1	0	0	0.05	0.009422533315385605	-3.75257e-07	0
128	Iter0129	4	3	8	4	0	0	0.6666666666666666	1.0	-1.86542e-09	0
129	Iter0130	5	9	6	7	0	0	0.6481481481481483	0.7035671018979742	0.0	0
130	Iter0131	10	6	5	2	0	0	0.6666666666666667	1.0	-0.0007989697936276999	0
131	Iter0132	4	5	16	10	0	0	0.5	0.4505005561735351	-0.0005044701200000001	0
132	Iter0133	5	9	5	5	0	0	0.5555555555555556	0.6784560506124692	-0.000297278	0
