	IterId	dN	dS	pN	pS	bdN	bpN	MkScore	FSPVal	SelCoef	PosSel
0	Iter0001	0	0	7	5	0	0	0.75	1.0	-6.4498e-07	0
1	Iter0002	1	1	4	2	0	0	0.5	1.0	-0.0007382220869999999	0
2	Iter0003	2	3	8	1	0	0	0.08333333333333333	0.09490509490509444	-8.406740000000002e-07	0
3	Iter0004	1	1	2	4	0	0	2.0	1.0	-6.010318895832e-08	0
4	Iter0005	0	3	5	2	0	0	0.125	0.16666666666666674	-0.00025667666	0
5	Iter0006	1	1	7	3	0	0	0.42857142857142855	1.0	0.0	0
6	Iter0007	1	2	2	2	0	0	0.5	1.0	-7.91012204e-06	0
7	Iter0008	2	2	6	1	0	0	0.16666666666666666	0.4909090909090907	-0.000189857907643	0
8	Iter0009	1	0	3	0	0	0	0.5	1.0	-0.0016032685276999997	0
9	Iter0010	2	0	6	7	0	0	3.4285714285714284	0.4666666666666659	-0.000906713	0
10	Iter0011	4	1	9	3	0	0	1.3333333333333333	1.0	-0.0005142701514	0
11	Iter0012	2	1	3	2	0	0	1.3333333333333333	1.0	-2.843360983305e-08	0
12	Iter0013	1	1	5	0	0	0	0.16666666666666666	0.2857142857142857	-0.000128872	0
13	Iter0014	0	4	10	2	0	0	0.05454545454545455	0.008241758241758193	-0.000546611	0
14	Iter0015	0	0	3	3	0	0	1.0	1.0	-0.00055367852	0
15	Iter0016	1	3	5	3	0	0	0.2	0.5454545454545471	-3.01301e-05	0
16	Iter0017	0	0	4	2	0	0	0.6	1.0	0.0	0
17	Iter0018	0	0	6	3	0	0	0.5714285714285714	1.0	-0.000117017	0
18	Iter0019	1	0	8	5	0	0	1.3333333333333333	1.0	-0.0002086087	0
19	Iter0020	1	0	6	1	0	0	0.5714285714285714	1.0	-8.395819999999998e-10	0
20	Iter0021	0	0	5	0	0	0	0.16666666666666666	1.0	-9.62598e-05	0
21	Iter0022	0	2	8	4	0	0	0.1851851851851852	0.16483516483516408	-0.000704773	0
22	Iter0023	2	0	8	2	0	0	1.0	1.0	-6.53716189268e-05	0
23	Iter0024	3	0	2	4	0	0	6.666666666666668	0.16666666666666674	-0.0004482376291	0
24	Iter0025	2	0	10	5	0	0	1.6363636363636365	1.0	0.0	0
25	Iter0026	0	1	7	3	0	0	0.25	0.3636363636363637	-5.427850000000001e-05	0
26	Iter0027	0	0	3	1	0	0	0.5	1.0	0.0	0
27	Iter0028	1	1	4	0	0	0	0.2	0.3333333333333332	-8.828759e-05	0
28	Iter0029	1	0	9	4	0	0	1.0	1.0	-0.0007063456408999999	0
29	Iter0030	1	1	5	2	0	0	0.4	1.0	-8.75065e-12	0
30	Iter0031	1	4	2	6	0	0	0.75	1.0	-1.6783864999999998e-05	0
31	Iter0032	4	4	4	1	0	0	0.25	0.5648795648795664	-0.00024178500086316	0
32	Iter0033	3	2	8	2	0	0	0.375	0.5604395604395591	-8.472387341e-05	0
33	Iter0034	1	2	3	5	0	0	0.8333333333333334	1.0	-0.00021331611	0
34	Iter0035	1	4	8	1	0	0	0.03125	0.022977022977022855	-0.00034617720000000004	0
35	Iter0036	1	0	4	7	0	0	3.2	0.4166666666666676	-0.00014249417683300002	0
36	Iter0037	1	0	5	1	0	0	0.6666666666666666	1.0	-0.000424675154254	0
37	Iter0038	1	0	4	3	0	0	1.6	1.0	-0.00027189219000000003	0
38	Iter0039	0	0	4	2	0	0	0.6	1.0	-0.000552881	0
39	Iter0040	1	4	4	0	0	0	0.08	0.04761904761904759	-0.000149581	0
40	Iter0041	0	0	12	4	0	0	0.3846153846153846	1.0	-0.0004780205035	0
41	Iter0042	0	2	7	4	0	0	0.2083333333333333	0.1923076923076929	-0.00125607271397	0
42	Iter0043	0	0	3	1	0	0	0.5	1.0	-0.00011725287	0
43	Iter0044	0	0	3	0	0	0	0.25	1.0	-5.54469e-07	0
44	Iter0045	0	0	4	1	0	0	0.4	1.0	0.0	0
45	Iter0046	1	0	3	1	0	0	1.0	1.0	0.0	0
46	Iter0047	3	1	7	1	0	0	0.42857142857142855	1.0	-1.1938879999999999e-05	0
47	Iter0048	1	2	7	2	0	0	0.14285714285714285	0.2363636363636364	-0.000137947801	0
48	Iter0049	1	4	5	4	0	0	0.2	0.3006993006992999	0.0	0
49	Iter0050	0	0	3	2	0	0	0.75	1.0	-0.0007034990479249801	0
50	Iter0051	0	2	5	0	0	0	0.05555555555555555	0.0476190476190476	-2.17444e-06	0
51	Iter0052	1	0	5	4	0	0	1.6666666666666667	1.0	-0.00107017564727	0
52	Iter0053	2	0	6	1	0	0	0.8571428571428571	1.0	0.0	0
53	Iter0054	0	1	12	1	0	0	0.07692307692307693	0.14285714285714207	-2.79225e-06	0
54	Iter0055	0	0	8	5	0	0	0.6666666666666666	1.0	-0.000126667377	0
55	Iter0056	1	1	4	5	0	0	1.25	1.0	-3.727684723e-06	0
56	Iter0057	1	0	9	7	0	0	1.6	1.0	-0.00010025556000000001	0
57	Iter0058	4	1	4	3	0	0	3.0	0.5757575757575769	-0.000667530119722	0
58	Iter0059	0	1	7	3	0	0	0.25	0.3636363636363637	0.0	0
59	Iter0060	0	1	8	0	0	0	0.05555555555555555	0.11111111111111124	-0.000366397413	0
