	IterId	dN	dS	pN	pS	bdN	bpN	MkScore	FSPVal	SelCoef	PosSel
0	Iter0001	12	3	6	1	8	0	0.6666666666666666	1.0	0.14582259322799998	1
1	Iter0002	11	3	3	2	6	0	2.4444444444444438	0.5695734434124551	0.10559791460736251	1
2	Iter0003	8	1	3	1	6	0	2.6666666666666665	1.0	0.18798845198902314	1
3	Iter0004	7	4	3	1	3	0	0.5833333333333334	1.0	0.057593231944	1
4	Iter0005	6	5	0	2	4	0	3.5000000000000004	0.4615384615384627	0.06631528223000001	1
5	Iter0006	6	7	5	2	2	0	0.3428571428571429	0.3742260061919498	0.032503849527	1
6	Iter0007	8	3	1	0	5	0	1.125	1.0	0.0537012582	1
7	Iter0008	5	1	11	5	0	3	2.2727272727272725	0.6341120180129493	-0.00020802983099999997	0
8	Iter0009	10	5	0	3	8	0	7.333333333333332	0.06862745098039226	0.19811642388136802	1
9	Iter0010	11	4	2	2	5	0	2.75	0.5572755417956642	0.08813398548199841	1
10	Iter0011	6	2	5	1	5	0	0.6	1.0	0.1168749	1
11	Iter0012	5	1	1	3	3	0	15.0	0.19047619047619052	0.05480929649525	1
12	Iter0013	8	1	1	1	7	0	8.0	0.3454545454545447	0.1313334195	1
13	Iter0014	4	5	0	0	3	0	0.8333333333333334	1.0	0.04826318	1
14	Iter0015	11	1	3	2	9	0	7.333333333333332	0.19117647058823506	0.1731991317	1
15	Iter0016	9	4	6	2	8	0	0.75	1.0	0.09156402100000001	1
16	Iter0017	9	2	3	1	6	0	1.5	1.0	0.08873675366	1
17	Iter0018	12	2	6	1	7	0	1.0	1.0	0.13065726699784763	1
18	Iter0019	6	2	2	0	2	0	0.7777777777777778	1.0	0.03756041792748	1
19	Iter0020	10	1	2	0	7	0	1.8333333333333333	1.0	0.1347937402	1
20	Iter0021	7	4	0	0	5	0	1.6	1.0	0.062305035636	1
21	Iter0022	9	1	6	4	5	0	6.0	0.3034055727554188	0.07553300102419999	1
22	Iter0023	9	1	6	2	6	0	3.0	0.5588235294117672	0.110191695	1
23	Iter0024	9	1	3	0	6	0	1.25	1.0	0.107513462881	1
24	Iter0025	9	6	0	2	7	0	4.285714285714287	0.2058823529411759	0.1250426251	1
25	Iter0026	9	3	3	1	5	1	1.0	1.0	0.12698562862438	1
26	Iter0027	2	3	0	0	1	0	0.75	1.0	0.018932164600000002	1
27	Iter0028	7	5	3	2	6	0	0.9333333333333332	1.0	0.139716518	1
28	Iter0029	12	1	1	1	6	0	12.0	0.2571428571428551	0.10623341791268699	1
29	Iter0030	12	3	3	0	8	0	0.8125	1.0	0.186856710495287	1
30	Iter0031	5	4	4	0	3	0	0.24	0.22797202797202865	0.050128292000000005	1
31	Iter0032	7	3	3	0	2	1	0.5	0.5279720279720299	0.06868149826415	1
32	Iter0033	12	2	0	0	6	0	4.333333333333333	1.0	0.150061923004	1
33	Iter0034	6	4	3	3	3	0	1.5	1.0	0.066508383946	1
34	Iter0035	5	2	5	6	2	0	3.0	0.3665158371040737	0.05023592653	1
35	Iter0036	6	3	1	1	4	0	2.0	1.0	0.11945840906460001	1
36	Iter0037	2	2	9	3	1	0	0.3333333333333333	0.5467032967032941	0.0226786	1
37	Iter0038	7	2	0	2	4	0	8.0	0.10909090909090892	0.10045958001000001	1
38	Iter0039	5	0	5	4	3	2	5.0	0.22077922077922	0.033749396099999995	1
39	Iter0040	8	1	2	1	4	0	4.0	0.4545454545454555	0.09991944623979514	1
40	Iter0041	7	3	3	1	5	0	0.7777777777777778	1.0	0.06589731738	1
41	Iter0042	8	1	2	0	6	0	1.5	1.0	0.1366195848	1
42	Iter0043	4	2	1	1	2	0	2.0	1.0	0.020757206510753103	1
43	Iter0044	6	6	2	2	3	0	1.0	1.0	0.088945962057	1
44	Iter0045	4	1	4	1	1	2	1.0	1.0	0.012840129	1
45	Iter0046	5	5	3	6	3	0	2.0	0.6499166468206713	0.05541964437	1
46	Iter0047	5	1	2	2	2	0	5.0	0.5000000000000001	0.024834475393000002	1
47	Iter0048	9	4	4	6	4	1	3.375	0.22154491087052566	0.04222304609	1
48	Iter0049	10	1	6	1	8	0	1.6666666666666667	1.0	0.12353453862500001	1
49	Iter0050	10	4	4	1	3	0	0.625	1.0	0.06532786696140601	1
50	Iter0051	11	1	1	3	7	0	33.0	0.02692307692307675	0.107142057	1
51	Iter0052	13	3	4	0	9	0	0.7	1.0	0.19600586199999998	1
52	Iter0053	10	6	5	2	4	0	0.6666666666666667	1.0	0.09400453296985999	1
53	Iter0054	9	1	5	0	8	0	0.8333333333333334	1.0	0.13742513760075	1
54	Iter0055	17	5	1	1	9	0	3.4	0.4456521739130444	0.14342024941150006	1
55	Iter0056	5	1	3	2	3	0	3.333333333333333	0.5454545454545453	0.07871047228000001	1
56	Iter0057	7	1	1	0	4	1	2.0	1.0	0.0522209329	1
57	Iter0058	12	5	3	3	11	1	2.4	0.6213854795090508	0.1980217052	1
58	Iter0059	7	6	7	0	6	0	0.14285714285714285	0.051496388028895584	0.09885521062000001	1
59	Iter0060	4	1	3	6	1	0	8.0	0.2657342657342652	0.0151831335353	1
60	Iter0061	10	0	5	2	7	0	5.5	0.1544117647058821	0.19320177946900002	1
61	Iter0062	3	3	4	1	2	0	0.25	0.5454545454545454	0.030227851099999998	1
62	Iter0063	11	0	7	4	4	1	7.5	0.09022556390977407	0.06995580452958	1
63	Iter0064	6	1	3	0	4	0	0.875	1.0	0.12058510602	1
64	Iter0065	9	4	4	1	7	0	0.5625	1.0	0.22473305312999997	1
65	Iter0066	6	4	5	1	3	0	0.3	0.5879120879120863	0.08071460556150001	1
66	Iter0067	11	1	2	0	7	0	2.0	1.0	0.13634716340000003	1
67	Iter0068	11	3	1	2	6	0	7.333333333333332	0.19117647058823506	0.1498298464	1
68	Iter0069	9	1	4	0	6	0	1.0	1.0	0.09700472740600001	1
69	Iter0070	9	4	5	2	6	0	0.9	1.0	0.111284952318117	1
70	Iter0071	3	6	3	2	1	1	0.3333333333333333	0.5804195804195786	0.03606719999981715	1
71	Iter0072	8	2	2	2	3	1	4.0	0.5204795204795202	0.0278989829722	1
72	Iter0073	6	2	2	1	3	0	1.5	1.0	0.07493936627910001	1
73	Iter0074	8	2	2	3	6	0	6.0	0.25074925074925003	0.139321460626	1
74	Iter0075	9	4	3	0	5	0	0.5	0.5285714285714266	0.0772596776	1
75	Iter0076	11	2	1	1	6	0	5.5	0.3714285714285689	0.12655323992000003	1
76	Iter0077	7	3	9	1	5	0	0.2592592592592593	0.582043343653256	0.10517622069999999	1
77	Iter0078	10	4	3	2	8	0	1.6666666666666667	1.0	0.15939633039549997	1
78	Iter0079	7	2	2	1	4	1	1.75	1.0	0.0685455061	1
79	Iter0080	13	2	2	2	6	0	6.5	0.1782765737874103	0.156881067316	1
80	Iter0081	4	1	1	0	3	0	1.25	1.0	0.09456260932	1
81	Iter0082	8	4	2	1	4	0	1.0	1.0	0.0639210497214	1
82	Iter0083	6	1	5	7	4	1	8.4	0.14729697547034978	0.09744481082	1
83	Iter0084	8	4	2	1	6	0	1.0	1.0	0.12478732031999999	1
84	Iter0085	9	0	5	1	7	0	3.333333333333333	0.3999999999999996	0.15821720367994807	1
85	Iter0086	6	5	3	1	5	0	0.4	0.6043956043956045	0.10173066409499999	1
86	Iter0087	11	6	3	0	5	0	0.42857142857142855	0.5210526315789487	0.06266959447306	1
87	Iter0088	8	0	1	2	2	0	13.5	0.05454545454545455	0.098910324569	1
88	Iter0089	9	4	1	1	7	0	2.25	1.0	0.18920557210870995	1
89	Iter0090	10	3	5	2	7	3	1.3333333333333337	1.0	0.11313751599999997	1
90	Iter0091	5	3	1	3	1	0	5.000000000000001	0.5454545454545472	0.010424580999999999	1
91	Iter0092	10	4	2	2	6	0	2.5	0.5686274509803924	0.17295178179370002	1
92	Iter0093	4	2	4	1	4	0	0.5	1.0	0.05831282	1
93	Iter0094	11	3	3	0	6	0	0.75	1.0	0.0835694351	1
94	Iter0095	16	1	1	0	11	0	4.25	1.0	0.17947975940000002	1
95	Iter0096	7	3	3	2	4	1	1.5555555555555556	1.0	0.12128510851999	1
96	Iter0097	9	1	3	1	3	0	3.0	0.5054945054945035	0.048085461566	1
97	Iter0098	6	1	4	1	4	1	1.5	1.0	0.15152220899993823	1
98	Iter0099	5	2	6	1	5	0	0.4166666666666667	1.0	0.08441237	1
99	Iter0100	3	1	1	0	1	0	1.0	1.0	0.015496885099999998	1
100	Iter0101	8	1	1	1	6	0	8.0	0.3454545454545447	0.11768043438936	1
101	Iter0102	8	4	3	4	6	0	2.6666666666666665	0.3765182186234807	0.1097773076679	1
102	Iter0103	6	1	4	1	3	0	1.5	1.0	0.06393143099999998	1
103	Iter0104	12	2	6	1	4	0	1.0	1.0	0.10222564979144601	1
104	Iter0105	3	0	3	4	2	0	5.0	0.20000000000000007	0.04231439930615401	1
105	Iter0106	6	3	6	1	3	0	0.3333333333333333	0.5846153846153825	0.16994912662994469	1
106	Iter0107	11	3	4	3	7	1	2.75	0.35436016511868057	0.18165981311000004	1
107	Iter0108	9	2	5	2	6	0	1.8	1.0	0.17717609581762997	1
