	IterId	dN	dS	pN	pS	bdN	bpN	MkScore	FSPVal	SelCoef	PosSel
0	Iter0001	16	7	2	1	8	0	1.1428571428571428	1.0	0.14582259322799998	1
1	Iter0002	14	3	3	2	6	0	3.111111111111111	0.5481127060074437	0.10559791460736251	1
2	Iter0003	11	3	2	1	6	0	1.8333333333333333	1.0	0.18798845198902314	1
3	Iter0004	9	6	3	1	3	0	0.5	1.0	0.057593231944	1
4	Iter0005	10	8	0	1	4	0	2.4444444444444446	0.4736842105263162	0.06631528223000001	1
5	Iter0006	9	9	1	1	2	0	1.0	1.0	0.032503803019	1
6	Iter0007	13	4	1	0	5	0	1.4	1.0	0.0537012582	1
7	Iter0008	9	5	8	3	0	2	0.675	1.0	-0.00020802983099999997	0
8	Iter0009	12	7	0	0	8	0	1.625	1.0	0.19811642388136802	1
9	Iter0010	14	8	0	0	5	0	1.6666666666666667	1.0	0.08813398548199841	1
10	Iter0011	8	5	1	1	5	0	1.6	1.0	0.1168749	1
11	Iter0012	9	5	1	1	3	0	1.8	1.0	0.05480929546331	1
12	Iter0013	9	3	1	1	7	0	3.0	0.5054945054945044	0.1313334195	1
13	Iter0014	8	11	0	0	3	0	0.75	1.0	0.04826318	1
14	Iter0015	15	3	0	2	9	0	12.0	0.05263157894736816	0.1731991317	1
15	Iter0016	12	8	4	1	8	0	0.375	0.6205533596837987	0.09156402100000001	1
16	Iter0017	10	4	2	1	6	0	1.25	1.0	0.08873675366	1
17	Iter0018	13	5	2	1	7	0	1.3	1.0	0.13065726699784763	1
18	Iter0019	9	5	2	0	2	0	0.5555555555555556	1.0	0.03756041792748	1
19	Iter0020	14	5	3	0	7	0	0.625	1.0	0.1347937402	1
20	Iter0021	9	7	0	0	5	0	1.25	1.0	0.062305035636	1
21	Iter0022	9	3	5	4	5	0	2.4	0.3972136222910228	0.07553300102419999	1
22	Iter0023	12	5	1	1	6	0	2.4	1.0	0.110191694982675	1
23	Iter0024	14	6	1	0	6	0	1.0714285714285714	1.0	0.107513462881	1
24	Iter0025	11	8	0	1	7	0	2.6666666666666665	0.4500000000000013	0.1250426251	1
