	IterId	dN	dS	pN	pS	bdN	bpN	MkScore	FSPVal	SelCoef	PosSel
0	Iter0001	3	4	0	2	0	0	2.4000000000000004	0.5000000000000001	-0.00029599848282299996	0
1	Iter0002	3	2	2	0	0	0	0.4444444444444444	1.0	-0.0004281409126	0
2	Iter0003	2	1	1	1	0	0	2.0	1.0	-9.57097e-05	0
3	Iter0004	1	2	4	0	0	0	0.13333333333333333	0.1428571428571427	-7.416399363999999e-07	0
4	Iter0005	0	0	1	0	0	0	0.5	1.0	-1.21981e-06	0
5	Iter0006	3	0	1	0	0	0	2.0	1.0	-0.0004140673	0
6	Iter0007	3	5	1	0	0	0	0.3333333333333333	0.4444444444444449	-9.012592799999998e-06	0
7	Iter0008	0	0	2	0	0	0	0.3333333333333333	1.0	-0.00057660195	0
8	Iter0009	2	1	1	1	0	0	2.0	1.0	-2.19847e-06	0
9	Iter0010	3	1	5	1	0	0	0.6	1.0	-5.35983e-05	0
10	Iter0011	2	0	4	1	0	0	1.2	1.0	-0.000138405	0
11	Iter0012	2	2	4	0	0	0	0.2	0.4285714285714282	-7.0236190480000004e-09	0
12	Iter0013	3	1	1	0	0	0	1.0	1.0	-8.663690002385261e-05	0
13	Iter0014	1	2	1	1	0	0	0.5	1.0	-6.512313e-05	0
14	Iter0015	5	1	0	0	0	0	3.0	1.0	-8.442287669999998e-06	0
15	Iter0016	3	7	1	0	0	0	0.25	0.3636363636363638	-6.89681064e-05	0
16	Iter0017	2	2	2	1	0	0	0.5	1.0	-1.37975e-08	0
17	Iter0018	4	1	2	1	0	0	2.0	1.0	-0.00035363512392000006	0
18	Iter0019	2	1	4	1	0	0	0.5	1.0	-0.0003517870186	0
19	Iter0020	1	0	3	1	0	0	1.0	1.0	-4.3149325639999994e-05	0
20	Iter0021	4	1	3	0	0	0	0.625	1.0	-0.0011517744499999999	0
21	Iter0022	2	0	2	1	0	0	2.0	1.0	-7.834794410000001e-05	0
22	Iter0023	5	1	1	0	0	0	1.5	1.0	0.0	0
23	Iter0024	3	3	2	2	0	0	1.0	1.0	-6.65554e-07	0
24	Iter0025	3	2	3	1	0	0	0.5	1.0	-4.329663000000001e-06	0
25	Iter0026	3	1	3	3	0	0	3.0	0.5714285714285717	0.0	0
26	Iter0027	2	2	3	2	0	0	0.6666666666666666	1.0	0.0	0
27	Iter0028	0	0	1	1	0	0	1.0	1.0	-0.00013538868	0
28	Iter0029	1	3	2	0	0	0	0.16666666666666666	0.4	-6.5422269999999995e-06	0
29	Iter0030	0	0	1	1	0	0	1.0	1.0	-1.34533e-07	0
30	Iter0031	3	1	1	4	0	0	12.0	0.20634920634920634	-0.000357142092657	0
31	Iter0032	0	0	2	0	0	0	0.3333333333333333	1.0	-0.0002838488552	0
32	Iter0033	5	0	2	1	0	0	4.0	0.3749999999999997	-6.15662829e-05	0
33	Iter0034	1	2	0	2	0	0	2.0	1.0	-0.000245268085712	0
34	Iter0035	1	1	4	3	0	0	0.75	1.0	-6.27900526e-05	0
35	Iter0036	4	1	2	0	0	0	0.8333333333333334	1.0	-0.0006669164003	0
36	Iter0037	2	5	2	3	0	0	0.6000000000000001	1.0	-8.919658e-05	0
37	Iter0038	3	2	1	0	0	0	0.6666666666666666	1.0	-8.195430000000002e-07	0
38	Iter0039	4	2	3	1	0	0	0.6666666666666666	1.0	-0.000261020669682032	0
39	Iter0040	0	0	0	1	0	0	2.0	1.0	-9.723485402600001e-05	0
40	Iter0041	0	0	1	2	0	0	1.5	1.0	-1.0608380000000002e-05	0
41	Iter0042	5	1	3	3	0	0	5.0	0.5454545454545476	-6.2202573408e-05	0
42	Iter0043	0	1	2	2	0	0	0.5	1.0	-0.000339304825907	0
43	Iter0044	4	4	2	0	0	0	0.3333333333333333	0.4666666666666668	-0.000519408308384	0
44	Iter0045	0	1	3	5	0	0	0.75	1.0	-0.000275065	0
45	Iter0046	4	1	1	1	0	0	4.0	1.0	-0.00016480714683999998	0
46	Iter0047	2	1	3	4	0	0	2.6666666666666665	1.0	-0.000229609	0
47	Iter0048	1	1	2	0	0	0	0.3333333333333333	1.0	-0.00020270521097999998	0
48	Iter0049	2	0	3	1	0	0	1.5	1.0	-0.0007881819	0
49	Iter0050	4	3	3	0	0	0	0.3125	0.4749999999999999	-0.0011812417015190804	0
50	Iter0051	4	1	2	0	0	0	0.8333333333333334	1.0	-0.0005532478303934729	0
51	Iter0052	0	2	4	2	0	0	0.2	0.4285714285714285	-0.000340119	0
52	Iter0053	2	1	2	1	0	0	1.0	1.0	-0.00012897462	0
53	Iter0054	0	0	2	2	0	0	1.0	1.0	-6.813960000000002e-06	0
54	Iter0055	0	0	6	2	0	0	0.42857142857142855	1.0	-0.00022109438999999998	0
55	Iter0056	6	1	0	2	0	0	10.5	0.08333333333333337	-0.000196947214	0
56	Iter0057	1	1	0	1	0	0	2.0	1.0	-0.00015267318773	0
57	Iter0058	1	1	4	2	0	0	0.5	1.0	-0.00100254	0
58	Iter0059	5	0	1	2	0	0	9.0	0.10714285714285704	-0.001374373	0
59	Iter0060	1	3	1	1	0	0	0.3333333333333333	1.0	-3.654237205999999e-05	0
60	Iter0061	2	0	1	1	0	0	3.0	1.0	-0.00011116066999999999	0
61	Iter0062	3	1	0	0	0	0	2.0	1.0	-3.5947971680000004e-05	0
62	Iter0063	2	1	1	1	0	0	2.0	1.0	-1.61767e-09	0
63	Iter0064	1	0	1	1	0	0	2.0	1.0	-3.4967000000000008e-06	0
64	Iter0065	6	2	3	1	0	0	1.0	1.0	-0.00014622639	0
65	Iter0066	0	1	2	2	0	0	0.5	1.0	-2.1925412400999997e-06	0
66	Iter0067	4	0	2	0	0	0	1.6666666666666667	1.0	-3.988125532299999e-05	0
67	Iter0068	2	3	1	3	0	0	2.0	1.0	-3.1560231032700006e-05	0
68	Iter0069	4	0	0	3	0	0	20.0	0.02857142857142855	-2.083504e-05	0
69	Iter0070	4	2	3	3	0	0	2.0	1.0	-0.000147322	0
70	Iter0071	5	2	5	1	0	0	0.5	1.0	-0.000804708056685	0
71	Iter0072	2	2	1	0	0	0	0.5	1.0	0.0	0
72	Iter0073	2	1	0	0	0	0	1.5	1.0	-6.60587e-05	0
73	Iter0074	5	1	1	2	0	0	10.0	0.2261904761904764	-0.00020600098749999998	0
74	Iter0075	1	0	0	1	0	0	4.0	1.0	-6.060498400000001e-06	0
75	Iter0076	4	2	1	1	0	0	2.0	1.0	-1.85669304826e-05	0
76	Iter0077	2	2	1	1	0	0	1.0	1.0	-2.801886e-05	0
77	Iter0078	1	0	4	3	0	0	1.6	1.0	-0.00011786088029599101	0
78	Iter0079	2	0	2	0	0	0	1.0	1.0	-0.000201533	0
79	Iter0080	3	1	5	0	0	0	0.3333333333333333	0.444444444444445	-0.00020455292999999999	0
80	Iter0081	5	1	0	0	0	0	3.0	1.0	-3.09849247541e-06	0
81	Iter0082	5	3	2	3	0	0	2.5000000000000004	0.5920745920745941	-3.0519089e-05	0
82	Iter0083	5	4	2	1	0	0	0.625	1.0	-0.00012130889199999998	0
83	Iter0084	1	3	2	1	0	0	0.16666666666666666	0.4857142857142854	-7.75358e-05	0
84	Iter0085	4	0	3	0	0	0	1.25	1.0	-0.0001977713	0
85	Iter0086	3	0	3	3	0	0	4.0	0.4642857142857145	-2.5405550000000003e-05	0
86	Iter0087	5	0	1	2	0	0	9.0	0.10714285714285704	-0.0003429619054	0
87	Iter0088	2	2	3	2	0	0	0.6666666666666666	1.0	-0.00036359040302657924	0
88	Iter0089	5	1	1	2	0	0	10.0	0.2261904761904764	-0.0013256423899999999	0
89	Iter0090	2	0	0	2	0	0	9.0	0.33333333333333337	-7.857568e-06	0
90	Iter0091	1	2	2	1	0	0	0.25	1.0	-0.0006518083	0
91	Iter0092	3	1	2	1	0	0	1.5	1.0	-9.02442e-06	0
92	Iter0093	3	3	2	2	0	0	1.0	1.0	-1.60999e-05	0
93	Iter0094	4	2	2	0	0	0	0.5555555555555556	1.0	-0.00033067966800000005	0
94	Iter0095	4	1	3	2	0	0	2.6666666666666665	1.0	-0.00016462859800000002	0
95	Iter0096	3	2	6	2	0	0	0.5	1.0	-7.597962e-05	0
96	Iter0097	4	2	3	2	0	0	1.3333333333333333	1.0	-0.0007588380000000001	0
97	Iter0098	0	0	1	0	0	0	0.5	1.0	-7.236409999999998e-07	0
98	Iter0099	3	3	2	2	0	0	1.0	1.0	-0.00048622425	0
99	Iter0100	3	0	1	0	0	0	2.0	1.0	-0.000115583108	0
100	Iter0101	3	1	1	1	0	0	3.0	1.0	-0.0011116761502	0
101	Iter0102	2	4	4	1	0	0	0.125	0.2424242424242421	-8.107918925e-05	0
102	Iter0103	0	0	3	2	0	0	0.75	1.0	-2.935338e-05	0
103	Iter0104	4	1	0	1	0	0	5.0	0.3333333333333331	-0.00012996010000000002	0
