	IterId	dN	dS	pN	pS	bdN	bpN	MkScore	FSPVal	SelCoef	PosSel
0	Iter0001	12	6	1	1	10	0	2.0	1.0	0.2470518076499989	1
1	Iter0002	2	1	0	0	1	0	1.5	1.0	0.015745837065	1
2	Iter0003	6	3	2	0	3	0	0.5833333333333334	1.0	0.079131041	1
3	Iter0004	15	4	3	1	10	0	1.25	1.0	0.21117786183	1
4	Iter0005	6	4	3	0	5	0	0.35	0.4965034965034971	0.11982466866798998	1
5	Iter0006	8	2	2	1	5	0	2.0	1.0	0.1152888052844	1
6	Iter0007	4	2	2	1	2	0	1.0	1.0	0.037397842155	1
7	Iter0008	12	2	4	1	6	0	1.5	1.0	0.12175869948	1
8	Iter0009	12	3	2	2	6	0	4.0	0.2721878224974212	0.21769399602712	1
9	Iter0010	14	2	3	0	5	0	1.25	1.0	0.07866967116	1
10	Iter0011	14	5	4	0	7	0	0.5	0.5392433653303204	0.18738756764	1
11	Iter0012	13	2	2	0	5	0	1.5555555555555556	1.0	0.096559248315	1
12	Iter0013	12	1	3	0	8	1	1.625	1.0	0.14002059695000002	1
13	Iter0014	16	6	0	2	10	0	7.2857142857142865	0.10144927536231893	0.30395432198323696	1
14	Iter0015	6	5	2	2	3	0	1.2	1.0	0.03456558143494	1
15	Iter0016	8	3	1	2	6	0	5.333333333333333	0.5054945054945037	0.145836555232	1
16	Iter0017	6	0	1	1	4	0	7.0	0.24999999999999994	0.07476156	1
17	Iter0018	11	0	1	0	8	0	6.0	1.0	0.21466132860320003	1
18	Iter0019	6	3	4	1	3	2	0.5	1.0	0.039858651701999995	1
19	Iter0020	6	2	3	1	6	1	1.0	1.0	0.1507148	1
20	Iter0021	8	1	3	0	4	1	1.125	1.0	0.08867761699999996	1
21	Iter0022	11	0	1	1	5	0	12.0	0.15384615384615366	0.10842114636300001	1
22	Iter0023	9	4	4	0	8	0	0.4	0.5193277310924337	0.12753057862	1
23	Iter0024	8	6	2	2	8	0	1.3333333333333333	1.0	0.11271169	1
24	Iter0025	15	2	1	1	7	0	7.5	0.298245614035087	0.1312698304809066	1
25	Iter0026	13	3	0	1	8	0	7.0	0.23529411764705904	0.1070559949365	1
26	Iter0027	11	2	1	0	6	1	2.0	1.0	0.15846744722	1
27	Iter0028	9	2	0	0	6	0	3.333333333333333	1.0	0.09957943794016998	1
28	Iter0029	9	0	4	0	3	1	2.0	1.0	0.05015610850559999	1
29	Iter0030	8	3	4	1	3	0	0.6666666666666666	1.0	0.034498986919999995	1
30	Iter0031	9	2	3	0	7	0	0.8333333333333334	1.0	0.13084274189999998	1
31	Iter0032	7	1	2	2	4	0	7.0	0.2363636363636368	0.05688328345780999	1
32	Iter0033	10	5	1	0	6	0	0.9166666666666666	1.0	0.12967029124	1
33	Iter0034	5	3	1	3	4	0	5.000000000000001	0.5454545454545472	0.07336779806093	1
34	Iter0035	7	4	1	1	5	1	1.75	1.0	0.1381089024	1
35	Iter0036	5	2	1	1	3	0	2.5	1.0	0.06594697299999999	1
36	Iter0037	9	0	1	0	6	0	5.0	1.0	0.12726321819	1
37	Iter0038	8	6	1	0	6	0	0.6428571428571429	1.0	0.080749154	1
38	Iter0039	5	3	2	1	3	0	0.8333333333333334	1.0	0.103132891743	1
39	Iter0040	9	3	3	1	5	0	1.0	1.0	0.12208822125268601	1
40	Iter0041	10	1	4	0	8	0	1.1	1.0	0.16204271860324002	1
41	Iter0042	11	3	3	0	7	0	0.75	1.0	0.2025159419	1
42	Iter0043	9	4	0	2	7	0	6.0	0.14285714285714254	0.14062052469	1
43	Iter0044	9	3	2	2	5	1	3.0	0.5467032967032941	0.08572736381000001	1
44	Iter0045	6	4	0	1	2	0	2.8	0.4545454545454545	0.0626288948108	1
45	Iter0046	7	4	6	2	3	2	0.5833333333333334	1.0	0.0561367854344826	1
46	Iter0047	8	5	4	3	6	0	1.2000000000000002	1.0	0.1385957962	1
47	Iter0048	5	5	4	2	5	0	0.5	0.6328671328671309	0.09034128999999999	1
48	Iter0049	8	1	1	1	6	0	8.0	0.3454545454545447	0.098058940376334	1
49	Iter0050	7	1	5	0	4	0	0.6666666666666666	1.0	0.07562104259000002	1
50	Iter0051	13	5	5	0	10	0	0.3888888888888889	0.5453059526286049	0.191050602	1
51	Iter0052	2	3	2	4	0	0	1.3333333333333333	1.0	-2.263630401795e-05	0
52	Iter0053	10	5	4	2	5	0	1.0	1.0	0.09987628809	1
53	Iter0054	11	2	3	0	7	0	1.0	1.0	0.100992615131992	1
54	Iter0055	9	5	1	1	7	1	1.8	1.0	0.12231504754239998	1
55	Iter0056	8	0	0	1	5	0	18.0	0.11111111111111124	0.1310377433487	1
56	Iter0057	12	2	4	2	6	0	3.0	0.5492260061919542	0.06967301034841274	1
57	Iter0058	3	1	1	1	3	0	3.0	1.0	0.049857330000000005	1
58	Iter0059	9	3	4	1	7	0	0.75	1.0	0.1431090366369	1
59	Iter0060	13	2	0	0	10	0	4.666666666666667	1.0	0.20392956473200002	1
60	Iter0061	3	5	2	1	1	0	0.3	0.5454545454545453	0.005528984016000001	1
61	Iter0062	7	1	1	0	4	0	2.0	1.0	0.08319267476377001	1
62	Iter0063	14	2	1	0	9	0	2.5	1.0	0.14849041022999315	1
63	Iter0064	5	2	0	0	4	0	2.0	1.0	0.052220171999999995	1
64	Iter0065	8	2	4	1	3	0	1.0	1.0	0.049510559197	1
65	Iter0066	10	4	1	3	6	0	7.5	0.2450980392156869	0.13016123532460414	1
66	Iter0067	11	2	1	1	7	0	5.5	0.3714285714285689	0.1173144612	1
67	Iter0068	9	4	1	0	4	0	1.0	1.0	0.079335469178	1
68	Iter0069	12	3	1	1	7	0	4.0	0.426470588235295	0.09845827316999999	1
69	Iter0070	8	2	0	0	5	0	3.0	1.0	0.12695682481999998	1
70	Iter0071	8	3	1	1	5	0	2.6666666666666665	1.0	0.11514756309999999	1
71	Iter0072	6	6	0	1	4	0	2.0	1.0	0.133604617	1
72	Iter0073	11	3	1	0	5	0	1.5	1.0	0.08676582298	1
73	Iter0074	9	1	5	1	5	0	1.8	1.0	0.09871933543086298	1
74	Iter0075	7	5	4	4	5	0	1.4	1.0	0.07235127085700001	1
75	Iter0076	9	3	3	0	6	0	0.625	1.0	0.1161309999891874	1
76	Iter0077	8	1	1	0	4	0	2.25	1.0	0.097360548669	1
77	Iter0078	6	3	3	3	3	0	2.0	0.6223776223776202	0.0182464069473565	1
78	Iter0079	10	5	2	0	7	0	0.6111111111111109	1.0	0.09138315171571	1
79	Iter0080	10	3	4	1	7	0	0.8333333333333334	1.0	0.11175878099999997	1
80	Iter0081	4	3	1	0	4	0	0.625	1.0	0.0900044	1
81	Iter0082	6	0	2	0	1	0	2.333333333333333	1.0	0.04012281972	1
82	Iter0083	6	2	3	2	3	0	2.0	1.0	0.0750634378035	1
83	Iter0084	6	5	1	0	2	0	0.5833333333333334	1.0	0.08150911484192169	1
84	Iter0085	9	1	6	0	3	0	0.7142857142857143	1.0	0.133517470026446	1
85	Iter0086	11	3	3	2	8	0	2.4444444444444438	0.5695734434124551	0.12044982867	1
86	Iter0087	9	3	1	1	5	0	3.0	0.5054945054945044	0.07717272946740598	1
87	Iter0088	7	0	0	1	4	0	16.0	0.12499999999999994	0.08860612659360001	1
88	Iter0089	8	1	3	1	5	0	2.6666666666666665	1.0	0.06991232684399998	1
89	Iter0090	6	3	1	1	4	0	2.0	1.0	0.06521492100000001	1
90	Iter0091	7	1	1	0	4	1	2.0	1.0	0.09548016588930001	1
91	Iter0092	4	3	4	1	2	0	0.3333333333333333	0.5757575757575769	0.05670306768	1
92	Iter0093	8	9	3	2	6	0	0.5925925925925926	1.0	0.112320198267	1
93	Iter0094	10	5	0	1	3	0	3.6666666666666665	0.3750000000000003	0.03588785536150001	1
94	Iter0095	9	2	1	1	6	0	4.5	0.42307692307692496	0.1440165851995922	1
