	IterId	dN	dS	pN	pS	bdN	bpN	MkScore	FSPVal	SelCoef	PosSel
0	Iter0001	16	10	2	2	10	0	1.6	1.0	0.2470518076499989	1
1	Iter0002	12	3	3	3	1	0	4.0	0.2906346749226016	0.015745837065	1
2	Iter0003	16	7	4	1	3	0	0.5714285714285714	1.0	0.079131041	1
3	Iter0004	17	8	7	1	10	0	0.3035714285714285	0.3938564216650932	0.21117786183	1
4	Iter0005	8	7	6	1	5	0	0.19047619047619047	0.19321699971854756	0.11982466866798998	1
5	Iter0006	15	3	5	4	5	0	4.0	0.17506840985101965	0.1152888052844	1
6	Iter0007	16	6	5	1	2	0	0.5333333333333333	1.0	0.037397842155	1
7	Iter0008	22	4	5	1	6	0	1.1	1.0	0.12175869948	1
8	Iter0009	18	6	6	2	6	0	1.0	1.0	0.21769399602712	1
9	Iter0010	23	4	4	1	5	0	1.4375	1.0	0.07866967116	1
10	Iter0011	22	9	6	0	7	0	0.32857142857142857	0.30246422893482505	0.18738756764	1
11	Iter0012	24	2	5	1	5	0	2.4	0.4758064516129016	0.096559249394	1
12	Iter0013	19	3	6	0	8	1	0.7142857142857143	1.0	0.14002059695000002	1
13	Iter0014	26	6	4	4	10	0	4.333333333333333	0.08937251352111955	0.30395432198323696	1
14	Iter0015	14	9	4	2	3	0	0.7777777777777778	1.0	0.03456558143494	1
15	Iter0016	14	6	2	2	6	0	2.333333333333333	0.5783926218708857	0.145836555232	1
16	Iter0017	13	1	3	1	4	0	4.333333333333333	0.4052287581699357	0.07476156	1
17	Iter0018	23	2	7	1	8	0	1.6428571428571428	1.0	0.21466132860320003	1
18	Iter0019	15	5	8	1	3	2	0.375	0.6328154604016736	0.039859610999999996	1
19	Iter0020	11	7	6	2	6	1	0.5238095238095238	0.6672852090701082	0.1507148	1
20	Iter0021	17	3	6	0	4	1	0.6428571428571429	1.0	0.08867761700000001	1
21	Iter0022	23	2	8	2	5	0	2.875	0.5607333842628001	0.10842114636300001	1
22	Iter0023	20	9	8	0	8	0	0.2333333333333333	0.1588659558299063	0.12753057862	1
23	Iter0024	18	8	6	2	8	0	0.75	1.0	0.11271169	1
24	Iter0025	25	4	3	1	7	0	2.083333333333333	0.4996334310850373	0.1312698304809066	1
25	Iter0026	23	5	4	1	8	0	1.15	1.0	0.1070559949365	1
26	Iter0027	15	4	3	2	6	1	2.5	0.5680406549971759	0.15846744722	1
27	Iter0028	19	8	3	0	6	0	0.5555555555555556	0.5448275862068971	0.09957943794016998	1
28	Iter0029	15	0	4	1	3	1	6.4	0.25000000000000083	0.05015610850559999	1
29	Iter0030	14	6	7	1	3	0	0.33333333333333337	0.6333637377115607	0.034498986919999995	1
30	Iter0031	23	2	5	1	7	0	2.3	0.488320355951057	0.13084274189999998	1
31	Iter0032	12	3	4	3	4	0	3.0	0.3340838727835631	0.05688328345780999	1
32	Iter0033	16	11	4	3	6	0	1.0909090909090908	1.0	0.12967029124	1
33	Iter0034	13	4	1	4	4	0	13.0	0.039340776182881586	0.07336779806093	1
34	Iter0035	16	6	3	2	5	1	1.7777777777777777	0.6159048680787876	0.1381089024	1
35	Iter0036	12	5	4	2	3	0	1.2	1.0	0.06594697299999999	1
36	Iter0037	17	4	8	1	6	0	0.53125	1.0	0.12726321819	1
37	Iter0038	19	8	9	1	5	1	0.2638888888888889	0.3932447464149425	0.071515595	1
38	Iter0039	11	7	7	2	3	0	0.4489795918367347	0.6672852090701111	0.103132891743	1
39	Iter0040	17	9	7	1	5	0	0.2698412698412698	0.38548278043142103	0.12208822125268601	1
40	Iter0041	16	1	6	0	8	0	1.2142857142857142	1.0	0.16204271860324002	1
41	Iter0042	20	8	7	2	7	0	0.7142857142857143	1.0	0.2025159419	1
42	Iter0043	20	8	5	5	7	0	2.5	0.2628629845506535	0.14062052469	1
43	Iter0044	15	5	3	3	5	1	3.0	0.3301307388263913	0.08572736381000001	1
44	Iter0045	15	6	5	1	2	0	0.5	1.0	0.0626288948108	1
45	Iter0046	14	7	9	3	3	2	0.6666666666666666	0.7098057670916325	0.0561367854344826	1
46	Iter0047	18	7	6	7	6	0	3.0000000000000004	0.162601373211202	0.1385957962	1
47	Iter0048	11	9	8	4	5	0	0.6111111111111112	0.7127926820000201	0.09034128999999999	1
48	Iter0049	18	1	2	1	7	0	9.0	0.2597402597402592	0.098058940376334	1
49	Iter0050	21	4	6	1	4	0	0.875	1.0	0.07562104259000002	1
50	Iter0051	21	10	8	0	10	0	0.2222222222222222	0.08617384623576635	0.191050602	1
51	Iter0052	9	7	6	7	0	0	1.5000000000000002	0.7152491865522439	-2.263630401795e-05	0
52	Iter0053	16	10	5	2	5	0	0.64	1.0	0.09987628809	1
53	Iter0054	20	5	4	0	7	0	0.7	1.0	0.100992615131992	1
54	Iter0055	17	8	1	3	7	1	6.375	0.13894151825186435	0.12231504754239998	1
55	Iter0056	18	2	3	3	6	0	9.0	0.0624201885071449	0.1310377433487	1
56	Iter0057	16	2	16	2	6	1	1.0	1.0	0.07075266034841274	1
57	Iter0058	12	6	3	3	3	0	2.0	0.6349074266694441	0.049857330000000005	1
58	Iter0059	13	7	8	2	7	0	0.4642857142857143	0.6749038068378453	0.1431090366369	1
59	Iter0060	22	4	3	0	11	0	1.15	1.0	0.20392956473200002	1
60	Iter0061	11	5	4	3	1	0	1.65	0.6570197873199641	0.005528984016000001	1
61	Iter0062	16	3	5	0	4	0	0.7083333333333334	1.0	0.08319267476377001	1
62	Iter0063	19	5	4	1	9	0	0.95	1.0	0.14849041022999315	1
63	Iter0064	14	6	2	0	4	0	0.7142857142857143	1.0	0.052220171999999995	1
64	Iter0065	16	5	6	1	3	0	0.5333333333333333	1.0	0.049510559197	1
65	Iter0066	15	6	4	3	6	0	1.875	0.6464578899361488	0.13016123532460414	1
66	Iter0067	18	5	5	2	7	0	1.44	1.0	0.1173144612	1
67	Iter0068	16	9	2	1	4	0	0.8888888888888888	1.0	0.079335469178	1
68	Iter0069	24	5	7	2	7	0	1.3714285714285714	1.0	0.09845827316999999	1
69	Iter0070	20	3	3	0	5	0	1.3125	1.0	0.12695682481999998	1
70	Iter0071	20	8	1	1	5	0	2.5	0.5172413793103524	0.11514756309999999	1
71	Iter0072	12	9	2	4	4	0	2.6666666666666665	0.3845410628019367	0.133604617	1
72	Iter0073	23	9	6	4	5	0	1.7037037037037035	0.6966358274218991	0.08676582298	1
73	Iter0074	22	5	8	1	5	0	0.55	1.0	0.09871933543086298	1
74	Iter0075	22	9	8	6	5	0	1.8333333333333333	0.4967630783014212	0.07235127085700001	1
75	Iter0076	16	4	6	1	6	1	0.6666666666666666	1.0	0.1161309999891874	1
76	Iter0077	13	1	5	1	4	0	2.6	0.5210526315789493	0.097360548669	1
77	Iter0078	12	4	4	3	3	0	2.25	0.6258397679854166	0.0182464069473565	1
78	Iter0079	19	8	6	2	7	0	0.7916666666666666	1.0	0.09138315171571	1
