	Prot_ID	dN	dS	pN	pS	MsaLen
0	ENSP00000000233	0	2	3	3	540
1	ENSP00000000412	0	3	0	0	834
2	ENSP00000001008	4	7	30	14	1419
3	ENSP00000001146	0	6	46	34	1536
4	ENSP00000002125	10	2	19	7	1323
5	ENSP00000002596	2	10	21	14	921
6	ENSP00000002829	4	19	5	2	2355
7	ENSP00000003084	6	17	165	41	4440
8	ENSP00000003302	2	10	33	28	3702
9	ENSP00000004531	12	19	0	0	2097
10	ENSP00000004982	0	2	7	3	525
11	ENSP00000005178	1	4	27	19	1233
12	ENSP00000005226	6	14	0	0	2709
13	ENSP00000005284	0	5	6	19	945
14	ENSP00000005286	14	34	4	2	3171
15	ENSP00000005340	1	14	49	28	2208
16	ENSP00000005386	4	7	31	11	2028
17	ENSP00000005587	2	4	20	3	1077
18	ENSP00000005995	10	2	2	1	1074
19	ENSP00000006053	7	12	27	15	1191
20	ENSP00000006275	0	4	24	12	525
21	ENSP00000006526	3	7	5	3	1002
22	ENSP00000006658	7	18	76	36	2406
23	ENSP00000006724	10	4	18	8	795
24	ENSP00000007390	8	9	18	15	1044
25	ENSP00000007414	5	16	41	28	2526
26	ENSP00000008391	0	8	17	22	1356
27	ENSP00000008527	2	7	14	18	1902
28	ENSP00000008938	10	5	16	5	588
29	ENSP00000009105	2	7	22	20	1428
30	ENSP00000009530	2	6	0	0	888
31	ENSP00000010299	0	0	0	0	1023
32	ENSP00000011292	2	10	17	14	1320
33	ENSP00000011619	0	6	13	10	2187
34	ENSP00000011653	13	10	3	1	1374
35	ENSP00000011898	4	9	0	0	990
36	ENSP00000012049	2	10	29	10	1167
37	ENSP00000012443	2	12	19	22	1533
38	ENSP00000013125	0	7	31	24	2538
39	ENSP00000013222	4	7	41	23	789
40	ENSP00000013807	4	15	4	3	1005
41	ENSP00000014930	2	2	13	4	567
42	ENSP00000016171	2	4	2	2	1230
43	ENSP00000016913	14	4	3	2	801
44	ENSP00000017003	5	11	55	40	2595
45	ENSP00000019103	2	11	30	14	1350
46	ENSP00000019317	1	3	17	20	1965
47	ENSP00000020673	8	16	0	0	3159
48	ENSP00000023064	8	12	0	0	1461
49	ENSP00000023939	2	2	13	9	1014
50	ENSP00000025008	7	15	47	32	4782
51	ENSP00000025301	30	26	122	60	5703
52	ENSP00000026218	26	21	6	1	2361
53	ENSP00000027335	15	13	53	34	2622
54	ENSP00000029410	1	5	10	10	1143
55	ENSP00000033079	5	16	31	21	2814
56	ENSP00000035383	1	14	1	0	4626
57	ENSP00000037243	0	1	1	1	351
58	ENSP00000037502	8	10	54	34	1512
59	ENSP00000037869	1	5	15	4	735
60	ENSP00000039989	6	11	10	2	3645
61	ENSP00000040584	1	2	10	12	726
62	ENSP00000040663	17	14	20	2	1110
63	ENSP00000040738	60	36	198	91	9156
64	ENSP00000040877	11	21	94	51	4926
65	ENSP00000043402	7	24	0	0	1932
66	ENSP00000044462	0	3	0	2	783
67	ENSP00000046087	6	4	9	2	1053
68	ENSP00000046794	18	21	32	20	1602
69	ENSP00000052754	2	7	13	8	1077
70	ENSP00000053243	4	1	28	10	585
71	ENSP00000053468	1	4	17	16	603
72	ENSP00000053867	32	21	20	13	1794
73	ENSP00000054650	3	5	15	8	717
74	ENSP00000054666	0	1	4	9	366
75	ENSP00000054668	1	2	4	0	495
76	ENSP00000055335	6	16	6	6	2397
77	ENSP00000055682	8	18	0	1	4548
78	ENSP00000056217	2	9	11	7	4794
79	ENSP00000056233	20	13	70	23	2088
80	ENSP00000061240	5	19	62	37	3108
81	ENSP00000062104	1	1	0	0	243
82	ENSP00000064571	0	4	4	8	603
83	ENSP00000064778	0	5	6	13	732
84	ENSP00000064780	5	6	35	33	1290
85	ENSP00000070846	9	12	0	0	2643
86	ENSP00000072644	8	6	0	0	1035
87	ENSP00000074304	2	21	0	0	2934
88	ENSP00000075120	1	4	0	0	1488
89	ENSP00000075503	10	10	19	7	1266
90	ENSP00000078445	11	7	30	25	1383
91	ENSP00000080059	1	11	32	30	3213
92	ENSP00000083182	0	7	10	12	1767
93	ENSP00000084798	0	2	11	6	984
94	ENSP00000085068	3	8	0	0	663
95	ENSP00000085219	31	17	10	2	2541
96	ENSP00000086933	2	4	7	4	615
97	ENSP00000155858	28	39	0	1	3546
98	ENSP00000155926	1	4	13	16	1029
99	ENSP00000156084	0	6	0	0	1953
100	ENSP00000156109	4	4	11	7	1428
101	ENSP00000156471	15	16	46	30	4455
102	ENSP00000156626	9	16	19	4	1800
103	ENSP00000157600	1	5	25	9	1095
104	ENSP00000157812	0	5	5	21	1263
105	ENSP00000158009	9	7	24	16	972
106	ENSP00000158166	3	10	0	3	1821
107	ENSP00000158762	7	14	27	16	2220
108	ENSP00000158771	0	6	2	0	717
109	ENSP00000159060	4	13	59	16	1704
110	ENSP00000159087	0	12	10	1	3753
111	ENSP00000159111	22	44	0	0	3390
112	ENSP00000160373	15	17	102	46	5010
113	ENSP00000160827	11	13	10	5	2031
114	ENSP00000161006	9	10	20	8	1236
115	ENSP00000161863	5	9	75	34	4290
116	ENSP00000162044	3	8	14	3	1479
117	ENSP00000162391	4	5	0	0	1725
118	ENSP00000162749	4	9	16	8	1365
119	ENSP00000163416	7	11	46	21	2307
120	ENSP00000164133	0	7	5	5	1491
121	ENSP00000164139	1	20	1	2	2529
122	ENSP00000164227	2	6	11	18	1440
123	ENSP00000164305	8	9	18	11	1692
124	ENSP00000165524	0	2	14	4	261
125	ENSP00000166244	2	25	87	44	3075
126	ENSP00000167106	3	10	17	20	1095
127	ENSP00000167586	4	10	51	36	1494
128	ENSP00000169298	3	8	6	8	1218
129	ENSP00000169551	4	2	19	9	744
130	ENSP00000170150	20	7	49	35	1446
131	ENSP00000170168	65	47	113	76	3828
132	ENSP00000170447	4	11	15	13	1290
133	ENSP00000170564	9	20	67	40	2793
134	ENSP00000171111	2	9	21	20	1872
135	ENSP00000171887	8	42	1	0	5583
136	ENSP00000172229	3	13	23	27	1281
137	ENSP00000173229	6	5	7	5	1818
138	ENSP00000173527	0	6	0	6	1224
139	ENSP00000175091	0	3	11	12	699
140	ENSP00000175238	13	14	54	22	2331
141	ENSP00000175756	9	7	39	19	1392
142	ENSP00000176763	4	13	63	50	2904
143	ENSP00000177694	0	7	23	26	1608
144	ENSP00000177742	0	3	9	6	675
145	ENSP00000178638	4	6	28	24	1062
146	ENSP00000178640	0	0	22	10	1344
147	ENSP00000179259	4	2	0	0	813
148	ENSP00000180166	2	2	17	7	645
149	ENSP00000180173	2	8	51	37	1980
150	ENSP00000181383	7	4	0	0	1272
151	ENSP00000181796	0	3	3	1	939
152	ENSP00000181839	0	8	62	36	4536
153	ENSP00000182290	13	7	15	4	960
