Query	pongo_abelii	pan_troglodytes	pan_paniscus	gorilla_gorilla
ENSP00000312770	ENSPPYP00000024014	ENSPTRP00000021839	ENSPPAP00000024790	ENSGGOP00000005531
ENSP00000391549	ENSPPYP00000020810	ENSPTRP00000034608	ENSPPAP00000024583	ENSGGOP00000036431
ENSP00000245441	NA	NA	NA	NA
ENSP00000391545	NA	NA	NA	NA
ENSP00000391546	NA	NA	NA	NA
ENSP00000391540	NA	NA	NA	NA
ENSP00000245448	NA	NA	NA	NA
ENSP00000407296	NA	NA	NA	NA
ENSP00000407293	NA	NA	NA	NA
ENSP00000407299	NA	NA	NA	NA
ENSP00000392918	NA	NA	NA	NA
ENSP00000446768	NA	NA	NA	NA
ENSP00000417256	NA	NA	NA	NA
ENSP00000417257	NA	NA	NA	NA
ENSP00000417254	NA	NA	NA	NA
ENSP00000417255	NA	NA	NA	NA
ENSP00000417252	NA	NA	NA	NA
ENSP00000417253	NA	NA	NA	NA
ENSP00000417250	NA	NA	NA	NA
ENSP00000417251	NA	NA	NA	NA
ENSP00000417258	NA	NA	NA	NA
ENSP00000417259	NA	NA	NA	NA
ENSP00000453205	NA	NA	NA	NA
ENSP00000482556	NA	NA	NA	NA
ENSP00000426715	NA	NA	NA	NA
ENSP00000453206	NA	NA	NA	NA
ENSP00000426713	NA	NA	NA	NA
ENSP00000482552	ENSPPYP00000017572	ENSPTRP00000029371	ENSPPAP00000025729	ENSGGOP00000009745
ENSP00000426710	NA	NA	NA	NA
ENSP00000403050	NA	NA	NA	NA
ENSP00000453209	NA	NA	NA	NA
ENSP00000453208	NA	NA	NA	NA
ENSP00000482559	NA	NA	NA	NA
ENSP00000426718	NA	NA	NA	NA
ENSP00000346708	NA	NA	NA	NA
ENSP00000346702	NA	NA	NA	NA
ENSP00000346701	NA	NA	NA	NA
ENSP00000346700	NA	NA	NA	NA
ENSP00000221818	NA	NA	NA	NA
ENSP00000437819	NA	NA	NA	NA
ENSP00000451322	NA	NA	NA	NA
ENSP00000376139	NA	ENSPTRP00000016688	ENSPPAP00000012388	ENSGGOP00000041418
ENSP00000376138	NA	NA	NA	NA
ENSP00000376133	NA	NA	NA	NA
ENSP00000376132	ENSPPYP00000014557	ENSPTRP00000082839	ENSPPAP00000033555	ENSGGOP00000030732
ENSP00000376130	NA	NA	NA	NA
ENSP00000376137	NA	NA	NA	NA
ENSP00000376136	NA	NA	NA	NA
ENSP00000376135	ENSPPYP00000005870	ENSPTRP00000019577	ENSPPAP00000007826	ENSGGOP00000018152
ENSP00000376134	ENSPPYP00000014556	ENSPTRP00000079832	ENSPPAP00000030521	ENSGGOP00000041604
ENSP00000394308	NA	NA	NA	NA
ENSP00000456182	NA	NA	NA	NA
ENSP00000456185	NA	NA	NA	NA
ENSP00000456187	NA	NA	NA	NA
ENSP00000412750	NA	NA	NA	NA
ENSP00000390635	NA	NA	NA	NA
ENSP00000412752	NA	ENSPTRP00000048092	ENSPPAP00000006677	ENSGGOP00000016308
ENSP00000390637	ENSPPYP00000010252	ENSPTRP00000092470	ENSPPAP00000002899	ENSGGOP00000007971
ENSP00000412754	NA	NA	NA	NA
ENSP00000412756	NA	NA	NA	NA
ENSP00000412757	NA	NA	NA	NA
ENSP00000341282	NA	NA	NA	NA
ENSP00000341280	ENSPPYP00000018173	ENSPTRP00000068115	ENSPPAP00000002673	ENSGGOP00000029514
ENSP00000341289	ENSPPYP00000022224	ENSPTRP00000030184	ENSPPAP00000022347	ENSGGOP00000004875
ENSP00000414752	NA	NA	NA	NA
ENSP00000414753	NA	NA	NA	NA
ENSP00000253861	ENSPPYP00000020211	ENSPTRP00000033766	ENSPPAP00000024698	ENSGGOP00000003879
ENSP00000414751	NA	NA	NA	NA
ENSP00000414757	NA	NA	NA	NA
ENSP00000414755	NA	NA	NA	NA
ENSP00000414758	NA	NA	NA	NA
ENSP00000383411	NA	NA	NA	NA
ENSP00000467959	NA	NA	NA	NA
ENSP00000488331	NA	NA	NA	NA
ENSP00000488332	NA	NA	NA	NA
ENSP00000488338	NA	NA	NA	NA
ENSP00000403057	NA	NA	NA	NA
ENSP00000254066	ENSPPYP00000009510	ENSPTRP00000053041	ENSPPAP00000042640	ENSGGOP00000003063
ENSP00000494179	NA	NA	NA	NA
