	Prot_ID	dN	dS	pN	pS	MsaLen
0	ENSP00000000233	0	0	3	3	540
1	ENSP00000000412	0	2	0	0	834
2	ENSP00000001008	0	2	30	14	1419
3	ENSP00000001146	0	6	46	34	1536
4	ENSP00000002125	2	4	19	7	1323
5	ENSP00000002596	1	2	21	14	921
6	ENSP00000002829	2	4	5	2	2355
7	ENSP00000003084	4	8	165	41	4440
8	ENSP00000003302	2	3	33	28	3702
9	ENSP00000004531	35	38	0	0	2097
10	ENSP00000004982	0	2	7	3	525
11	ENSP00000005178	1	3	27	19	1233
12	ENSP00000005226	5	9	0	0	2709
13	ENSP00000005284	0	1	6	19	945
14	ENSP00000005286	12	12	4	2	3171
15	ENSP00000005340	0	4	49	28	2208
16	ENSP00000005386	5	4	31	11	2028
17	ENSP00000005587	1	4	20	3	1077
18	ENSP00000005995	2	2	2	1	1074
19	ENSP00000006053	5	3	27	15	1191
20	ENSP00000006275	0	1	24	12	525
21	ENSP00000006526	1	1	5	3	1002
22	ENSP00000006658	3	7	76	36	2406
23	ENSP00000006724	2	3	18	8	795
24	ENSP00000007390	2	4	18	15	1044
25	ENSP00000007414	4	8	41	28	2526
26	ENSP00000008391	0	4	17	22	1356
27	ENSP00000008527	1	2	14	18	1902
28	ENSP00000008938	9	3	16	5	588
29	ENSP00000009105	1	5	22	20	1428
30	ENSP00000009530	1	4	0	0	888
31	ENSP00000010299	0	2	0	0	1023
32	ENSP00000011292	4	9	17	14	1320
33	ENSP00000011619	0	3	13	10	2187
34	ENSP00000011653	4	6	3	1	1374
35	ENSP00000011898	1	3	0	0	990
36	ENSP00000012049	1	7	29	10	1167
37	ENSP00000012443	14	14	19	22	1533
38	ENSP00000013125	2	5	31	24	2538
39	ENSP00000013222	2	2	41	23	789
40	ENSP00000013807	2	8	4	3	1005
41	ENSP00000014930	0	1	13	4	567
42	ENSP00000016171	0	4	2	2	1230
43	ENSP00000016913	10	1	3	2	801
44	ENSP00000017003	2	5	55	40	2595
45	ENSP00000019103	3	4	30	14	1350
46	ENSP00000019317	1	6	17	20	1965
47	ENSP00000020673	2	5	0	0	3159
48	ENSP00000023064	7	10	0	0	1461
49	ENSP00000023939	1	5	13	9	1014
50	ENSP00000025008	7	8	47	32	4782
51	ENSP00000025301	22	9	122	60	5703
52	ENSP00000026218	8	10	6	1	2361
53	ENSP00000027335	11	9	53	34	2622
54	ENSP00000029410	0	1	10	10	1143
55	ENSP00000033079	3	3	31	21	2814
56	ENSP00000035383	0	5	1	0	4626
57	ENSP00000037243	0	1	1	1	351
58	ENSP00000037502	5	7	54	34	1512
59	ENSP00000037869	0	1	15	4	735
60	ENSP00000039989	4	3	10	2	3645
61	ENSP00000040584	1	1	10	12	726
62	ENSP00000040663	4	4	20	2	1110
63	ENSP00000040738	19	17	198	91	9156
64	ENSP00000040877	9	14	94	51	4926
65	ENSP00000043402	11	10	0	0	1932
66	ENSP00000044462	0	1	0	2	783
67	ENSP00000046087	3	3	9	2	1053
68	ENSP00000046794	2	6	32	20	1602
